Date,Close/Last,Volume,Open,High,Low
09/06/2024,$279.37,7187805,$277.77,$280.28,$277.43
09/05/2024,$278.62,6447539,$281.00,$281.50,$277.41
09/04/2024,$280.49,6107450,$278.71,$281.645,$278.70
09/03/2024,$278.54,7278250,$276.37,$282.09,$276.37
08/30/2024,$276.37,6296089,$275.00,$276.99,$274.26
08/29/2024,$274.32,5565085,$270.98,$275.99,$270.45
08/28/2024,$269.19,5455098,$271.16,$271.98,$267.67
08/27/2024,$270.72,6594067,$268.52,$270.95,$267.89
08/26/2024,$268.21,4612181,$267.72,$270.37,$267.67
08/23/2024,$267.44,3697448,$268.70,$269.21,$265.31
08/22/2024,$267.94,4425444,$268.94,$269.50,$266.57
08/21/2024,$268.20,6639748,$268.56,$269.27,$267.39
08/20/2024,$268.04,6803575,$267.00,$268.04,$265.78
08/19/2024,$266.47,6555945,$267.42,$268.3106,$265.23
08/16/2024,$267.38,5111080,$266.85,$268.44,$265.39
08/15/2024,$266.80,7397780,$262.84,$267.39,$262.84
08/14/2024,$261.14,8552272,$260.87,$261.50,$258.74
08/13/2024,$260.13,12005750,$260.13,$261.68,$259.27
08/12/2024,$259.89,26769520,$260.50,$261.60,$259.24
08/09/2024,$259.76,7228127,$259.17,$261.52,$259.01
08/08/2024,$259.83,8223667,$258.13,$260.445,$257.92
08/07/2024,$256.52,12908580,$259.66,$262.03,$256.31
08/06/2024,$258.26,21586820,$256.50,$260.49,$255.77
08/05/2024,$256.44,9631322,$261.45,$262.92,$254.51
08/02/2024,$266.58,7017857,$263.83,$267.96,$262.88
08/01/2024,$265.93,7269671,$266.33,$267.00,$264.18
07/31/2024,$265.67,7642547,$264.54,$266.36,$264.25
07/30/2024,$263.10,5941775,$263.23,$264.30,$261.01
07/29/2024,$261.60,6068109,$260.32,$262.705,$258.58
07/26/2024,$259.46,7062213,$255.59,$261.20,$255.59
07/25/2024,$253.74,8573282,$255.39,$258.22,$252.70
07/24/2024,$254.17,13065890,$256.07,$257.20,$253.13
07/23/2024,$264.79,8109209,$267.53,$267.70,$263.86
07/22/2024,$267.71,5313610,$267.23,$268.40,$265.02
07/19/2024,$265.46,6839933,$270.32,$270.95,$264.31
07/18/2024,$269.15,5550804,$272.29,$273.62,$268.555
07/17/2024,$272.70,5324662,$268.44,$272.91,$268.24
07/16/2024,$269.25,7869921,$268.52,$270.21,$267.37
07/15/2024,$268.45,6845211,$265.67,$269.24,$265.25
07/12/2024,$265.74,6627767,$264.34,$267.395,$263.66
07/11/2024,$262.55,8805194,$262.13,$263.63,$260.76
07/10/2024,$263.00,9635466,$259.12,$263.48,$258.51
07/09/2024,$265.44,6432808,$267.00,$267.55,$263.92
07/08/2024,$266.40,8561140,$270.25,$271.44,$265.97
07/05/2024,$270.36,7986435,$269.00,$270.545,$268.24
07/03/2024,$268.99,5017760,$269.07,$269.75,$268.15
07/02/2024,$268.23,8697811,$263.24,$268.23,$262.40
07/01/2024,$263.24,7955766,$263.79,$265.77,$261.30
06/28/2024,$262.47,13957270,$267.20,$268.60,$261.25
06/27/2024,$266.59,10529080,$268.51,$270.59,$266.50
06/26/2024,$273.60,12171990,$272.91,$274.46,$271.75
06/25/2024,$273.53,19897650,$276.85,$277.9291,$273.53
06/24/2024,$276.30,24149630,$275.32,$280.39,$275.27
06/21/2024,$275.22,14790150,$277.17,$277.54,$274.58
06/20/2024,$276.82,10164360,$273.19,$278.04,$273.10
06/18/2024,$273.62,6707460,$271.30,$273.90,$271.30
06/17/2024,$271.17,9258209,$269.00,$271.83,$269.00
06/14/2024,$270.66,8537260,$270.10,$271.55,$269.27
06/13/2024,$271.19,7361158,$270.32,$271.855,$269.316
06/12/2024,$270.32,7536636,$276.77,$277.60,$269.90
06/11/2024,$274.67,6244586,$274.54,$274.86,$272.22
06/10/2024,$275.04,5214002,$278.14,$278.56,$273.38
06/07/2024,$278.67,4515795,$277.71,$280.335,$276.86
06/06/2024,$277.04,4862378,$274.80,$277.15,$274.08
06/05/2024,$274.50,5368674,$273.53,$274.93,$272.02
06/04/2024,$272.42,4188515,$269.63,$272.99,$269.31
06/03/2024,$270.38,4838782,$273.09,$273.13,$268.06
05/31/2024,$272.46,8909985,$271.44,$272.76,$269.01
05/30/2024,$271.30,4903071,$268.70,$271.64,$268.31
05/29/2024,$268.86,5469713,$269.00,$271.14,$268.26
05/28/2024,$270.98,6212455,$274.23,$274.462,$270.23
05/24/2024,$274.49,4339967,$275.01,$275.24,$273.35
05/23/2024,$274.23,6115917,$275.24,$277.44,$273.0343
05/22/2024,$275.58,4202492,$275.53,$278.08,$275.12
05/21/2024,$275.95,6578156,$278.00,$278.425,$274.88
05/20/2024,$278.54,5460901,$279.22,$280.27,$278.18
05/17/2024,$280.10,6177831,$280.05,$280.91,$278.10
05/16/2024,$279.84,10341720,$281.74,$282.38,$279.26
05/15/2024,$281.50,21288370,$277.15,$281.73,$277.07
05/14/2024,$277.74,18526090,$279.44,$279.99,$274.265
05/13/2024,$279.39,10528400,$281.46,$282.15,$279.10
05/10/2024,$280.74,8986581,$279.55,$281.03,$279.24
05/09/2024,$278.54,8948813,$276.80,$278.79,$276.395
05/08/2024,$277.19,9029699,$277.80,$278.545,$274.915
05/07/2024,$276.46,6377080,$273.72,$277.88,$272.835
05/06/2024,$272.67,3958721,$269.65,$272.78,$269.57
05/03/2024,$268.49,3862018,$269.00,$269.45,$266.50
05/02/2024,$267.61,5061698,$269.35,$269.47,$266.65
05/01/2024,$267.32,6125360,$268.15,$270.91,$266.71
04/30/2024,$268.61,6376353,$270.53,$272.08,$268.585
