Date,Close/Last,Volume,Open,High,Low
09/06/2024,$33.47,5246890,$33.71,$33.86,$33.275
09/05/2024,$33.59,4597901,$33.87,$34.02,$33.355
09/04/2024,$33.62,4272158,$33.56,$33.83,$33.44
09/03/2024,$33.48,5741085,$33.36,$33.67,$33.33
08/30/2024,$33.48,5545702,$33.20,$33.51,$33.07
08/29/2024,$33.06,3986697,$33.04,$33.25,$32.87
08/28/2024,$33.11,4313285,$33.15,$33.195,$32.785
08/27/2024,$33.15,4226591,$32.95,$33.21,$32.89
08/26/2024,$33.12,3483356,$33.07,$33.26,$32.97
08/23/2024,$32.90,2679652,$32.46,$33.06,$32.35
08/22/2024,$32.33,5543994,$32.25,$32.34,$32.07
08/21/2024,$32.27,4136259,$32.05,$32.28,$31.81
08/20/2024,$31.99,3240022,$32.08,$32.27,$31.94
08/19/2024,$32.09,3468917,$31.66,$32.10,$31.6312
08/16/2024,$31.59,3777127,$31.80,$31.995,$31.485
08/15/2024,$31.76,4802968,$31.72,$31.91,$31.57
08/14/2024,$31.61,2526996,$31.41,$31.795,$31.37
08/13/2024,$31.43,2924062,$31.52,$31.5274,$31.20
08/12/2024,$31.32,3117905,$31.05,$31.35,$30.81
08/09/2024,$31.33,3523212,$31.30,$31.37,$31.025
08/08/2024,$31.25,3644573,$31.47,$31.52,$31.175
08/07/2024,$31.48,6440809,$31.56,$32.02,$31.45
08/06/2024,$31.40,5381735,$30.76,$31.75,$30.76
08/05/2024,$30.76,7951585,$30.83,$31.34,$30.60
08/02/2024,$31.50,6122692,$31.19,$32.16,$31.15
08/01/2024,$31.34,6204134,$32.03,$32.06,$30.85
07/31/2024,$31.26,7495516,$31.41,$31.795,$31.21
07/30/2024,$31.42,5295537,$31.23,$31.52,$31.17
07/29/2024,$31.22,3466918,$30.98,$31.29,$30.73
07/26/2024,$30.88,5112251,$30.67,$31.10,$30.61
07/25/2024,$30.48,5329440,$30.29,$31.015,$30.23
07/24/2024,$30.21,3905613,$30.50,$30.75,$30.20
07/23/2024,$30.45,3706404,$30.36,$30.74,$30.19
07/22/2024,$30.43,4012241,$30.25,$30.535,$30.12
07/19/2024,$30.31,5378932,$30.60,$30.675,$30.20
07/18/2024,$30.62,6279937,$30.73,$31.45,$30.62
07/17/2024,$30.87,7342080,$30.27,$30.90,$30.265
07/16/2024,$30.27,7054856,$30.42,$30.46,$29.88
07/15/2024,$30.29,9542135,$29.53,$30.33,$29.44
07/12/2024,$29.45,8344754,$29.63,$29.79,$29.405
07/11/2024,$29.40,10526310,$28.28,$29.44,$28.24
07/10/2024,$27.89,8415340,$27.77,$27.90,$27.58
07/09/2024,$27.64,5529164,$27.75,$27.79,$27.535
07/08/2024,$27.83,3899434,$27.78,$28.03,$27.75
07/05/2024,$27.75,5528936,$27.79,$27.80,$27.53
07/03/2024,$27.75,2866864,$27.95,$28.09,$27.63
07/02/2024,$27.77,5755537,$27.84,$28.03,$27.73
07/01/2024,$27.90,7503176,$28.59,$28.60,$27.81
06/28/2024,$28.64,9594613,$28.58,$28.70,$28.20
06/27/2024,$28.43,5834359,$28.04,$28.43,$27.88
06/26/2024,$27.99,4066249,$27.81,$28.06,$27.70
06/25/2024,$27.95,5048596,$28.34,$28.37,$27.77
06/24/2024,$28.43,4847260,$28.16,$28.62,$28.11
06/21/2024,$28.10,9817243,$28.18,$28.26,$28.00
06/20/2024,$28.08,6255976,$28.00,$28.265,$27.91
06/18/2024,$28.11,5399774,$27.84,$28.39,$27.84
06/17/2024,$28.20,9933579,$28.17,$28.36,$28.02
06/14/2024,$28.29,4649731,$28.22,$28.29,$27.965
06/13/2024,$28.29,4586729,$28.34,$28.54,$28.14
06/12/2024,$28.37,4933683,$28.67,$28.985,$28.265
06/11/2024,$28.14,4876420,$27.96,$28.26,$27.89
06/10/2024,$28.11,6332620,$28.24,$28.24,$27.79
06/07/2024,$28.37,6298445,$28.09,$28.55,$28.07
06/06/2024,$28.44,4989761,$28.27,$28.63,$28.18
06/05/2024,$28.38,5713497,$28.76,$28.76,$28.37
06/04/2024,$28.71,6097531,$28.65,$29.00,$28.65
06/03/2024,$28.77,5194817,$28.75,$29.07,$28.605
05/31/2024,$28.71,15485970,$28.20,$28.725,$28.11
05/30/2024,$28.06,7397694,$28.08,$28.22,$27.90
05/29/2024,$27.92,5938926,$27.99,$28.09,$27.83
05/28/2024,$28.26,8958225,$28.35,$28.67,$28.24
05/24/2024,$28.30,9765600,$28.63,$28.70,$28.09
05/23/2024,$28.60,5102624,$29.40,$29.505,$28.58
05/22/2024,$29.53,5505681,$30.07,$30.22,$29.48
05/21/2024,$30.12,3317169,$30.19,$30.32,$30.06
05/20/2024,$30.22,2405569,$30.30,$30.36,$30.11
05/17/2024,$30.38,7233445,$30.45,$30.45,$30.22
05/16/2024,$30.28,4401905,$30.56,$30.61,$30.24
05/15/2024,$30.51,5923992,$30.37,$30.60,$30.01
05/14/2024,$29.90,4316154,$29.84,$29.9505,$29.67
05/13/2024,$29.61,5470494,$29.64,$29.76,$29.36
05/10/2024,$29.50,9459013,$29.50,$29.745,$29.33
05/09/2024,$29.30,7637084,$29.45,$29.58,$29.15
05/08/2024,$29.26,5904647,$29.47,$29.50,$29.1111
05/07/2024,$29.55,5555027,$29.17,$29.55,$29.01
05/06/2024,$29.05,4726729,$28.97,$29.06,$28.725
05/03/2024,$28.80,6018450,$29.18,$29.30,$28.56
05/02/2024,$28.80,12249170,$28.55,$28.94,$28.30
05/01/2024,$28.90,7483236,$28.44,$29.10,$28.37
04/30/2024,$28.55,7194391,$28.81,$28.94,$28.37
04/29/2024,$29.05,4563642,$28.72,$29.05,$28.65
04/26/2024,$28.47,6652230,$28.56,$28.71,$28.35
04/25/2024,$28.55,5195425,$28.20,$28.575,$28.12
04/24/2024,$28.43,5648716,$28.37,$28.73,$28.15
04/23/2024,$28.58,8838584,$28.11,$28.59,$28.02
04/22/2024,$28.04,9231162,$27.99,$28.06,$27.77
04/19/2024,$27.89,5453833,$27.60,$27.97,$27.565
04/18/2024,$27.52,4866051,$27.33,$27.535,$27.15
04/17/2024,$27.20,4059467,$27.19,$27.495,$27.175
04/16/2024,$27.15,5310136,$27.41,$27.47,$27.075
04/15/2024,$27.58,3962776,$28.03,$28.15,$27.38
04/12/2024,$27.94,4746776,$28.18,$28.18,$27.85
04/11/2024,$28.20,12410800,$28.24,$28.41,$28.02
04/10/2024,$28.11,7356352,$29.21,$29.26,$28.07
04/09/2024,$29.80,4761275,$29.77,$29.96,$29.63
04/08/2024,$29.63,5319947,$29.35,$29.66,$29.32
04/05/2024,$29.32,5480498,$29.25,$29.34,$28.96
04/04/2024,$29.26,4908218,$29.65,$29.75,$29.13
04/03/2024,$29.36,4334034,$29.41,$29.52,$29.24
04/02/2024,$29.47,5073357,$29.40,$29.585,$29.32
04/01/2024,$29.60,5636001,$29.89,$29.89,$29.57
03/28/2024,$29.79,7192055,$29.83,$29.94,$29.625
03/27/2024,$29.75,5762301,$29.36,$29.76,$29.30
03/26/2024,$29.15,5271267,$28.86,$29.195,$28.775
03/25/2024,$28.82,3954916,$28.94,$29.04,$28.765
03/22/2024,$28.82,4663713,$29.19,$29.25,$28.775
03/21/2024,$29.19,6200313,$28.94,$29.23,$28.85
03/20/2024,$28.82,4609346,$28.41,$28.90,$28.26
03/19/2024,$28.97,5208828,$29.09,$29.09,$28.76
03/18/2024,$28.94,3987861,$28.86,$29.12,$28.73
03/15/2024,$28.93,10607760,$28.63,$28.99,$28.60
03/14/2024,$28.82,9440351,$29.19,$29.20,$28.655
03/13/2024,$29.31,8660623,$29.63,$29.795,$29.24
03/12/2024,$29.55,6704103,$29.60,$29.73,$29.38
03/11/2024,$29.65,7676686,$29.05,$29.74,$29.04
03/08/2024,$29.12,6314758,$29.19,$29.40,$29.06
03/07/2024,$29.02,4954804,$29.00,$29.29,$28.80
03/06/2024,$28.94,4697801,$29.11,$29.14,$28.78
03/05/2024,$28.92,6130453,$29.61,$29.645,$28.835
03/04/2024,$29.72,8525194,$29.45,$29.83,$29.205
03/01/2024,$29.58,12387560,$29.81,$29.83,$29.11
02/29/2024,$29.93,8643315,$29.82,$30.055,$29.67
02/28/2024,$29.56,5676521,$29.25,$29.78,$29.25
02/27/2024,$29.39,4676871,$29.76,$29.885,$29.34
02/26/2024,$29.55,7203184,$29.95,$30.05,$29.47
02/23/2024,$30.05,5775450,$29.85,$30.41,$29.75
02/22/2024,$29.70,5645170,$29.71,$29.91,$29.63
02/21/2024,$29.66,6079745,$29.59,$29.74,$29.35
02/20/2024,$29.56,6885809,$29.45,$29.66,$29.29
02/16/2024,$29.53,8178120,$29.20,$29.57,$29.01
02/15/2024,$29.49,5934322,$29.43,$29.69,$29.31
02/14/2024,$29.20,5426545,$29.29,$29.38,$29.13
02/13/2024,$29.23,6521928,$29.20,$29.29,$28.915
02/12/2024,$29.71,4119287,$29.83,$29.985,$29.64
02/09/2024,$29.72,4955152,$29.66,$29.73,$29.335
02/08/2024,$29.67,4406046,$29.62,$29.93,$29.58
02/07/2024,$29.70,6513354,$29.92,$30.01,$29.60
02/06/2024,$29.83,5910269,$29.55,$30.015,$29.38
02/05/2024,$29.63,6976882,$30.15,$30.15,$29.61
02/02/2024,$30.55,6077163,$30.77,$30.77,$30.24
02/01/2024,$31.05,10472020,$30.11,$31.07,$30.00
01/31/2024,$30.12,7096823,$30.39,$30.63,$29.93
01/30/2024,$30.24,4990157,$30.25,$30.45,$29.94
01/29/2024,$30.43,6263391,$30.38,$30.445,$30.10
01/26/2024,$30.40,3955976,$30.65,$30.75,$30.33
01/25/2024,$30.52,3876192,$30.65,$30.72,$30.285
01/24/2024,$30.34,5133947,$31.14,$31.24,$30.275
01/23/2024,$30.84,4882934,$30.87,$30.965,$30.58
01/22/2024,$30.73,5587267,$30.60,$30.97,$30.58
01/19/2024,$30.56,10323910,$30.34,$30.655,$29.88
01/18/2024,$30.26,6323087,$30.56,$30.74,$30.1325
01/17/2024,$30.58,4672773,$30.75,$31.174,$30.375
01/16/2024,$31.10,5196919,$30.90,$31.26,$30.8203
01/12/2024,$31.10,3665581,$31.45,$31.53,$31.075
01/11/2024,$31.16,4059270,$31.39,$31.50,$31.01
01/10/2024,$31.51,11231470,$31.65,$31.65,$31.36
01/09/2024,$31.65,5759805,$31.79,$31.87,$31.58
01/08/2024,$32.09,5006261,$31.61,$32.10,$31.54
01/05/2024,$31.68,4388065,$31.69,$31.92,$31.465
01/04/2024,$31.92,9334340,$32.53,$32.59,$31.78
01/03/2024,$32.44,7309780,$32.58,$32.62,$32.19
01/02/2024,$32.66,5872422,$31.79,$32.68,$31.71
12/29/2023,$31.88,5825569,$32.06,$32.13,$31.87
12/28/2023,$32.18,3932463,$31.84,$32.19,$31.78
12/27/2023,$31.82,3263129,$31.61,$31.83,$31.505
12/26/2023,$31.66,2353010,$31.34,$31.74,$31.3061
12/22/2023,$31.34,5018477,$31.49,$31.675,$31.17
12/21/2023,$31.42,6926409,$31.35,$31.545,$31.13
12/20/2023,$31.12,7103354,$31.36,$31.69,$31.09
12/19/2023,$31.80,7017514,$31.36,$32.04,$31.35
12/18/2023,$31.23,6166353,$31.47,$31.61,$31.195
12/15/2023,$31.34,18229270,$31.78,$31.93,$31.17
12/14/2023,$31.93,11974080,$32.06,$32.11,$31.44
12/13/2023,$31.53,8340544,$30.78,$31.63,$30.65
12/12/2023,$30.73,4581288,$30.79,$31.05,$30.55
12/11/2023,$30.79,5441998,$30.46,$30.8975,$30.38
12/08/2023,$30.51,7503811,$30.43,$30.68,$30.255
12/07/2023,$30.43,6833572,$30.25,$30.53,$30.03
