Date,Close/Last,Volume,Open,High,Low
09/06/2024,$134.19,3462044,$136.09,$137.00,$132.68
09/05/2024,$135.52,3299728,$139.86,$140.99,$135.23
09/04/2024,$139.63,2558398,$141.38,$142.69,$138.59
09/03/2024,$141.37,3236449,$144.51,$144.62,$140.67
08/30/2024,$146.73,3359564,$141.05,$147.06,$140.78
08/29/2024,$141.81,2275125,$141.99,$142.69,$139.22
08/28/2024,$141.05,2139759,$140.06,$142.74,$139.4201
08/27/2024,$140.93,2030263,$142.75,$142.75,$140.45
08/26/2024,$143.09,2752227,$146.61,$147.36,$142.65
08/23/2024,$145.87,1523954,$144.38,$146.30,$143.44
08/22/2024,$143.43,1176900,$144.09,$144.935,$142.90
08/21/2024,$143.87,2696238,$142.23,$145.42,$141.52
08/20/2024,$141.26,4084328,$147.95,$147.95,$141.15
08/19/2024,$148.22,2637912,$149.99,$150.5544,$147.79
08/16/2024,$149.82,2005513,$148.49,$151.045,$147.66
08/15/2024,$149.30,1917807,$148.99,$150.93,$148.52
08/14/2024,$147.82,2672659,$148.27,$149.32,$147.10
08/13/2024,$147.54,2530851,$150.00,$150.56,$147.28
08/12/2024,$151.49,1610437,$152.09,$153.59,$150.55
08/09/2024,$151.08,1568123,$151.58,$151.935,$149.50
08/08/2024,$151.61,2042128,$149.00,$152.405,$148.865
08/07/2024,$148.27,2148997,$150.62,$151.22,$147.89
08/06/2024,$148.85,2457174,$148.21,$151.85,$147.80
08/05/2024,$147.64,2684873,$144.44,$148.39,$141.44
08/02/2024,$148.56,3457861,$154.15,$154.15,$148.15
08/01/2024,$156.45,2412489,$161.11,$163.62,$155.33
07/31/2024,$161.72,2725129,$166.00,$167.78,$161.61
07/30/2024,$163.48,2954368,$158.22,$164.64,$157.775
07/29/2024,$157.45,2721518,$159.14,$160.69,$155.13
07/26/2024,$159.12,3151478,$157.76,$160.16,$154.885
07/25/2024,$157.00,4182004,$147.23,$158.84,$144.50
07/24/2024,$148.82,3770326,$147.19,$149.60,$145.09
07/23/2024,$146.87,1793665,$148.90,$149.42,$146.42
07/22/2024,$149.02,2435375,$147.50,$149.67,$146.12
07/19/2024,$148.33,1582355,$148.74,$149.325,$146.625
07/18/2024,$147.78,2327700,$151.02,$152.10,$147.69
07/17/2024,$150.05,4185157,$150.15,$154.27,$149.33
07/16/2024,$148.83,2483259,$147.85,$149.34,$145.90
07/15/2024,$148.75,2442322,$148.59,$150.05,$147.51
07/12/2024,$147.92,2311210,$148.00,$148.22,$145.111
07/11/2024,$146.64,2137074,$144.35,$147.69,$143.54
07/10/2024,$144.90,2640050,$145.58,$146.84,$144.08
07/09/2024,$146.30,3027950,$144.38,$148.85,$143.75
07/08/2024,$147.96,2493849,$152.00,$153.00,$147.83
07/05/2024,$152.78,2416520,$157.51,$158.49,$152.07
07/03/2024,$158.50,1479921,$157.96,$159.10,$156.2671
07/02/2024,$157.96,2927943,$159.95,$162.06,$157.315
07/01/2024,$157.98,2205479,$158.35,$159.47,$155.545
06/28/2024,$156.76,3899070,$155.92,$157.19,$153.595
06/27/2024,$154.04,2540244,$155.08,$157.1203,$153.53
06/26/2024,$153.58,3843074,$154.29,$155.32,$152.19
06/25/2024,$153.79,4862904,$150.47,$154.23,$148.34
06/24/2024,$150.73,2851365,$150.06,$152.33,$149.79
06/21/2024,$150.21,7128141,$153.50,$153.68,$149.58
06/20/2024,$152.47,3203997,$151.00,$153.56,$149.71
06/18/2024,$149.94,2552042,$152.27,$155.09,$149.13
06/17/2024,$151.11,1804044,$150.15,$151.81,$148.75
06/14/2024,$150.07,2641848,$148.67,$150.91,$148.00
06/13/2024,$149.82,2669060,$148.38,$151.3913,$147.25
06/12/2024,$148.38,3793340,$154.60,$155.7172,$147.45
06/11/2024,$153.60,2083499,$153.19,$153.87,$151.04
06/10/2024,$154.59,2285383,$154.04,$156.09,$152.675
06/07/2024,$154.43,1979605,$155.23,$156.59,$152.995
06/06/2024,$155.77,1981031,$153.86,$156.16,$152.99
06/05/2024,$154.04,1939169,$156.45,$156.45,$152.8795
06/04/2024,$155.38,2997294,$152.58,$156.64,$151.76
06/03/2024,$153.94,2887604,$157.05,$157.18,$152.23
05/31/2024,$157.14,4902497,$151.48,$157.34,$151.20
05/30/2024,$150.90,3970068,$154.00,$156.03,$150.60
05/29/2024,$155.69,3774139,$162.48,$162.48,$154.91
05/28/2024,$163.57,1912800,$163.245,$165.12,$162.69
05/24/2024,$162.42,1794632,$163.88,$164.50,$161.26
05/23/2024,$162.56,2251419,$163.52,$164.25,$161.79
05/22/2024,$162.00,2510035,$161.77,$164.1999,$159.00
05/21/2024,$162.39,2206794,$163.22,$164.59,$162.17
05/20/2024,$163.78,3089149,$166.00,$166.87,$162.54
05/17/2024,$166.06,4098450,$159.27,$166.225,$158.54
05/16/2024,$158.50,2597646,$156.34,$158.9783,$155.97
05/15/2024,$157.71,2799067,$155.38,$158.09,$153.38
05/14/2024,$155.93,2436755,$155.10,$155.97,$153.65
05/13/2024,$155.93,1510482,$156.88,$157.46,$155.49
05/10/2024,$156.13,2036168,$159.79,$160.37,$155.50
05/09/2024,$158.87,1676895,$156.95,$159.31,$156.94
05/08/2024,$157.07,2776449,$156.10,$158.925,$155.20
05/07/2024,$156.67,2268031,$158.51,$159.15,$156.54
05/06/2024,$158.20,2128435,$158.15,$160.22,$157.835
05/03/2024,$156.84,2356803,$157.86,$158.885,$154.785
05/02/2024,$157.34,2416078,$156.49,$158.35,$155.30
05/01/2024,$155.66,3979671,$160.35,$162.48,$154.57
04/30/2024,$159.87,4144124,$166.14,$166.925,$159.73
04/29/2024,$167.51,2082920,$164.85,$168.845,$164.72
04/26/2024,$165.80,2065193,$165.19,$166.95,$164.31
04/25/2024,$167.13,3299360,$164.93,$168.50,$162.13
04/24/2024,$167.00,2350797,$166.16,$167.59,$165.06
04/23/2024,$167.54,1969250,$164.70,$167.62,$163.4734
04/22/2024,$165.90,2129996,$163.89,$167.295,$162.36
04/19/2024,$163.89,2437686,$163.00,$165.55,$162.22
04/18/2024,$162.49,3115045,$167.84,$168.00,$160.99
04/17/2024,$167.28,2469794,$169.27,$170.29,$166.535
04/16/2024,$168.99,2126328,$170.60,$171.2343,$166.57
04/15/2024,$170.67,2413655,$174.08,$174.94,$169.89
04/12/2024,$173.54,2452374,$177.69,$178.39,$172.375
04/11/2024,$177.04,2414439,$176.15,$177.315,$174.45
04/10/2024,$175.70,3472226,$175.24,$177.70,$173.63
04/09/2024,$176.26,3502644,$182.00,$182.10,$176.11
04/08/2024,$180.89,2539239,$183.03,$183.38,$180.75
04/05/2024,$183.39,2418947,$183.00,$184.79,$181.19
04/04/2024,$180.61,3212759,$180.69,$183.79,$180.11
04/03/2024,$180.37,4127522,$179.12,$182.73,$177.74
04/02/2024,$177.22,3152123,$173.17,$177.32,$172.75
04/01/2024,$172.64,2775441,$170.11,$173.07,$167.11
03/28/2024,$170.69,3325987,$168.07,$171.235,$166.01
03/27/2024,$167.81,3098551,$168.10,$169.67,$165.63
03/26/2024,$167.25,3025483,$168.86,$170.665,$166.765
03/25/2024,$168.49,2767913,$170.70,$172.46,$168.43
03/22/2024,$169.64,3497489,$170.03,$171.2065,$168.86
03/21/2024,$170.98,3685736,$170.37,$171.845,$168.86
03/20/2024,$169.57,3952572,$166.58,$171.16,$166.06
03/19/2024,$167.39,3957016,$166.09,$168.00,$165.00
03/18/2024,$166.29,4444542,$165.35,$167.33,$163.10
03/15/2024,$163.70,9134365,$161.61,$166.10,$161.60
03/14/2024,$159.39,3561439,$159.41,$161.10,$157.65
03/13/2024,$158.63,4772237,$154.00,$160.4791,$153.999
03/12/2024,$150.73,2976287,$150.29,$152.35,$148.20
03/11/2024,$150.54,2795394,$148.98,$151.18,$147.62
03/08/2024,$149.53,2085831,$148.66,$150.70,$148.33
03/07/2024,$149.03,3613669,$145.37,$150.50,$143.93
03/06/2024,$144.44,2885888,$145.51,$145.75,$142.20
03/05/2024,$144.31,2678308,$144.59,$147.59,$143.08
03/04/2024,$144.70,4296374,$143.51,$147.43,$142.98
03/01/2024,$143.28,2003903,$142.45,$144.14,$142.37
02/29/2024,$141.46,4222523,$139.25,$141.85,$138.25
02/28/2024,$139.21,3895345,$142.26,$142.28,$138.40
02/27/2024,$142.98,3047819,$146.36,$146.95,$142.91
02/26/2024,$145.09,3350614,$141.94,$147.06,$141.19
02/23/2024,$141.58,2520800,$139.01,$141.93,$138.46
02/22/2024,$139.78,3467779,$136.08,$139.915,$134.39
02/21/2024,$137.15,3130527,$135.28,$137.17,$135.15
02/20/2024,$135.03,4060549,$139.01,$139.21,$134.66
02/16/2024,$139.54,3002131,$142.26,$142.26,$139.07
02/15/2024,$141.99,2729935,$140.24,$143.43,$140.059
02/14/2024,$141.04,4085272,$142.49,$143.05,$138.22
02/13/2024,$141.57,2730542,$142.05,$142.88,$139.84
02/12/2024,$142.53,2825184,$143.75,$144.1999,$142.26
02/09/2024,$143.06,3795009,$141.82,$143.28,$141.16
02/08/2024,$141.80,2673483,$141.50,$142.37,$140.93
02/07/2024,$141.18,3014906,$138.30,$141.20,$137.00
02/06/2024,$137.83,7279776,$140.90,$143.035,$137.43
02/05/2024,$140.41,3462507,$137.11,$141.01,$135.78
02/02/2024,$137.85,3639739,$138.65,$139.33,$135.62
02/01/2024,$138.29,4695308,$139.58,$141.285,$133.82
01/31/2024,$138.90,4273480,$141.28,$142.51,$138.60
01/30/2024,$141.89,4304129,$137.51,$142.02,$137.14
01/29/2024,$138.38,3464182,$138.00,$138.915,$136.63
01/26/2024,$137.91,5285988,$134.46,$137.98,$133.87
01/25/2024,$134.46,5293282,$133.48,$135.91,$131.60
01/24/2024,$130.15,3140836,$130.48,$130.89,$129.27
01/23/2024,$129.11,2883326,$128.80,$130.20,$127.64
01/22/2024,$129.12,2903021,$127.72,$129.63,$126.515
01/19/2024,$128.16,2964812,$126.63,$128.17,$125.99
01/18/2024,$125.96,2565609,$125.88,$126.45,$124.02
01/17/2024,$126.31,2764600,$127.36,$128.89,$125.775
01/16/2024,$129.30,3519399,$132.51,$135.74,$129.02
01/12/2024,$131.50,3276282,$130.00,$131.6976,$129.68
01/11/2024,$128.00,2388126,$125.68,$128.09,$125.49
01/10/2024,$124.77,2714361,$127.25,$127.6499,$124.12
01/09/2024,$127.17,2273329,$128.80,$128.87,$126.68
01/08/2024,$129.27,2756528,$126.51,$129.4113,$124.56
01/05/2024,$129.00,2958153,$130.51,$131.35,$128.07
01/04/2024,$130.31,2586462,$134.57,$135.72,$130.23
