Date,Close/Last,Volume,Open,High,Low
09/06/2024,$108.72,2043570,$109.59,$110.76,$108.08
09/05/2024,$109.85,1148285,$110.20,$110.74,$109.30
09/04/2024,$110.85,1108763,$110.15,$111.60,$110.15
09/03/2024,$110.26,1369886,$111.10,$112.22,$109.62
08/30/2024,$112.43,2254609,$111.98,$112.66,$111.125
08/29/2024,$111.81,1375629,$111.75,$112.77,$111.26
08/28/2024,$111.26,1279086,$111.66,$111.69,$110.98
08/27/2024,$111.15,978544,$110.93,$111.41,$110.44
08/26/2024,$111.03,947645,$112.00,$112.22,$110.88
08/23/2024,$111.78,874166,$111.50,$112.15,$111.014
08/22/2024,$110.83,1223275,$110.17,$111.35,$109.94
08/21/2024,$109.82,1103576,$110.00,$110.14,$109.34
08/20/2024,$109.40,927918,$109.58,$109.90,$109.23
08/19/2024,$109.58,1113533,$109.24,$109.775,$108.99
08/16/2024,$108.72,942846,$108.92,$109.26,$108.1859
08/15/2024,$108.97,1029712,$109.51,$109.52,$108.30
08/14/2024,$108.51,771621,$108.07,$108.885,$107.89
08/13/2024,$108.09,1061780,$106.80,$108.47,$106.46
08/12/2024,$106.49,781864,$105.90,$107.455,$105.46
08/09/2024,$106.10,1466862,$106.76,$107.09,$105.655
08/08/2024,$107.24,1173657,$104.54,$107.33,$103.72
08/07/2024,$104.23,1183669,$105.12,$106.60,$103.961
08/06/2024,$104.12,1612939,$102.34,$105.03,$101.76
08/05/2024,$101.99,1773548,$102.56,$103.75,$101.61
08/02/2024,$104.84,1698801,$105.86,$106.49,$103.05
08/01/2024,$106.70,1531157,$106.72,$107.34,$105.715
07/31/2024,$106.56,1486084,$107.24,$107.7656,$106.15
07/30/2024,$107.06,1702057,$105.17,$107.50,$105.17
07/29/2024,$105.10,2195536,$106.08,$106.8975,$104.94
07/26/2024,$104.87,3164725,$104.00,$107.86,$104.00
07/25/2024,$99.61,1687420,$99.03,$101.59,$98.92
07/24/2024,$99.30,1364107,$100.32,$100.79,$98.9635
07/23/2024,$100.44,971621,$98.91,$100.87,$98.875
07/22/2024,$99.53,930752,$98.94,$99.76,$98.10
