Date,Close/Last,Volume,Open,High,Low
09/06/2024,$231.97,1161464,$234.03,$236.03,$231.56
09/05/2024,$232.16,727644,$234.11,$235.04,$230.72
09/04/2024,$234.83,1009418,$239.09,$240.01,$232.69
09/03/2024,$239.02,933447,$241.65,$244.00,$237.68
08/30/2024,$245.21,844615,$242.29,$245.87,$241.37
08/29/2024,$241.28,866649,$237.52,$243.4149,$236.8521
08/28/2024,$235.77,1835059,$241.81,$242.39,$235.09
08/27/2024,$240.41,1007336,$249.02,$250.0016,$237.17
08/26/2024,$250.68,447624,$256.33,$257.54,$250.23
08/23/2024,$254.89,1252331,$250.26,$257.42,$249.655
08/22/2024,$247.98,680587,$248.75,$250.235,$246.665
08/21/2024,$247.84,920689,$247.23,$249.88,$246.79
08/20/2024,$245.60,533967,$244.23,$246.79,$244.23
08/19/2024,$244.29,660452,$244.61,$245.615,$242.18
08/16/2024,$244.43,490890,$247.06,$247.0622,$243.595
08/15/2024,$246.57,1028898,$245.87,$247.09,$242.34
08/14/2024,$242.50,876714,$245.09,$246.30,$242.07
08/13/2024,$243.84,706027,$244.06,$245.92,$241.79
08/12/2024,$241.90,869250,$244.23,$244.79,$239.91
08/09/2024,$244.34,887968,$246.18,$249.13,$243.36
08/08/2024,$246.33,1196298,$242.67,$250.77,$242.3214
08/07/2024,$241.22,1376834,$248.49,$251.72,$241.22
08/06/2024,$246.14,2294967,$245.61,$251.71,$238.89
08/05/2024,$257.43,1355133,$260.00,$262.41,$252.93
08/02/2024,$266.34,986570,$268.36,$268.36,$260.12
08/01/2024,$271.13,1316744,$273.94,$274.98,$269.96
07/31/2024,$274.51,1458874,$271.80,$278.79,$268.52
07/30/2024,$270.00,1205094,$268.83,$273.325,$267.64
07/29/2024,$264.53,586815,$262.21,$265.245,$260.94
07/26/2024,$261.71,673485,$257.23,$262.85,$256.00
07/25/2024,$253.77,825155,$251.45,$259.64,$251.12
07/24/2024,$250.51,1116259,$258.42,$259.825,$250.06
07/23/2024,$260.15,408546,$260.04,$262.09,$259.3839
07/22/2024,$260.61,743908,$257.58,$261.49,$255.25
07/19/2024,$256.14,599755,$257.80,$258.19,$254.70
07/18/2024,$256.09,531665,$254.53,$259.465,$254.53
07/17/2024,$255.80,628609,$260.81,$260.885,$255.50
07/16/2024,$262.81,866774,$255.07,$263.33,$254.605
07/15/2024,$253.90,838289,$255.55,$256.66,$252.61
07/12/2024,$252.51,833704,$255.59,$258.84,$252.01
07/11/2024,$254.69,902323,$248.35,$255.29,$248.35
07/10/2024,$247.72,634693,$242.67,$248.60,$241.045
07/09/2024,$242.25,796439,$242.32,$242.92,$239.48
07/08/2024,$241.97,735029,$244.98,$246.55,$241.44
07/05/2024,$244.21,415574,$243.36,$245.00,$241.02
07/03/2024,$243.92,439248,$244.46,$245.54,$242.22
07/02/2024,$245.07,773413,$241.54,$245.08,$240.985
07/01/2024,$243.72,652317,$249.69,$249.99,$242.18
06/28/2024,$248.68,988674,$248.71,$251.81,$247.02
06/27/2024,$247.76,577032,$246.21,$249.16,$245.38
06/26/2024,$245.88,790829,$244.55,$247.23,$243.90
06/25/2024,$246.15,903644,$245.38,$246.64,$243.85
06/24/2024,$247.58,822697,$247.73,$249.19,$245.06
06/21/2024,$247.81,1258231,$245.72,$248.56,$243.31
06/20/2024,$246.46,1142658,$255.02,$255.23,$243.76
06/18/2024,$255.61,1143292,$255.98,$257.115,$252.82
06/17/2024,$256.35,552464,$252.17,$257.24,$251.345
06/14/2024,$252.64,617267,$252.00,$253.635,$249.01
06/13/2024,$253.95,692730,$247.78,$254.54,$247.52
06/12/2024,$249.12,804090,$248.90,$253.03,$246.05
06/11/2024,$244.64,571317,$247.00,$247.17,$243.505
06/10/2024,$247.81,558212,$246.32,$249.515,$245.08
06/07/2024,$247.59,608219,$248.59,$250.81,$246.92
06/06/2024,$248.58,654396,$250.97,$251.39,$247.4075
06/05/2024,$251.18,427593,$251.50,$251.98,$249.07
06/04/2024,$250.46,559717,$251.91,$252.71,$247.95
06/03/2024,$252.19,685002,$256.73,$257.38,$248.92
05/31/2024,$255.77,1649507,$253.48,$256.36,$245.41
05/30/2024,$254.08,647753,$252.52,$255.35,$251.92
05/29/2024,$251.91,486751,$252.47,$254.22,$251.39
05/28/2024,$253.98,519673,$257.96,$258.53,$253.49
