Date,Close/Last,Volume,Open,High,Low
09/06/2024,$62.86,2490244,$62.82,$63.14,$62.24
09/05/2024,$62.82,2506448,$63.18,$63.46,$62.49
09/04/2024,$62.55,3132955,$62.49,$63.2027,$62.13
09/03/2024,$62.44,4489903,$61.76,$62.47,$61.50
08/30/2024,$62.11,3557201,$61.40,$62.31,$61.285
08/29/2024,$61.12,2476311,$60.98,$61.31,$60.495
08/28/2024,$61.17,2453057,$60.32,$61.345,$60.13
08/27/2024,$60.28,2618512,$59.44,$60.31,$59.22
08/26/2024,$59.86,1585377,$59.83,$60.07,$59.54
08/23/2024,$59.58,1879828,$59.24,$59.855,$59.15
08/22/2024,$59.24,1192087,$58.80,$59.25,$58.55
08/21/2024,$58.79,1202836,$59.05,$59.10,$58.46
08/20/2024,$58.93,1444260,$58.52,$59.00,$58.34
08/19/2024,$58.41,1218026,$58.41,$58.83,$58.30
08/16/2024,$58.42,1913382,$58.03,$58.45,$57.571
08/15/2024,$58.04,2136870,$58.33,$58.89,$57.60
08/14/2024,$58.52,2427773,$59.22,$59.41,$58.37
08/13/2024,$59.28,2865710,$59.29,$59.82,$59.09
08/12/2024,$58.98,2516703,$59.12,$59.41,$58.41
08/09/2024,$59.37,3422540,$59.29,$59.50,$58.465
08/08/2024,$58.99,3824050,$57.72,$59.15,$57.72
08/07/2024,$57.80,4248556,$57.23,$58.96,$57.04
08/06/2024,$57.17,3753487,$55.79,$57.705,$55.67
08/05/2024,$55.67,3182311,$55.42,$57.16,$55.24
08/02/2024,$56.40,3581050,$55.46,$57.11,$55.275
08/01/2024,$55.30,2665515,$54.96,$55.54,$54.68
07/31/2024,$54.44,3232993,$54.69,$55.205,$54.275
07/30/2024,$54.86,2274738,$54.66,$55.15,$54.46
07/29/2024,$54.19,1054676,$53.86,$54.26,$53.42
07/26/2024,$53.75,1370416,$53.59,$53.98,$53.09
07/25/2024,$53.19,1192459,$53.60,$54.02,$53.045
07/24/2024,$53.53,1639918,$53.62,$54.51,$53.425
07/23/2024,$53.56,1628601,$53.59,$54.22,$53.44
07/22/2024,$53.67,1449451,$53.29,$53.72,$52.79
07/19/2024,$53.30,1534968,$53.59,$53.70,$53.14
07/18/2024,$53.21,1125764,$53.36,$53.98,$53.02
07/17/2024,$53.43,1464835,$53.10,$53.54,$52.95
07/16/2024,$53.10,1539039,$52.87,$53.15,$52.58
07/15/2024,$52.64,2057823,$52.58,$52.815,$52.45
07/12/2024,$52.46,1998517,$53.16,$53.16,$52.265
07/11/2024,$52.98,2013526,$52.72,$53.13,$52.42
07/10/2024,$52.11,1494302,$52.36,$52.40,$51.67
07/09/2024,$52.24,1853822,$51.84,$52.4799,$51.57
07/08/2024,$51.88,1299849,$52.42,$52.68,$51.83
07/05/2024,$52.45,1598533,$51.95,$52.625,$51.61
07/03/2024,$51.82,1207023,$51.71,$51.94,$51.40
07/02/2024,$51.79,4399979,$51.01,$51.86,$50.88
07/01/2024,$50.88,2465243,$50.67,$50.99,$50.38
06/28/2024,$51.26,4369371,$50.96,$51.26,$50.59
06/27/2024,$50.81,1372175,$49.97,$50.84,$49.65
06/26/2024,$49.85,3124550,$49.49,$50.10,$49.49
06/25/2024,$49.89,2198621,$50.55,$50.55,$49.48
06/24/2024,$50.69,2851046,$50.45,$50.90,$50.19
06/21/2024,$50.42,4803134,$50.13,$50.56,$49.76
06/20/2024,$50.07,1454382,$50.08,$50.44,$49.97
06/18/2024,$50.26,1413090,$50.00,$50.4257,$49.86
06/17/2024,$50.00,1901292,$49.64,$50.03,$49.3401
06/14/2024,$50.10,1944336,$49.90,$50.30,$49.73
06/13/2024,$50.04,1692396,$49.68,$50.36,$49.35
06/12/2024,$49.52,2082782,$50.50,$50.68,$49.33
06/11/2024,$49.59,2054683,$49.51,$49.87,$49.37
06/10/2024,$49.90,1536742,$49.62,$50.34,$49.255
06/07/2024,$49.71,1489669,$49.30,$49.87,$49.06
06/06/2024,$49.84,1808603,$49.55,$49.98,$49.48
06/05/2024,$49.77,2122489,$49.93,$50.14,$49.59
06/04/2024,$50.00,2295887,$49.85,$50.35,$49.74
06/03/2024,$50.03,3321845,$50.16,$50.49,$49.74
05/31/2024,$50.26,4466743,$49.43,$50.41,$49.04
05/30/2024,$49.00,4201851,$47.87,$49.06,$47.58
05/29/2024,$47.41,2974535,$46.72,$47.68,$46.66
05/28/2024,$47.18,1299832,$47.88,$48.06,$47.0786
05/24/2024,$47.50,1056420,$47.60,$47.97,$47.29
05/23/2024,$47.19,1658030,$48.59,$48.60,$47.17
05/22/2024,$48.47,1527674,$48.24,$48.67,$48.21
05/21/2024,$48.37,1309408,$48.59,$48.975,$48.23
05/20/2024,$48.73,1313516,$48.69,$49.02,$48.54
05/17/2024,$48.91,1368773,$48.88,$49.10,$48.51
05/16/2024,$48.71,3767175,$49.00,$49.00,$48.42
05/15/2024,$48.71,2959198,$48.465,$48.89,$48.15
05/14/2024,$47.96,1647362,$47.98,$48.16,$47.50
05/13/2024,$47.61,1151597,$47.73,$47.80,$47.245
05/10/2024,$47.56,1148974,$47.67,$47.89,$47.38
05/09/2024,$47.55,1930781,$47.70,$47.70,$47.15
05/08/2024,$47.44,2637420,$47.11,$47.655,$46.82
05/07/2024,$47.13,1726498,$47.25,$47.48,$46.985
05/06/2024,$47.05,2381312,$47.09,$47.13,$46.53
05/03/2024,$46.79,3167607,$46.73,$46.98,$45.945
05/02/2024,$46.22,3859343,$46.00,$46.92,$44.40
05/01/2024,$43.81,2949721,$44.04,$44.71,$43.64
04/30/2024,$44.28,2740830,$44.43,$45.17,$44.13
04/29/2024,$44.67,1919631,$44.36,$44.76,$44.205
04/26/2024,$44.00,1899133,$43.34,$44.25,$43.34
04/25/2024,$43.36,1162358,$43.48,$43.58,$43.1146
04/24/2024,$43.61,1490803,$43.09,$43.78,$42.88
04/23/2024,$43.56,2605807,$43.22,$43.68,$43.08
04/22/2024,$43.13,1434313,$43.19,$43.25,$42.66
04/19/2024,$43.13,1690529,$42.83,$43.37,$42.7207
04/18/2024,$42.64,1860840,$42.34,$42.84,$42.045
04/17/2024,$42.23,1645602,$41.74,$42.83,$41.695
04/16/2024,$41.68,1577788,$42.02,$42.16,$41.45
04/15/2024,$42.24,1335292,$43.17,$43.21,$41.90
04/12/2024,$42.83,1880836,$43.04,$43.0775,$42.59
04/11/2024,$43.17,2355650,$42.68,$43.51,$42.47
04/10/2024,$42.40,1727725,$42.81,$42.995,$41.88
04/09/2024,$44.01,2216490,$43.58,$44.03,$43.30
04/08/2024,$43.49,2116885,$43.18,$43.58,$42.85
04/05/2024,$43.09,1745040,$42.49,$43.13,$42.43
04/04/2024,$42.66,3704534,$43.56,$43.67,$42.475
04/03/2024,$43.19,2291905,$42.70,$43.435,$42.60
04/02/2024,$42.75,3064806,$42.62,$43.215,$42.47
04/01/2024,$42.86,2554163,$43.70,$43.70,$42.845
03/28/2024,$43.54,3012275,$43.46,$43.90,$43.35
03/27/2024,$43.63,2673289,$42.74,$43.65,$42.52
03/26/2024,$42.35,1514191,$42.79,$42.91,$42.35
03/25/2024,$42.65,1711921,$43.68,$43.68,$42.64
03/22/2024,$43.36,3677816,$44.00,$44.10,$43.11
03/21/2024,$43.91,3573524,$43.86,$43.985,$43.25
03/20/2024,$43.67,2193340,$43.06,$43.68,$42.80
03/19/2024,$43.38,2434148,$42.72,$43.435,$42.394
03/18/2024,$42.77,3016095,$43.04,$43.16,$42.40
03/15/2024,$42.48,4504146,$41.92,$42.67,$41.92
03/14/2024,$42.59,2470023,$43.04,$43.33,$42.34
03/13/2024,$43.40,2196723,$43.70,$43.96,$43.21
03/12/2024,$43.63,2160153,$44.32,$44.32,$43.32
03/11/2024,$44.53,1768128,$44.39,$44.65,$44.0353
03/08/2024,$44.42,2417547,$43.78,$44.52,$43.75
03/07/2024,$43.54,1655887,$43.70,$43.9099,$43.20
03/06/2024,$43.44,1756134,$43.41,$43.51,$42.97
03/05/2024,$42.97,3225967,$43.98,$44.18,$42.93
03/04/2024,$44.10,3211955,$43.81,$44.47,$43.25
03/01/2024,$44.00,2969123,$42.30,$44.10,$42.24
02/29/2024,$42.29,5408279,$42.85,$43.00,$41.98
02/28/2024,$42.48,3048428,$42.43,$43.02,$42.13
02/27/2024,$42.64,2008655,$43.24,$43.24,$42.535
02/26/2024,$42.97,2084984,$43.71,$44.09,$42.95
02/23/2024,$44.16,1892362,$44.10,$44.54,$43.80
02/22/2024,$44.09,1676087,$44.11,$44.285,$43.60
02/21/2024,$44.08,2499883,$43.05,$44.17,$42.78
02/20/2024,$43.04,3190000,$43.50,$44.05,$42.69
02/16/2024,$43.76,2899664,$43.73,$44.445,$43.51
02/15/2024,$44.21,5721650,$43.30,$44.50,$43.03
02/14/2024,$45.61,6006787,$44.68,$46.15,$44.68
02/13/2024,$44.47,2580420,$44.22,$44.48,$43.60
02/12/2024,$45.28,1865472,$45.59,$45.80,$45.15
02/09/2024,$45.53,1706128,$45.36,$45.68,$44.99
02/08/2024,$45.52,1921162,$44.93,$45.845,$44.93
02/07/2024,$45.09,3256472,$45.26,$45.50,$44.70
02/06/2024,$45.10,2257062,$44.66,$45.56,$44.65
02/05/2024,$44.79,2117225,$45.67,$45.674,$44.73
02/02/2024,$46.36,1827917,$46.49,$46.73,$45.58
02/01/2024,$47.23,2326282,$46.24,$47.23,$46.04
