Date,Close/Last,Volume,Open,High,Low
09/06/2024,$11.27,9593640,$11.69,$11.775,$11.155
09/05/2024,$11.67,5034232,$11.84,$11.90,$11.64
09/04/2024,$11.78,6281542,$11.90,$11.91,$11.72
09/03/2024,$11.89,5801882,$11.89,$11.99,$11.84
08/30/2024,$12.08,6717166,$11.93,$12.10,$11.93
08/29/2024,$11.89,4033826,$11.91,$11.955,$11.78
08/28/2024,$11.90,6583624,$11.68,$11.93,$11.65
08/27/2024,$11.69,4466437,$11.73,$11.76,$11.615
08/26/2024,$11.75,6090569,$11.76,$11.86,$11.70
08/23/2024,$11.76,6060175,$11.60,$11.78,$11.57
08/22/2024,$11.70,4631673,$11.71,$11.82,$11.66
08/21/2024,$11.72,8580321,$11.68,$11.76,$11.56
08/20/2024,$11.66,5449667,$11.77,$11.845,$11.64
08/19/2024,$11.83,4983876,$11.73,$11.86,$11.65
08/16/2024,$11.66,11491370,$11.67,$11.83,$11.645
08/15/2024,$11.67,10020900,$11.44,$11.7199,$11.44
08/14/2024,$11.40,11161040,$11.48,$11.49,$11.125
08/13/2024,$11.57,6681355,$11.58,$11.59,$11.40
08/12/2024,$11.57,6972386,$11.77,$11.77,$11.46
08/09/2024,$11.78,8300189,$12.07,$12.07,$11.73
08/08/2024,$12.10,17115850,$11.88,$12.77,$11.88
08/07/2024,$11.36,11623800,$11.44,$11.615,$11.32
08/06/2024,$11.35,7895084,$11.47,$11.68,$11.34
08/05/2024,$11.56,8168807,$11.51,$11.735,$11.395
08/02/2024,$11.87,7562292,$11.92,$12.04,$11.66
08/01/2024,$11.96,10426190,$12.07,$12.18,$11.90
07/31/2024,$12.06,13649450,$12.09,$12.25,$12.02
07/30/2024,$12.13,7527748,$11.99,$12.16,$11.90
07/29/2024,$11.90,6399562,$12.05,$12.075,$11.86
07/26/2024,$12.08,6020132,$11.78,$12.18,$11.78
07/25/2024,$11.76,4187267,$11.73,$11.95,$11.70
07/24/2024,$11.70,4306184,$11.64,$11.79,$11.51
07/23/2024,$11.50,5592801,$11.67,$11.67,$11.435
07/22/2024,$11.67,4711825,$11.73,$11.80,$11.56
07/19/2024,$11.84,5500279,$11.85,$11.87,$11.65
07/18/2024,$11.77,6950787,$11.86,$12.16,$11.74
07/17/2024,$11.84,11282480,$11.37,$11.91,$11.34
07/16/2024,$11.38,9488505,$11.00,$11.425,$10.935
07/15/2024,$11.00,5438821,$11.23,$11.235,$10.9601
07/12/2024,$11.24,6402229,$11.24,$11.425,$11.205
07/11/2024,$11.19,6133158,$10.97,$11.21,$10.85
07/10/2024,$10.89,7069886,$10.77,$10.98,$10.74
07/09/2024,$10.80,11515620,$10.60,$10.98,$10.47
07/08/2024,$10.61,11063650,$10.365,$10.64,$10.34
07/05/2024,$10.32,17697570,$10.30,$10.36,$10.145
07/03/2024,$10.38,10103030,$10.46,$10.51,$10.34
07/02/2024,$10.43,4934218,$10.70,$10.705,$10.33
07/01/2024,$10.59,7364929,$10.66,$10.785,$10.54
06/28/2024,$10.63,12090490,$10.54,$10.73,$10.50
06/27/2024,$10.48,7771635,$10.42,$10.59,$10.32
06/26/2024,$10.43,7615305,$10.30,$10.46,$10.165
06/25/2024,$10.31,6232840,$10.45,$10.465,$10.23
06/24/2024,$10.47,11721830,$10.46,$10.68,$10.34
06/21/2024,$10.47,29958570,$10.23,$10.50,$10.17
06/20/2024,$10.26,10181900,$10.03,$10.36,$9.99
06/18/2024,$10.05,6445450,$10.10,$10.25,$9.925
06/17/2024,$10.11,6717528,$10.17,$10.18,$9.97
06/14/2024,$10.17,11379730,$10.35,$10.37,$10.09
06/13/2024,$10.39,7875178,$10.49,$10.56,$10.365
06/12/2024,$10.63,10430210,$10.73,$10.94,$10.52
06/11/2024,$10.64,11590680,$10.46,$10.74,$10.36
06/10/2024,$10.51,7245178,$10.41,$10.54,$10.21
06/07/2024,$10.47,5557381,$10.42,$10.60,$10.34
06/06/2024,$10.42,6915569,$10.44,$10.51,$10.28
06/05/2024,$10.49,6054398,$10.52,$10.545,$10.40
06/04/2024,$10.53,6537023,$10.56,$10.66,$10.49
06/03/2024,$10.58,7438098,$10.69,$10.845,$10.55
05/31/2024,$10.60,8862334,$10.52,$10.64,$10.42
05/30/2024,$10.48,5823176,$10.31,$10.50,$10.295
05/29/2024,$10.31,5739908,$10.28,$10.37,$10.24
05/28/2024,$10.39,6165865,$10.41,$10.535,$10.335
05/24/2024,$10.41,4900638,$10.54,$10.63,$10.39
05/23/2024,$10.53,7970187,$10.79,$10.79,$10.395
05/22/2024,$10.875,6290152,$10.91,$11.04,$10.86
05/21/2024,$10.96,6631386,$11.04,$11.08,$10.885
05/20/2024,$11.07,13020700,$11.00,$11.21,$10.975
05/17/2024,$10.98,14009980,$11.02,$11.05,$10.89
05/16/2024,$11.02,9719075,$11.00,$11.24,$10.96
05/15/2024,$11.07,8137429,$11.20,$11.295,$10.97
05/14/2024,$11.14,9266424,$11.41,$11.48,$11.06
05/13/2024,$11.36,9149400,$11.21,$11.39,$11.17
05/10/2024,$11.16,9576034,$11.19,$11.49,$11.105
05/09/2024,$11.22,15229840,$11.43,$11.69,$11.09
05/08/2024,$11.81,10577970,$11.75,$12.04,$11.70
05/07/2024,$11.72,6075206,$11.83,$11.91,$11.71
05/06/2024,$11.82,6028846,$11.81,$11.87,$11.70
05/03/2024,$11.78,5088581,$11.67,$11.865,$11.63
05/02/2024,$11.60,7905787,$11.69,$11.73,$11.51
05/01/2024,$11.63,8672646,$11.57,$11.80,$11.44
04/30/2024,$11.57,20387110,$11.74,$11.75,$11.57
04/29/2024,$11.78,5843723,$11.51,$11.79,$11.489
04/26/2024,$11.57,5166294,$11.43,$11.65,$11.40
04/25/2024,$11.47,6540893,$11.55,$11.65,$11.36
04/24/2024,$11.55,7593923,$11.34,$11.58,$11.25
04/23/2024,$11.36,4675294,$11.25,$11.40,$11.21
04/22/2024,$11.25,5099330,$11.34,$11.35,$11.21
04/19/2024,$11.25,4679890,$11.15,$11.31,$11.10
04/18/2024,$11.12,3464188,$11.12,$11.25,$11.07
04/17/2024,$11.10,6068893,$11.19,$11.25,$11.09
04/16/2024,$11.12,6763831,$11.26,$11.26,$11.05
04/15/2024,$11.32,4398649,$11.43,$11.64,$11.26
04/12/2024,$11.33,8160400,$11.55,$11.57,$11.195
04/11/2024,$11.57,4482759,$11.69,$11.735,$11.525
04/10/2024,$11.71,7083819,$11.65,$11.77,$11.625
04/09/2024,$11.82,5625791,$11.73,$11.84,$11.70
04/08/2024,$11.75,8279082,$11.77,$11.90,$11.68
04/05/2024,$11.80,5794024,$11.72,$11.83,$11.6345
04/04/2024,$11.76,6130054,$12.16,$12.16,$11.7225
04/03/2024,$12.02,9150739,$11.89,$12.22,$11.89
04/02/2024,$11.94,6833124,$11.86,$12.00,$11.80
04/01/2024,$11.94,5905730,$11.97,$11.97,$11.78
03/28/2024,$11.94,11960080,$11.81,$12.02,$11.775
