Date,Close/Last,Volume,Open,High,Low
09/06/2024,$41.15,18100350,$41.36,$41.791,$41.13
09/05/2024,$41.31,28199760,$41.305,$41.81,$40.90
09/04/2024,$41.48,31272700,$43.00,$43.27,$41.20
09/03/2024,$42.93,23319940,$41.96,$42.93,$41.92
08/30/2024,$41.78,20009890,$41.30,$41.89,$41.17
08/29/2024,$41.25,17338130,$41.54,$41.565,$41.14
08/28/2024,$41.49,12732720,$41.49,$41.7079,$41.36
08/27/2024,$41.45,9778154,$41.55,$41.64,$41.175
08/26/2024,$41.49,10309480,$41.37,$41.74,$41.24
08/23/2024,$41.21,11757330,$40.99,$41.23,$40.915
08/22/2024,$40.87,13529600,$41.10,$41.16,$40.61
08/21/2024,$41.05,13683360,$40.91,$41.07,$40.73
08/20/2024,$40.85,8784009,$40.66,$40.955,$40.625
08/19/2024,$40.74,9401416,$40.625,$40.86,$40.56
08/16/2024,$40.61,13377520,$40.10,$40.62,$40.06
08/15/2024,$40.04,17489610,$40.84,$40.92,$40.00
08/14/2024,$40.90,10931100,$40.60,$41.10,$40.49
08/13/2024,$40.78,15349360,$40.65,$40.80,$40.355
08/12/2024,$40.53,11098960,$40.945,$41.00,$40.31
08/09/2024,$40.75,11818720,$40.49,$40.80,$40.03
08/08/2024,$40.52,13237150,$40.28,$40.79,$40.25
08/07/2024,$40.28,12176300,$40.36,$40.72,$40.20
08/06/2024,$40.26,18104250,$39.97,$40.48,$39.76
08/05/2024,$39.80,26855040,$40.00,$40.27,$39.64
08/02/2024,$40.97,26124910,$41.20,$41.94,$40.405
08/01/2024,$40.85,18166750,$40.665,$41.18,$40.2828
07/31/2024,$40.52,23605390,$40.03,$40.79,$39.98
07/30/2024,$40.04,16089220,$40.01,$40.26,$39.83
07/29/2024,$40.03,12937170,$40.08,$40.12,$39.67
07/26/2024,$40.09,15911470,$39.90,$40.17,$39.65
07/25/2024,$39.95,19740300,$39.86,$40.965,$39.79
07/24/2024,$39.67,22888990,$39.24,$39.83,$39.045
07/23/2024,$38.89,25257750,$38.74,$39.265,$38.72
07/22/2024,$39.09,54985800,$39.95,$40.00,$38.70
07/19/2024,$41.62,17608030,$42.30,$42.30,$41.43
07/18/2024,$42.07,15752840,$41.90,$42.52,$41.72
07/17/2024,$42.03,20401660,$41.55,$42.19,$41.52
07/16/2024,$41.45,16016950,$40.85,$41.55,$40.82
07/15/2024,$40.79,15874930,$41.43,$41.4599,$40.70
07/12/2024,$41.43,11129070,$41.31,$41.57,$41.20
07/11/2024,$41.30,12492710,$41.08,$41.36,$40.75
07/10/2024,$41.08,13826760,$40.88,$41.13,$40.685
07/09/2024,$41.30,20489840,$41.47,$41.78,$41.21
07/08/2024,$41.53,15380390,$41.30,$41.585,$41.08
07/05/2024,$41.27,17552240,$41.17,$41.375,$40.9501
07/03/2024,$41.12,6653911,$41.13,$41.385,$40.95
07/02/2024,$41.10,21659370,$41.63,$41.70,$40.715
07/01/2024,$41.74,16412110,$41.42,$41.98,$41.35
06/28/2024,$41.24,27639190,$40.86,$41.58,$40.69
06/27/2024,$40.82,15560800,$41.00,$41.04,$40.56
06/26/2024,$41.02,19709930,$41.00,$41.17,$40.71
06/25/2024,$41.08,18933020,$41.21,$41.625,$40.83
06/24/2024,$41.17,20773850,$40.39,$41.22,$40.32
06/21/2024,$40.24,30390210,$40.37,$40.38,$39.90
06/20/2024,$40.24,17704690,$39.84,$40.465,$39.81
06/18/2024,$40.08,17125700,$39.71,$40.18,$39.70
06/17/2024,$39.46,22286570,$39.60,$39.60,$38.95
06/14/2024,$39.67,10480590,$39.475,$39.8381,$39.45
06/13/2024,$39.78,12297450,$39.75,$39.80,$39.30
06/12/2024,$39.77,15065290,$40.77,$40.80,$39.575
06/11/2024,$40.42,12083340,$40.29,$40.585,$40.22
06/10/2024,$40.41,15214010,$40.91,$40.93,$40.33
06/07/2024,$40.94,10410160,$41.16,$41.29,$40.813
06/06/2024,$41.33,10259100,$41.31,$41.72,$41.135
06/05/2024,$41.35,11964020,$41.60,$41.72,$41.13
06/04/2024,$41.56,16040150,$40.88,$41.56,$40.72
06/03/2024,$40.98,20688120,$41.18,$41.51,$40.90
05/31/2024,$41.15,38917430,$40.14,$41.28,$40.10
05/30/2024,$40.33,19636500,$39.22,$40.36,$39.18
