Date,Close/Last,Volume,Open,High,Low
09/06/2024,$160.87,746945,$163.57,$165.11,$160.76
09/05/2024,$163.55,639808,$163.72,$164.27,$162.01
09/04/2024,$164.04,871953,$163.51,$164.86,$162.915
09/03/2024,$164.12,817558,$168.76,$168.76,$163.52
08/30/2024,$169.57,891811,$168.28,$169.93,$166.14
08/29/2024,$167.87,1055023,$166.32,$169.52,$165.61
08/28/2024,$165.53,500705,$165.39,$165.92,$164.04
08/27/2024,$164.81,675952,$164.43,$165.53,$164.315
08/26/2024,$165.23,1866319,$166.74,$167.50,$163.48
08/23/2024,$166.32,683002,$163.92,$166.39,$163.575
08/22/2024,$163.23,2214520,$161.14,$163.35,$160.36
08/21/2024,$161.46,486173,$160.76,$161.99,$159.92
08/20/2024,$160.13,1068368,$161.28,$161.64,$158.69
08/19/2024,$160.97,683705,$159.27,$160.97,$158.69
08/16/2024,$159.31,1268218,$158.65,$159.76,$158.24
08/15/2024,$158.28,1680050,$157.99,$159.8125,$156.43
08/14/2024,$156.08,856863,$156.25,$156.77,$154.91
08/13/2024,$156.25,1241689,$156.48,$157.04,$154.21
08/12/2024,$155.41,1780465,$155.19,$155.80,$153.2045
08/09/2024,$155.07,952751,$155.09,$155.67,$153.10
08/08/2024,$155.03,2963842,$155.19,$156.65,$154.71
08/07/2024,$153.19,1617731,$153.73,$155.58,$152.91
08/06/2024,$151.54,1508636,$150.48,$153.92,$149.935
08/05/2024,$150.01,1358870,$150.04,$151.91,$147.66
08/02/2024,$153.14,1464847,$155.02,$155.02,$151.06
08/01/2024,$156.71,1084592,$160.94,$161.75,$156.14
07/31/2024,$161.15,956825,$161.59,$162.96,$160.40
07/30/2024,$159.38,1047533,$161.41,$162.96,$158.53
07/29/2024,$159.96,1102438,$160.00,$160.97,$159.03
07/26/2024,$159.69,1061406,$160.28,$161.14,$158.85
07/25/2024,$159.13,1424829,$158.53,$162.09,$157.53
07/24/2024,$157.28,2206523,$166.62,$168.475,$156.41
07/23/2024,$168.11,1261251,$167.78,$169.76,$167.52
07/22/2024,$169.16,1075339,$166.05,$169.29,$165.204
07/19/2024,$165.19,1185517,$166.57,$167.45,$165.05
07/18/2024,$166.10,983167,$166.35,$169.09,$165.38
07/17/2024,$166.92,1880074,$167.52,$169.29,$166.12
07/16/2024,$168.64,1318133,$164.87,$168.92,$164.31
07/15/2024,$164.16,1247199,$163.15,$166.17,$162.94
07/12/2024,$162.87,865262,$163.31,$164.63,$162.49
07/11/2024,$162.57,835985,$160.83,$163.39,$160.61
07/10/2024,$160.57,965896,$157.54,$160.72,$157.08
07/09/2024,$157.24,1169362,$156.66,$158.64,$156.30
07/08/2024,$156.72,975590,$157.63,$157.98,$156.00
07/05/2024,$156.50,631314,$158.24,$158.365,$155.20
07/03/2024,$158.00,797139,$155.43,$158.20,$155.015
07/02/2024,$155.48,1872036,$153.75,$155.94,$152.13
07/01/2024,$155.55,1313329,$159.26,$159.97,$154.88
06/28/2024,$158.05,2200912,$159.76,$160.06,$157.04
06/27/2024,$158.74,1334062,$159.34,$159.77,$158.24
06/26/2024,$159.35,662996,$159.63,$160.41,$158.63
06/25/2024,$160.48,726349,$161.63,$161.63,$158.85
06/24/2024,$162.01,1028859,$161.32,$164.27,$159.99
06/21/2024,$161.03,1589161,$161.26,$161.98,$159.40
06/20/2024,$161.60,897495,$163.13,$163.13,$160.71
06/18/2024,$163.05,870807,$161.84,$163.07,$159.55
06/17/2024,$161.61,912492,$160.00,$162.11,$158.63
06/14/2024,$160.32,659282,$162.16,$162.16,$158.055
06/13/2024,$163.43,537608,$164.07,$164.49,$162.63
06/12/2024,$165.17,580466,$163.84,$166.00,$163.77
06/11/2024,$162.83,939425,$163.11,$163.43,$161.08
06/10/2024,$163.74,1357025,$162.81,$164.54,$162.15
06/07/2024,$163.17,906391,$163.92,$164.27,$162.29
06/06/2024,$164.00,768195,$165.59,$166.18,$163.09
06/05/2024,$165.72,665978,$165.38,$165.965,$164.175
06/04/2024,$164.79,846004,$165.61,$166.13,$163.97
06/03/2024,$165.72,1060746,$170.00,$170.14,$163.45
05/31/2024,$169.23,1967409,$169.19,$169.95,$165.53
05/30/2024,$169.04,1122346,$167.51,$169.165,$167.34
05/29/2024,$167.49,2100254,$167.97,$168.07,$166.80
05/28/2024,$168.72,906155,$169.86,$169.945,$168.07
05/24/2024,$169.70,948293,$169.87,$170.42,$168.905
05/23/2024,$169.48,1087097,$170.71,$170.72,$168.6729
05/22/2024,$169.60,720446,$170.08,$170.43,$168.92
05/21/2024,$170.05,1578414,$170.37,$170.665,$168.77
05/20/2024,$170.65,923064,$168.56,$170.83,$167.72
05/17/2024,$168.32,1322059,$166.85,$168.497,$166.00
05/16/2024,$166.66,863137,$168.50,$168.62,$166.34
05/15/2024,$168.99,1170170,$166.00,$169.13,$166.00
05/14/2024,$165.15,987541,$164.61,$165.54,$163.23
05/13/2024,$164.90,907173,$168.33,$168.425,$164.74
05/10/2024,$168.34,981928,$168.32,$168.58,$166.58
05/09/2024,$167.33,896752,$165.26,$167.75,$165.24
05/08/2024,$165.56,1047596,$164.26,$166.39,$164.20
05/07/2024,$164.59,1149765,$163.77,$165.69,$163.00
05/06/2024,$163.02,1410488,$163.28,$164.1423,$162.74
05/03/2024,$162.21,819696,$161.91,$162.27,$159.73
05/02/2024,$161.88,961930,$160.89,$162.07,$159.48
05/01/2024,$160.54,1017427,$160.79,$162.32,$159.645
04/30/2024,$161.08,1558076,$162.48,$163.93,$160.92
04/29/2024,$163.23,1633696,$163.56,$164.095,$161.775
04/26/2024,$164.36,1343033,$163.02,$164.50,$162.36
04/25/2024,$163.18,1864421,$162.42,$163.385,$160.37
04/24/2024,$163.38,3772610,$162.25,$167.485,$160.87
04/23/2024,$148.48,1090268,$146.61,$148.52,$146.305
04/22/2024,$145.69,1057678,$144.27,$146.68,$143.22
04/19/2024,$144.17,1220608,$144.67,$146.16,$143.74
04/18/2024,$144.27,900533,$145.45,$145.575,$143.65
04/17/2024,$144.55,1060483,$146.05,$146.05,$143.84
04/16/2024,$145.46,661084,$145.11,$145.93,$143.81
04/15/2024,$145.24,763627,$148.55,$148.84,$145.11
04/12/2024,$146.18,847966,$146.53,$147.8499,$145.95
04/11/2024,$147.71,1262535,$147.47,$148.53,$146.65
04/10/2024,$147.54,1512574,$146.10,$148.34,$145.16
04/09/2024,$147.86,816676,$149.45,$149.93,$146.96
04/08/2024,$149.46,1002870,$150.50,$150.61,$149.33
04/05/2024,$150.50,1126085,$148.55,$151.00,$148.41
04/04/2024,$147.34,940207,$149.35,$150.185,$146.69
04/03/2024,$148.20,1036552,$145.65,$148.395,$145.52
04/02/2024,$145.93,1043484,$144.68,$146.43,$144.02
04/01/2024,$144.86,584979,$145.59,$145.85,$144.72
03/28/2024,$145.68,728192,$145.89,$146.20,$144.525
03/27/2024,$145.87,582175,$144.77,$145.88,$144.44
03/26/2024,$143.91,582049,$142.59,$144.11,$141.85
03/25/2024,$142.83,545106,$143.69,$143.99,$142.32
03/22/2024,$143.78,453879,$144.95,$145.42,$143.56
03/21/2024,$144.86,776542,$143.48,$145.11,$143.14
03/20/2024,$142.86,657271,$142.19,$143.20,$141.705
03/19/2024,$142.12,783821,$141.83,$142.45,$141.04
03/18/2024,$141.55,1144127,$140.14,$141.63,$139.82
03/15/2024,$139.82,1631067,$139.22,$140.93,$139.12
03/14/2024,$140.85,995461,$142.00,$142.00,$140.05
03/13/2024,$142.31,828499,$143.36,$143.36,$141.465
03/12/2024,$143.08,1121726,$141.00,$143.505,$140.76
03/11/2024,$141.00,1174344,$142.36,$142.36,$139.27
03/08/2024,$142.52,595908,$142.20,$142.84,$141.87
03/07/2024,$141.99,656555,$141.90,$142.65,$141.49
03/06/2024,$141.38,740975,$141.57,$142.34,$141.05
03/05/2024,$141.30,715874,$141.59,$142.63,$140.6092
03/04/2024,$142.07,509879,$141.79,$143.25,$141.305
03/01/2024,$142.08,965007,$141.46,$142.275,$140.96
02/29/2024,$141.29,1320806,$139.79,$141.75,$139.55
02/28/2024,$139.49,1073736,$138.04,$139.89,$137.48
02/27/2024,$137.70,1007812,$137.36,$138.05,$136.64
02/26/2024,$137.68,904938,$138.09,$138.60,$137.67
02/23/2024,$138.29,1524421,$138.33,$138.97,$138.03
02/22/2024,$137.82,1216187,$136.32,$137.89,$135.8573
02/21/2024,$136.06,958111,$135.00,$136.08,$134.66
02/20/2024,$134.40,1208289,$133.38,$134.73,$133.38
02/16/2024,$134.28,1696679,$134.15,$135.53,$133.70
02/15/2024,$133.96,2022765,$135.11,$136.565,$132.77
02/14/2024,$135.09,1975286,$134.00,$135.35,$131.33
02/13/2024,$136.40,1685728,$135.62,$136.975,$134.91
02/12/2024,$137.07,1758511,$137.16,$137.805,$136.44
02/09/2024,$136.68,1296031,$137.00,$137.56,$136.15
02/08/2024,$136.73,1352500,$136.50,$137.12,$136.02
02/07/2024,$136.50,1444822,$135.50,$137.33,$135.04
02/06/2024,$134.74,1031559,$134.13,$134.97,$133.52
02/05/2024,$133.90,1189180,$133.42,$134.30,$132.51
02/02/2024,$134.26,1040094,$133.00,$135.23,$133.00
02/01/2024,$133.40,808920,$132.28,$133.79,$131.59
01/31/2024,$131.57,1217686,$132.96,$133.27,$131.31
01/30/2024,$132.69,1267108,$130.99,$132.87,$130.8336
01/29/2024,$131.20,1093912,$129.66,$131.56,$129.66
01/26/2024,$129.98,660190,$130.02,$130.87,$129.34
01/25/2024,$129.82,1135992,$130.82,$131.93,$129.23
01/24/2024,$129.50,860041,$129.66,$130.15,$128.96
01/23/2024,$129.03,628563,$129.09,$129.415,$128.11
01/22/2024,$128.58,683184,$128.56,$129.04,$128.284
01/19/2024,$128.01,809476,$127.32,$128.505,$126.42
01/18/2024,$126.74,915841,$126.00,$126.89,$125.67
01/17/2024,$125.82,794562,$127.01,$127.89,$125.56
01/16/2024,$128.16,1329531,$128.93,$129.00,$127.435
01/12/2024,$128.02,694975,$127.77,$128.29,$126.795
01/11/2024,$126.99,1267340,$128.07,$128.48,$126.49
01/10/2024,$126.24,703664,$125.96,$126.63,$125.815
01/09/2024,$126.25,974778,$125.37,$126.50,$124.76
01/08/2024,$126.41,718827,$125.87,$126.46,$124.76
01/05/2024,$125.49,1463115,$124.12,$126.32,$124.075
01/04/2024,$123.99,756311,$124.96,$125.685,$123.76
01/03/2024,$124.68,921325,$125.36,$125.46,$124.27
01/02/2024,$125.89,692307,$126.00,$127.14,$125.01
