Date,Close/Last,Volume,Open,High,Low
09/06/2024,$328.84,337808,$331.37,$334.94,$327.295
09/05/2024,$331.31,301310,$333.07,$333.14,$325.74
09/04/2024,$331.56,355815,$339.46,$341.05,$329.76
09/03/2024,$339.75,240496,$342.66,$348.21,$337.25
08/30/2024,$346.35,307777,$345.14,$347.43,$340.595
08/29/2024,$344.71,209794,$342.89,$347.41,$341.28
08/28/2024,$340.94,209886,$339.58,$343.12,$338.32
08/27/2024,$336.77,208025,$336.76,$337.76,$332.91
08/26/2024,$336.59,189725,$343.30,$343.90,$336.38
08/23/2024,$342.42,157175,$338.99,$343.34,$336.92
08/22/2024,$336.09,309334,$340.00,$344.985,$335.01
08/21/2024,$337.34,218715,$336.81,$338.73,$334.15
08/20/2024,$336.16,264509,$340.61,$342.71,$335.49
08/19/2024,$340.26,329501,$339.93,$342.22,$337.73
08/16/2024,$339.98,301327,$340.41,$344.24,$337.92
08/15/2024,$340.68,311628,$339.78,$342.87,$338.68
08/14/2024,$336.49,218964,$339.63,$342.02,$333.01
08/13/2024,$338.83,338585,$334.35,$340.41,$331.36
08/12/2024,$333.42,331788,$331.44,$333.64,$325.14
08/09/2024,$332.70,212866,$333.11,$333.44,$329.34
08/08/2024,$333.34,298431,$322.78,$333.90,$322.78
08/07/2024,$321.85,359728,$332.07,$333.2673,$320.785
08/06/2024,$330.89,394730,$330.87,$342.26,$329.72
08/05/2024,$328.83,560257,$334.02,$337.335,$326.18
08/02/2024,$345.66,696557,$346.57,$347.43,$329.25
08/01/2024,$352.53,801638,$340.28,$353.04,$338.175
07/31/2024,$336.28,985113,$351.28,$354.9699,$330.00
07/30/2024,$327.66,713025,$323.88,$328.48,$320.96
07/29/2024,$321.54,556566,$318.47,$323.56,$312.04
07/26/2024,$317.96,277122,$314.35,$322.74,$310.525
07/25/2024,$310.29,364851,$305.08,$320.64,$305.08
07/24/2024,$305.31,401414,$300.32,$310.25,$300.32
07/23/2024,$300.83,341707,$312.07,$312.07,$300.26
07/22/2024,$307.22,447049,$305.37,$308.45,$300.88
07/19/2024,$302.72,386853,$309.05,$309.05,$301.15
07/18/2024,$308.98,355279,$311.75,$321.37,$307.28
07/17/2024,$314.38,421325,$313.25,$323.34,$309.76
07/16/2024,$316.73,519194,$304.26,$317.58,$304.26
07/15/2024,$302.93,276324,$301.07,$304.97,$300.015
07/12/2024,$302.40,277217,$303.04,$308.43,$301.855
07/11/2024,$301.48,534825,$292.06,$303.10,$292.06
07/10/2024,$288.31,302576,$283.98,$288.60,$283.41
07/09/2024,$282.97,337739,$285.84,$285.84,$279.24
07/08/2024,$285.57,411874,$288.38,$288.38,$283.04
07/05/2024,$286.21,224451,$288.39,$288.39,$284.46
07/03/2024,$287.50,260940,$285.66,$289.46,$283.61
07/02/2024,$284.49,323313,$282.52,$286.22,$280.86
07/01/2024,$282.70,627508,$291.94,$294.61,$279.28
06/28/2024,$290.12,1130356,$287.25,$292.03,$286.99
