Date,Close/Last,Volume,Open,High,Low
09/06/2024,$93.65,1591733,$94.85,$95.08,$93.65
09/05/2024,$94.68,2515758,$95.00,$95.41,$94.43
09/04/2024,$94.54,1471306,$93.84,$94.99,$93.64
09/03/2024,$93.63,1998098,$93.03,$94.21,$92.91
08/30/2024,$93.03,2336820,$92.70,$93.35,$92.70
08/29/2024,$92.77,1449147,$92.72,$92.90,$91.89
08/28/2024,$92.79,1995102,$92.97,$93.78,$92.49
08/27/2024,$92.61,1134140,$92.93,$93.26,$92.44
08/26/2024,$93.01,1266572,$93.00,$93.56,$92.78
08/23/2024,$92.66,1450470,$93.05,$93.275,$92.28
08/22/2024,$92.96,3124783,$91.75,$93.08,$91.72
08/21/2024,$91.75,2594926,$90.73,$91.82,$90.61
08/20/2024,$90.57,2096784,$90.21,$91.08,$90.195
08/19/2024,$90.14,1622156,$89.37,$90.42,$89.37
08/16/2024,$89.53,2288483,$89.62,$90.0025,$89.18
08/15/2024,$89.29,2425679,$89.02,$89.60,$88.53
08/14/2024,$89.64,2956052,$88.33,$90.26,$88.135
08/13/2024,$89.44,3360526,$89.24,$89.64,$88.375
08/12/2024,$89.24,3072014,$88.02,$89.36,$87.71
08/09/2024,$87.98,1838530,$87.81,$88.15,$86.76
08/08/2024,$87.81,2120086,$88.17,$89.03,$87.585
08/07/2024,$88.95,3037191,$88.52,$89.30,$88.24
08/06/2024,$88.47,2238771,$88.42,$89.43,$88.00
08/05/2024,$88.19,4440785,$91.34,$91.71,$88.14
08/02/2024,$90.16,5997032,$90.11,$92.23,$88.95
08/01/2024,$88.72,3836919,$86.77,$88.79,$86.09
07/31/2024,$86.06,4553255,$85.60,$86.365,$84.35
07/30/2024,$85.60,3406492,$83.82,$85.73,$83.82
07/29/2024,$84.10,1248126,$83.88,$84.29,$83.13
07/26/2024,$83.73,1595048,$83.47,$83.97,$83.25
07/25/2024,$83.32,2609506,$84.27,$85.46,$82.90
07/24/2024,$83.56,2999366,$82.63,$83.81,$82.00
07/23/2024,$81.75,2361527,$82.04,$82.42,$81.60
07/22/2024,$82.03,2297868,$81.50,$82.29,$81.45
07/19/2024,$81.55,1536910,$82.58,$82.78,$81.13
07/18/2024,$82.05,1660959,$81.90,$83.44,$81.90
07/17/2024,$82.36,2382186,$81.19,$83.04,$81.135
07/16/2024,$80.81,1262607,$79.90,$80.83,$79.63
07/15/2024,$79.61,1277153,$80.14,$80.42,$79.465
07/12/2024,$80.79,1713709,$80.70,$81.40,$80.43
07/11/2024,$80.34,1883128,$78.60,$80.53,$78.59
07/10/2024,$78.19,1756009,$78.23,$78.29,$77.47
07/09/2024,$78.01,1220672,$78.01,$78.32,$77.655
07/08/2024,$78.05,1554659,$78.02,$78.335,$77.60
07/05/2024,$77.85,1946150,$77.89,$78.50,$77.62
07/03/2024,$77.68,651811,$78.04,$78.73,$77.62
07/02/2024,$78.04,1188169,$77.85,$78.16,$77.75
07/01/2024,$77.69,1253977,$78.82,$79.06,$77.65
06/28/2024,$78.46,2419230,$78.73,$78.73,$77.93
06/27/2024,$78.45,1251554,$78.28,$78.61,$78.03
06/26/2024,$78.15,1422829,$78.00,$78.27,$77.70
06/25/2024,$78.32,2405237,$79.25,$79.31,$78.21
06/24/2024,$79.35,2335902,$78.25,$79.58,$78.25
06/21/2024,$78.23,4116567,$79.37,$79.91,$78.23
06/20/2024,$79.25,2306756,$78.01,$79.35,$77.8542
06/18/2024,$78.05,1554295,$78.11,$78.58,$77.65
06/17/2024,$78.37,2307411,$78.35,$79.22,$78.29
06/14/2024,$78.86,1241695,$78.25,$79.06,$78.05
06/13/2024,$78.54,2836802,$79.31,$79.72,$78.22
06/12/2024,$79.31,1698202,$80.60,$80.72,$79.09
06/11/2024,$79.75,1352619,$79.05,$79.925,$79.02
06/10/2024,$79.44,1693945,$79.71,$80.155,$79.25
