Date,Close/Last,Volume,Open,High,Low
09/06/2024,$54.00,21853780,$56.68,$56.78,$53.69
09/05/2024,$56.86,18301040,$58.62,$58.68,$56.54
09/04/2024,$58.12,10985830,$58.49,$59.00,$57.72
09/03/2024,$58.37,15933590,$58.62,$58.945,$57.90
08/30/2024,$58.47,20377260,$57.45,$58.58,$57.38
08/29/2024,$57.35,9283465,$57.31,$57.77,$56.51
08/28/2024,$57.07,11905210,$56.06,$57.36,$56.03
08/27/2024,$56.26,7638523,$56.71,$56.92,$56.155
08/26/2024,$56.72,9478780,$57.02,$57.15,$56.535
08/23/2024,$56.70,17074410,$56.42,$57.395,$56.32
08/22/2024,$55.96,15683050,$55.70,$56.37,$55.66
08/21/2024,$55.46,13691710,$56.44,$56.45,$55.20
08/20/2024,$56.15,12533550,$56.03,$56.72,$55.92
08/19/2024,$56.45,12792850,$55.345,$56.46,$55.26
08/16/2024,$55.33,19173890,$54.78,$55.43,$54.61
08/15/2024,$54.57,16549360,$54.50,$55.17,$54.43
08/14/2024,$53.66,13217180,$53.03,$53.775,$52.72
08/13/2024,$52.87,12268570,$52.36,$52.96,$51.81
08/12/2024,$52.06,18090060,$52.91,$53.47,$51.675
08/09/2024,$52.76,11668980,$52.30,$52.83,$52.07
08/08/2024,$52.76,16176020,$52.97,$53.3182,$52.65
08/07/2024,$52.29,18407500,$53.15,$53.49,$52.15
08/06/2024,$52.36,18723460,$52.28,$52.96,$52.05
08/05/2024,$52.12,28594010,$51.30,$52.40,$50.15
08/02/2024,$53.26,27642570,$55.18,$55.57,$52.80
08/01/2024,$56.88,17752740,$59.26,$59.34,$56.515
07/31/2024,$59.34,11535810,$59.82,$60.12,$59.20
07/30/2024,$60.01,11503930,$60.46,$60.73,$59.885
07/29/2024,$59.59,8986171,$60.74,$60.83,$59.345
07/26/2024,$60.39,12538940,$59.85,$60.45,$59.57
07/25/2024,$59.70,14119570,$59.56,$60.73,$59.45
07/24/2024,$59.44,10777080,$59.77,$60.21,$59.37
07/23/2024,$59.67,10927820,$59.20,$59.905,$59.04
07/22/2024,$59.14,13638600,$59.26,$59.39,$58.54
07/19/2024,$59.23,12362830,$59.30,$59.77,$59.11
07/18/2024,$59.24,17739020,$60.62,$60.82,$58.99
07/17/2024,$60.91,17371090,$60.16,$61.00,$59.885
07/16/2024,$60.24,25577340,$58.04,$60.62,$57.525
07/15/2024,$57.73,27277290,$57.05,$58.24,$57.04
07/12/2024,$56.54,53042760,$56.20,$56.92,$55.60
07/11/2024,$60.16,16852840,$59.40,$60.705,$59.28
07/10/2024,$59.72,12097210,$59.54,$59.99,$59.375
07/09/2024,$59.88,12238280,$59.075,$60.42,$58.915
07/08/2024,$59.01,12480000,$59.97,$60.405,$58.66
07/05/2024,$59.62,11436350,$60.50,$60.66,$59.11
07/03/2024,$60.66,6698813,$61.00,$61.14,$60.16
07/02/2024,$60.97,9543675,$60.49,$61.18,$60.14
07/01/2024,$60.59,14470400,$59.61,$60.61,$59.57
06/28/2024,$59.39,31074470,$58.09,$59.45,$58.09
06/27/2024,$57.42,13832250,$56.41,$57.47,$56.33
06/26/2024,$57.01,30425650,$57.22,$57.80,$56.8259
06/25/2024,$57.20,27490700,$58.77,$59.00,$57.18
06/24/2024,$59.01,16198330,$58.49,$59.46,$58.27
06/21/2024,$58.10,62733160,$58.295,$58.46,$57.32
06/20/2024,$58.96,11985690,$58.74,$59.20,$58.59
06/18/2024,$59.05,15547400,$58.21,$59.05,$57.90
06/17/2024,$58.24,18361140,$57.205,$58.245,$57.07
06/14/2024,$57.40,15375350,$56.99,$57.61,$56.62
06/13/2024,$57.27,15963720,$57.45,$57.62,$56.69
06/12/2024,$57.30,16929800,$58.28,$58.45,$57.155
06/11/2024,$57.13,19197810,$57.75,$57.75,$56.51
06/10/2024,$57.93,12793780,$57.90,$58.13,$57.37
06/07/2024,$58.36,14466850,$57.57,$58.68,$57.57
06/06/2024,$57.73,18587370,$58.78,$58.995,$57.50
06/05/2024,$58.68,11199140,$58.86,$58.92,$58.125
06/04/2024,$58.70,12520730,$58.82,$59.4769,$58.34
06/03/2024,$59.34,13206550,$60.20,$60.20,$58.60
05/31/2024,$59.92,25386840,$59.27,$59.99,$58.97
05/30/2024,$59.21,13584810,$58.82,$59.39,$58.60
05/29/2024,$58.75,12835050,$58.865,$58.94,$58.42
05/28/2024,$59.48,11276270,$59.97,$60.18,$59.19
05/24/2024,$60.21,9913040,$60.04,$60.39,$59.87
05/23/2024,$59.68,13056310,$60.75,$60.78,$59.36
05/22/2024,$60.93,10340470,$61.30,$61.45,$60.51
05/21/2024,$61.46,18422120,$60.82,$61.70,$60.78
05/20/2024,$60.70,15029010,$60.975,$61.79,$60.59
05/17/2024,$61.08,15795960,$61.41,$61.63,$60.885
05/16/2024,$61.06,21104090,$62.45,$62.475,$60.965
05/15/2024,$62.34,17489600,$62.20,$62.55,$61.87
05/14/2024,$61.89,14499620,$61.56,$61.985,$61.02
05/13/2024,$61.26,15203470,$61.96,$62.17,$61.21
05/10/2024,$61.89,14428170,$61.46,$61.97,$61.46
05/09/2024,$61.28,14224340,$60.74,$61.37,$60.48
05/08/2024,$61.23,18718420,$60.15,$61.43,$60.095
05/07/2024,$60.26,16268430,$60.28,$60.61,$60.06
05/06/2024,$60.19,16240270,$60.47,$60.878,$59.835
05/03/2024,$59.94,17298460,$60.03,$60.258,$59.12
05/02/2024,$59.83,15329460,$60.12,$60.15,$59.32
05/01/2024,$59.52,16366620,$59.58,$60.145,$59.325
04/30/2024,$59.32,18007720,$59.60,$59.99,$59.30
04/29/2024,$59.80,15343630,$59.86,$60.30,$59.36
04/26/2024,$59.91,18785900,$59.78,$60.43,$59.375
04/25/2024,$59.93,24002550,$60.61,$60.96,$59.60
04/24/2024,$60.60,19731590,$60.60,$60.95,$60.05
04/23/2024,$60.94,21731240,$61.17,$61.76,$60.81
04/22/2024,$61.10,21753380,$60.40,$61.485,$60.34
04/19/2024,$60.35,34334320,$59.00,$60.85,$58.855
04/18/2024,$58.74,24468520,$57.625,$59.13,$57.22
04/17/2024,$57.18,18867720,$56.88,$57.63,$56.65
04/16/2024,$56.41,25620000,$56.90,$56.96,$55.66
04/15/2024,$56.97,19407520,$57.61,$57.98,$56.735
04/12/2024,$56.47,27876730,$55.97,$57.00,$55.34
04/11/2024,$56.69,18995590,$56.98,$57.00,$55.625
04/10/2024,$56.94,16475240,$56.79,$57.295,$56.42
04/09/2024,$57.58,10645950,$57.70,$57.99,$56.87
04/08/2024,$57.79,15308820,$57.375,$57.98,$57.31
04/05/2024,$57.40,11080970,$56.63,$57.62,$56.57
04/04/2024,$56.68,12361920,$57.73,$58.00,$56.54
04/03/2024,$57.13,13226480,$57.20,$57.96,$56.85
04/02/2024,$57.35,14632880,$57.36,$58.00,$57.19
04/01/2024,$57.61,11039470,$57.88,$57.88,$57.26
03/28/2024,$57.96,14618980,$57.66,$58.075,$57.56
03/27/2024,$57.61,13762770,$56.38,$57.64,$56.38
03/26/2024,$56.68,11445880,$57.14,$57.15,$56.59
03/25/2024,$56.73,15028150,$57.075,$57.33,$56.37
03/22/2024,$57.13,13736610,$57.81,$58.015,$57.12
03/21/2024,$57.85,18141700,$57.59,$58.115,$57.45
03/20/2024,$57.30,22841550,$56.62,$57.51,$56.28
03/19/2024,$57.01,14504760,$57.645,$57.94,$56.92
03/18/2024,$57.77,16376550,$57.60,$57.83,$57.11
03/15/2024,$57.51,40782800,$56.86,$58.30,$56.86
03/14/2024,$57.37,24851140,$57.87,$58.125,$57.12
03/13/2024,$57.82,17444930,$57.62,$58.44,$57.62
03/12/2024,$57.61,23622970,$57.25,$58.11,$57.10
03/11/2024,$57.09,16622040,$56.775,$57.345,$56.52
03/08/2024,$57.07,17872500,$57.21,$57.54,$56.88
03/07/2024,$57.00,18116290,$57.05,$57.68,$56.87
03/06/2024,$57.11,25418600,$56.82,$57.39,$56.27
03/05/2024,$56.60,21786060,$55.71,$57.10,$55.43
03/04/2024,$55.81,19483450,$54.87,$56.559,$54.73
03/01/2024,$55.06,17760950,$55.40,$55.75,$54.895
02/29/2024,$55.59,28335630,$55.04,$55.695,$54.94
02/28/2024,$54.72,20045240,$54.735,$55.42,$54.57
02/27/2024,$54.81,19548240,$54.275,$54.89,$54.24
02/26/2024,$54.13,18099870,$53.75,$54.56,$53.68
02/23/2024,$53.86,20863500,$53.53,$54.02,$53.42
02/22/2024,$53.37,20467920,$52.83,$53.91,$52.75
02/21/2024,$52.66,18563730,$51.64,$52.68,$51.13
02/20/2024,$51.77,19839120,$51.50,$52.24,$51.27
02/16/2024,$51.91,24359730,$51.94,$52.32,$51.32
02/15/2024,$52.04,46473550,$48.73,$52.45,$48.62
02/14/2024,$48.53,12683360,$48.60,$48.72,$47.96
02/13/2024,$48.24,13660050,$48.40,$48.71,$47.5901
02/12/2024,$48.92,14101940,$48.00,$49.29,$47.8814
02/09/2024,$48.06,16593980,$48.22,$48.27,$47.465
02/08/2024,$48.35,10839240,$48.18,$48.50,$48.055
02/07/2024,$48.48,15839620,$48.45,$48.60,$47.45
02/06/2024,$48.29,13928470,$48.52,$49.12,$48.01
02/05/2024,$48.70,14202720,$48.61,$48.92,$48.24
02/02/2024,$49.16,19329200,$48.50,$49.57,$48.06
02/01/2024,$48.73,27566100,$49.82,$49.965,$47.88
01/31/2024,$50.18,20394380,$51.01,$51.44,$50.155
01/30/2024,$51.19,14736830,$50.63,$51.27,$50.62
01/29/2024,$50.35,16725250,$50.16,$50.67,$49.99
01/26/2024,$50.32,19211130,$49.84,$50.50,$49.77
01/25/2024,$49.88,17979560,$49.68,$49.935,$49.50
01/24/2024,$49.49,17776030,$49.37,$50.09,$49.25
01/23/2024,$49.12,16422120,$48.65,$49.215,$48.4001
01/22/2024,$48.53,19372220,$48.23,$48.93,$48.16
01/19/2024,$48.12,25606890,$46.63,$48.18,$46.38
01/18/2024,$46.44,17901250,$46.55,$46.62,$46.12
01/17/2024,$46.67,17445620,$46.24,$47.055,$46.21
01/16/2024,$46.82,25209850,$46.77,$47.06,$46.22
01/12/2024,$47.40,30454100,$47.95,$48.78,$47.00
01/11/2024,$49.04,21049150,$48.89,$49.08,$48.34
01/10/2024,$49.08,11849830,$49.00,$49.115,$48.605
01/09/2024,$49.29,13625240,$49.44,$49.46,$49.05
01/08/2024,$49.92,15119720,$49.38,$49.985,$49.145
01/05/2024,$49.92,15074810,$49.40,$50.47,$49.29
01/04/2024,$49.28,15917480,$48.82,$49.855,$48.77
01/03/2024,$48.68,21653560,$49.09,$49.09,$48.32
01/02/2024,$49.33,14915980,$49.05,$49.76,$48.82
12/29/2023,$49.22,11733580,$49.35,$49.575,$49.21
12/28/2023,$49.48,9872634,$49.14,$49.65,$49.09
12/27/2023,$49.33,12536730,$49.41,$49.565,$49.15
12/26/2023,$49.64,8856695,$49.16,$49.67,$49.03
12/22/2023,$49.18,10450410,$49.66,$49.86,$49.09
12/21/2023,$49.45,11127690,$49.62,$49.83,$49.13
12/20/2023,$49.34,20481530,$49.83,$50.5681,$49.29
12/19/2023,$50.09,20556400,$49.67,$50.32,$49.31
12/18/2023,$49.66,20531710,$50.41,$50.48,$49.53
12/15/2023,$50.31,44099220,$50.10,$50.77,$49.92
12/14/2023,$50.51,41115350,$48.44,$50.55,$48.44
12/13/2023,$47.76,26549110,$46.495,$47.775,$46.35
12/12/2023,$46.47,19787050,$45.94,$46.76,$45.81
12/11/2023,$46.00,21116910,$45.90,$46.22,$45.57
12/08/2023,$46.10,20238410,$45.36,$46.335,$45.12
12/07/2023,$45.40,18787830,$44.79,$45.44,$44.65
12/06/2023,$44.50,18923830,$44.80,$45.25,$44.43
12/05/2023,$44.49,14531730,$44.95,$44.97,$44.41
12/04/2023,$45.12,13424150,$44.71,$45.33,$44.5181
12/01/2023,$45.02,18116070,$44.51,$45.2351,$44.38
11/30/2023,$44.59,23247540,$43.81,$44.75,$43.48
11/29/2023,$43.78,16745990,$43.69,$44.135,$43.625
11/28/2023,$43.37,15332880,$42.97,$43.45,$42.79
11/27/2023,$43.02,15714990,$42.64,$43.03,$42.52
11/24/2023,$42.92,5287200,$42.80,$43.11,$42.73
11/22/2023,$42.78,11862200,$42.66,$42.8344,$42.40
11/21/2023,$42.60,16078380,$42.64,$42.725,$42.15
11/20/2023,$42.79,10370250,$42.86,$42.95,$42.51
11/17/2023,$42.96,13893920,$42.825,$42.99,$42.44
11/16/2023,$42.53,16931420,$42.82,$42.96,$41.99
11/15/2023,$42.84,17268130,$42.07,$43.025,$42.07
11/14/2023,$42.08,20183770,$41.50,$42.3812,$41.46
11/13/2023,$40.77,12159670,$40.735,$41.055,$40.53
11/10/2023,$40.89,14707400,$40.63,$40.95,$40.36
11/09/2023,$40.40,14006480,$41.295,$41.38,$40.27
11/08/2023,$40.98,19418760,$41.07,$41.19,$40.43
11/07/2023,$41.04,13796900,$41.18,$41.20,$40.74
11/06/2023,$41.34,15148570,$41.79,$41.79,$41.15
