Date,Close/Last,Volume,Open,High,Low
09/06/2024,$204.73,2349656,$208.48,$209.60,$204.63
09/05/2024,$208.40,1507886,$209.70,$210.42,$207.17
09/04/2024,$209.32,1186674,$209.47,$210.72,$207.9613
09/03/2024,$209.40,2197759,$212.08,$212.52,$208.22
08/30/2024,$212.04,1786797,$209.55,$212.09,$208.67
08/29/2024,$209.88,826548,$209.73,$210.945,$208.27
08/28/2024,$209.31,866277,$209.88,$210.37,$208.35
08/27/2024,$209.20,760017,$210.14,$210.625,$208.635
08/26/2024,$208.82,813391,$211.03,$211.3099,$208.50
08/23/2024,$209.98,810828,$210.41,$210.70,$208.50
08/22/2024,$210.12,975951,$210.30,$210.83,$208.82
08/21/2024,$209.38,916856,$208.07,$209.47,$208.07
08/20/2024,$208.10,1121611,$206.75,$208.18,$206.73
08/19/2024,$206.59,1886760,$205.70,$206.85,$205.48
08/16/2024,$205.40,1536923,$207.29,$207.86,$205.365
08/15/2024,$206.91,1093523,$206.91,$207.25,$205.65
08/14/2024,$206.35,1538318,$203.35,$207.33,$203.11
08/13/2024,$203.92,2330025,$203.02,$204.52,$203.02
08/12/2024,$203.11,2433948,$205.74,$206.03,$202.665
08/09/2024,$205.26,1002048,$205.84,$206.61,$203.04
08/08/2024,$205.90,1259936,$205.00,$206.81,$204.50
08/07/2024,$204.85,1963608,$203.93,$207.66,$203.20
08/06/2024,$203.14,1988403,$202.56,$206.94,$202.22
08/05/2024,$201.54,2033093,$207.10,$208.53,$200.25
08/02/2024,$207.76,1793144,$206.43,$208.91,$204.415
08/01/2024,$206.07,1637868,$203.22,$206.172,$202.58
07/31/2024,$202.66,1698637,$201.79,$203.32,$201.38
07/30/2024,$201.10,1883641,$200.66,$202.61,$200.64
07/29/2024,$200.54,1911530,$198.28,$200.91,$197.43
07/26/2024,$196.96,2500282,$200.07,$200.79,$196.5901
07/25/2024,$199.92,3348575,$202.88,$210.00,$199.51
07/24/2024,$217.38,1361113,$218.44,$219.58,$216.98
07/23/2024,$218.73,1533793,$223.41,$223.52,$218.09
07/22/2024,$223.45,1134969,$221.70,$223.53,$221.31
07/19/2024,$222.80,1221059,$224.50,$225.00,$222.1327
07/18/2024,$223.10,1284102,$222.65,$224.85,$221.66
07/17/2024,$223.32,1557784,$221.43,$224.22,$221.21
07/16/2024,$220.89,1948223,$217.05,$220.96,$216.8184
07/15/2024,$216.00,1508846,$213.76,$216.60,$213.53
07/12/2024,$213.75,1182062,$212.50,$214.3723,$211.735
07/11/2024,$211.77,1161363,$211.03,$212.75,$210.23
07/10/2024,$211.18,1453060,$209.64,$211.94,$209.30
07/09/2024,$210.02,1100785,$209.48,$210.89,$209.05
07/08/2024,$210.62,1275531,$210.35,$211.45,$209.82
07/05/2024,$210.33,1647629,$210.75,$210.75,$208.58
07/03/2024,$210.20,720755,$209.01,$210.87,$208.26
07/02/2024,$209.47,1445599,$209.28,$210.30,$207.70
07/01/2024,$209.36,1931521,$214.47,$214.50,$207.9001
06/28/2024,$213.34,2908229,$212.58,$214.40,$212.14
06/27/2024,$212.67,1762421,$213.57,$213.77,$212.30
06/26/2024,$212.67,1869001,$211.33,$213.16,$211.20
06/25/2024,$212.06,1714359,$212.65,$213.85,$211.81
06/24/2024,$212.44,1473713,$210.00,$212.705,$209.20
06/21/2024,$208.99,2248132,$209.08,$209.81,$208.19
06/20/2024,$208.77,1343669,$207.45,$208.96,$206.89
06/18/2024,$207.89,1511206,$206.44,$207.99,$205.41
06/17/2024,$206.38,1753528,$202.79,$206.44,$202.08
06/14/2024,$203.64,1412722,$200.53,$204.08,$199.85
06/13/2024,$201.22,1184744,$200.94,$201.33,$198.88
06/12/2024,$200.87,1311481,$202.25,$202.43,$200.08
06/11/2024,$202.13,1313201,$201.54,$202.45,$200.14
06/10/2024,$201.71,1715680,$200.74,$202.54,$200.42
06/07/2024,$200.55,3232430,$202.41,$204.37,$200.06
06/06/2024,$202.50,1843214,$204.07,$204.57,$201.37
06/05/2024,$203.90,2069291,$203.47,$203.93,$201.37
06/04/2024,$203.63,2274720,$202.06,$203.825,$201.00
06/03/2024,$201.30,3913413,$207.00,$208.74,$199.62
05/31/2024,$210.73,5501307,$206.20,$211.23,$205.985
05/30/2024,$206.25,1983152,$204.05,$206.34,$203.59
05/29/2024,$204.16,1372213,$205.85,$205.915,$204.02
05/28/2024,$206.46,1659615,$208.00,$208.25,$205.43
05/24/2024,$208.81,1270886,$209.88,$209.905,$207.68
05/23/2024,$209.49,919217,$209.98,$210.43,$209.11
05/22/2024,$209.92,1516174,$208.64,$210.40,$208.03
