Date,Close/Last,Volume,Open,High,Low
09/06/2024,$297.24,293091,$298.51,$303.53,$294.51
09/05/2024,$300.30,288793,$303.15,$303.15,$297.735
09/04/2024,$304.72,354052,$303.95,$307.91,$301.27
09/03/2024,$304.15,383301,$311.95,$318.05,$302.41
08/30/2024,$313.63,590457,$316.29,$319.76,$311.97
08/29/2024,$314.79,582865,$299.885,$315.96,$299.885
08/28/2024,$297.61,337195,$302.22,$302.22,$295.28
08/27/2024,$302.63,267030,$303.69,$304.46,$301.26
08/26/2024,$303.49,236193,$303.52,$305.74,$300.84
08/23/2024,$302.78,300344,$302.47,$305.17,$300.491
08/22/2024,$300.52,343147,$306.84,$306.84,$297.32
08/21/2024,$304.31,195702,$301.06,$304.81,$300.36
08/20/2024,$299.12,315966,$301.99,$302.95,$298.75
08/19/2024,$301.68,294776,$300.00,$301.93,$297.605
08/16/2024,$300.41,461491,$291.88,$300.63,$291.56
08/15/2024,$292.60,420882,$295.50,$295.875,$290.13
08/14/2024,$292.21,217395,$295.02,$295.425,$290.2471
08/13/2024,$295.42,436877,$291.13,$295.94,$291.13
08/12/2024,$290.56,409363,$287.87,$290.88,$285.315
08/09/2024,$287.85,886488,$292.43,$294.36,$283.18
08/08/2024,$293.02,731782,$297.89,$299.40,$291.16
08/07/2024,$293.77,557500,$304.20,$304.37,$293.33
08/06/2024,$304.46,711793,$304.15,$310.41,$301.805
08/05/2024,$301.60,981173,$296.50,$303.78,$293.47
08/02/2024,$300.28,457026,$299.31,$301.2215,$291.92
08/01/2024,$302.31,794146,$304.13,$309.05,$297.46
07/31/2024,$306.17,1193089,$299.40,$307.405,$297.43
07/30/2024,$299.51,926341,$287.69,$299.86,$286.79
07/29/2024,$288.12,775524,$286.48,$293.11,$283.58
07/26/2024,$284.76,1190418,$279.63,$289.45,$275.49
07/25/2024,$277.16,3347383,$282.40,$295.19,$265.00
07/24/2024,$323.77,1040210,$317.77,$325.01,$312.68
07/23/2024,$316.18,770399,$322.09,$323.00,$312.22
07/22/2024,$318.02,984748,$321.30,$322.50,$311.59
07/19/2024,$317.92,554640,$319.48,$319.48,$313.90
07/18/2024,$316.34,533798,$324.74,$330.64,$316.25
07/17/2024,$327.04,291483,$327.87,$332.23,$325.19
07/16/2024,$329.11,366704,$322.00,$330.02,$320.1564
07/15/2024,$320.11,443658,$323.15,$328.26,$319.49
07/12/2024,$322.98,631593,$334.24,$334.24,$322.74
07/11/2024,$333.30,442685,$324.66,$334.23,$324.05
07/10/2024,$321.35,686166,$319.43,$322.95,$316.86
07/09/2024,$318.63,604804,$320.59,$320.59,$314.215
07/08/2024,$319.98,390906,$320.53,$326.08,$318.31
07/05/2024,$322.56,258764,$322.16,$322.83,$319.08
07/03/2024,$320.90,227206,$322.09,$322.66,$318.13
07/02/2024,$322.60,334456,$326.61,$332.79,$322.44
07/01/2024,$324.55,375230,$331.46,$335.34,$322.53
06/28/2024,$329.39,1219841,$330.03,$334.22,$326.02
06/27/2024,$328.76,517132,$323.18,$332.69,$323.18
06/26/2024,$323.68,359422,$322.51,$326.97,$320.02
06/25/2024,$323.60,526528,$330.00,$330.00,$320.00
06/24/2024,$331.00,529495,$331.77,$335.66,$328.13
06/21/2024,$332.76,991519,$329.37,$333.51,$323.855
06/20/2024,$328.64,1073730,$321.32,$331.18,$319.42
06/18/2024,$322.07,1095649,$336.52,$336.54,$310.00
06/17/2024,$336.08,514683,$332.78,$339.355,$330.37
06/14/2024,$333.25,374564,$334.66,$337.9099,$329.43
06/13/2024,$336.29,687777,$336.28,$339.42,$333.41
06/12/2024,$338.42,810083,$329.53,$342.42,$327.63
06/11/2024,$328.17,625939,$318.14,$328.22,$317.34
06/10/2024,$319.86,446595,$313.05,$320.00,$311.84
06/07/2024,$314.68,452042,$313.31,$317.54,$312.0536
06/06/2024,$315.20,340710,$316.91,$318.595,$314.99
06/05/2024,$317.69,382245,$318.88,$322.44,$317.48
06/04/2024,$318.42,557438,$329.17,$331.11,$316.995
06/03/2024,$328.73,434824,$331.04,$334.72,$325.67
05/31/2024,$331.41,767681,$328.96,$332.245,$326.03
05/30/2024,$329.12,491437,$320.99,$329.27,$320.645
05/29/2024,$322.85,465937,$324.86,$326.105,$322.04
05/28/2024,$327.47,531551,$331.92,$333.45,$326.17
05/24/2024,$331.66,385939,$327.45,$332.10,$326.00
05/23/2024,$328.59,460053,$335.29,$335.29,$328.01
05/22/2024,$334.29,671325,$336.56,$340.42,$329.31
