Date,Close/Last,Volume,Open,High,Low
09/06/2024,$76.72,1924768,$77.33,$78.25,$76.68
09/05/2024,$77.12,1600610,$77.10,$77.865,$76.30
09/04/2024,$77.04,2184779,$75.88,$78.05,$75.80
09/03/2024,$75.81,2036024,$76.92,$77.20,$75.711
08/30/2024,$76.88,3939503,$75.94,$77.05,$75.22
08/29/2024,$75.54,1672484,$75.30,$76.46,$75.09
08/28/2024,$75.30,3012714,$76.50,$76.55,$74.21
08/27/2024,$77.04,1135534,$77.05,$77.21,$76.60
08/26/2024,$77.24,1315463,$77.65,$77.91,$76.7901
08/23/2024,$77.37,1479914,$76.77,$77.41,$76.07
08/22/2024,$77.09,1133718,$77.36,$77.635,$76.76
08/21/2024,$77.36,2302366,$76.55,$77.84,$76.425
08/20/2024,$76.02,1839308,$76.18,$76.69,$75.91
08/19/2024,$76.60,3310540,$76.15,$77.22,$76.05
08/16/2024,$76.29,1822838,$75.80,$77.28,$75.80
08/15/2024,$76.14,2778718,$75.03,$76.90,$75.03
08/14/2024,$74.04,2381363,$74.26,$74.8065,$73.26
08/13/2024,$74.20,2371157,$73.94,$74.84,$73.25
08/12/2024,$73.93,2583964,$74.00,$75.07,$73.42
08/09/2024,$74.63,2417886,$77.15,$77.2299,$74.45
08/08/2024,$76.65,2654779,$75.62,$77.22,$75.50
08/07/2024,$74.85,5081701,$78.50,$79.05,$74.07
08/06/2024,$76.29,5052088,$73.94,$76.95,$73.92
08/05/2024,$73.55,4677760,$71.91,$74.6299,$71.63
08/02/2024,$76.80,4142525,$77.48,$77.89,$75.50
08/01/2024,$78.71,4292507,$82.33,$82.62,$78.205
07/31/2024,$82.82,1997521,$82.80,$83.97,$82.61
07/30/2024,$82.51,1442282,$82.24,$82.8871,$81.8303
07/29/2024,$82.50,1466196,$81.70,$82.77,$80.76
07/26/2024,$81.61,1925544,$81.42,$81.67,$80.02
07/25/2024,$80.52,2425959,$80.69,$81.64,$80.11
07/24/2024,$80.97,2320088,$83.46,$83.75,$80.66
07/23/2024,$83.27,1570046,$83.23,$83.31,$82.55
07/22/2024,$83.54,1641564,$83.96,$84.44,$82.59
07/19/2024,$83.43,2150767,$83.48,$83.75,$82.19
07/18/2024,$83.48,2317823,$84.45,$85.06,$83.19
07/17/2024,$84.92,2042219,$85.49,$85.87,$84.24
07/16/2024,$85.95,2010524,$84.65,$86.20,$83.2301
07/15/2024,$84.60,1868770,$85.81,$86.97,$84.29
07/12/2024,$85.83,1776279,$85.53,$86.50,$84.86
07/11/2024,$84.61,1701831,$84.25,$85.83,$83.88
07/10/2024,$83.91,1886371,$85.00,$85.00,$83.68
07/09/2024,$84.76,1831013,$85.31,$86.02,$84.71
07/08/2024,$85.25,2239633,$87.05,$87.37,$85.17
07/05/2024,$86.83,1925229,$86.82,$87.895,$86.22
07/03/2024,$87.28,1556916,$87.09,$89.06,$86.79
07/02/2024,$86.33,2233297,$87.56,$88.1146,$86.09
