Date,Close/Last,Volume,Open,High,Low
09/06/2024,$126.71,1348183,$128.14,$129.82,$126.58
09/05/2024,$128.03,1108596,$129.04,$129.04,$126.64
09/04/2024,$129.09,1744377,$129.61,$131.48,$128.18
09/03/2024,$130.71,2334821,$134.13,$136.00,$130.31
08/30/2024,$137.53,1263088,$136.06,$137.84,$135.30
08/29/2024,$135.77,713497,$136.20,$137.715,$135.49
08/28/2024,$135.82,923374,$135.77,$136.63,$135.33
08/27/2024,$135.42,1459674,$135.56,$136.44,$134.95
08/26/2024,$136.25,808464,$137.25,$138.47,$135.93
08/23/2024,$136.92,693121,$136.40,$137.53,$135.54
08/22/2024,$135.42,898367,$136.00,$137.04,$135.10
08/21/2024,$135.80,1932344,$134.60,$135.9586,$134.165
08/20/2024,$134.15,772290,$134.40,$135.60,$133.20
08/19/2024,$134.38,751222,$133.04,$134.38,$132.58
08/16/2024,$132.80,1956508,$133.00,$133.625,$131.97
08/15/2024,$133.19,739030,$132.95,$134.27,$131.78
08/14/2024,$131.49,813416,$131.72,$132.23,$130.58
08/13/2024,$131.71,1637829,$129.00,$131.78,$128.50
08/12/2024,$127.50,813866,$128.47,$128.98,$126.81
08/09/2024,$128.59,909788,$128.17,$128.82,$126.70
08/08/2024,$128.33,1020198,$128.06,$128.43,$126.15
08/07/2024,$126.83,1121281,$129.08,$130.85,$126.70
08/06/2024,$127.39,1246223,$126.80,$129.41,$126.15
08/05/2024,$126.14,1589971,$127.07,$128.5358,$125.01
08/02/2024,$130.15,1557073,$131.13,$132.35,$128.85
08/01/2024,$133.33,1591739,$133.02,$134.74,$131.68
07/31/2024,$133.50,2439536,$134.88,$135.4301,$132.605
07/30/2024,$133.48,2841090,$143.00,$143.50,$132.69
07/29/2024,$141.53,1559924,$140.87,$141.94,$139.6128
07/26/2024,$140.84,1074135,$138.48,$142.13,$137.82
07/25/2024,$137.13,1242466,$137.02,$139.85,$135.85
07/24/2024,$136.71,1010563,$140.02,$140.6169,$136.52
07/23/2024,$140.72,860446,$138.91,$141.22,$138.41
07/22/2024,$139.34,902851,$138.98,$139.55,$137.76
07/19/2024,$137.49,1038513,$138.67,$139.28,$136.55
07/18/2024,$138.04,962413,$138.39,$140.33,$137.77
07/17/2024,$139.00,1214528,$140.51,$141.50,$138.75
07/16/2024,$141.26,1212477,$138.18,$141.44,$137.40
07/15/2024,$137.30,1190907,$138.66,$139.36,$136.92
07/12/2024,$138.42,763118,$139.59,$139.785,$138.31
07/11/2024,$137.87,830169,$137.22,$139.24,$136.00
07/10/2024,$136.34,861521,$133.82,$136.43,$133.33
07/09/2024,$133.59,938703,$134.10,$134.62,$133.49
07/08/2024,$134.06,746780,$134.81,$135.98,$133.86
07/05/2024,$134.26,1106316,$132.55,$134.30,$131.12
07/03/2024,$132.71,858241,$132.27,$133.42,$131.645
07/02/2024,$132.27,897231,$130.97,$132.70,$130.65
07/01/2024,$131.53,1562572,$136.25,$136.25,$130.95
06/28/2024,$135.63,2197606,$136.64,$137.99,$134.30
06/27/2024,$136.39,829941,$136.71,$137.22,$136.09
06/26/2024,$136.21,1246688,$135.71,$136.60,$135.01
06/25/2024,$136.93,1217964,$137.82,$138.07,$135.97
06/24/2024,$138.34,1181277,$138.83,$140.16,$137.88
06/21/2024,$138.67,1699102,$139.18,$139.18,$137.33
06/20/2024,$139.23,973292,$140.00,$140.37,$138.845
06/18/2024,$140.37,907546,$139.54,$140.52,$138.76
06/17/2024,$139.54,1175796,$137.93,$139.845,$137.36
06/14/2024,$138.02,883114,$139.42,$140.37,$135.99
06/13/2024,$140.67,818914,$140.25,$140.94,$139.34
06/12/2024,$140.68,669592,$140.44,$141.44,$139.965
06/11/2024,$138.52,725408,$138.71,$138.71,$137.12
06/10/2024,$139.25,1304194,$136.93,$139.25,$136.57
06/07/2024,$137.32,873936,$136.47,$137.96,$135.52
06/06/2024,$136.87,1190313,$139.22,$140.20,$136.24
06/05/2024,$139.67,973508,$137.50,$139.75,$137.13
06/04/2024,$137.10,1078445,$138.19,$138.73,$136.33
06/03/2024,$138.61,2466257,$141.20,$141.24,$137.35
05/31/2024,$141.02,3015213,$139.71,$141.39,$138.13
05/30/2024,$139.40,1751489,$138.05,$140.16,$137.06
05/29/2024,$137.95,2200248,$138.70,$139.09,$137.17
05/28/2024,$140.36,2081085,$144.22,$144.405,$140.17
05/24/2024,$144.25,1477073,$144.78,$145.09,$143.02
05/23/2024,$143.72,851764,$145.89,$145.89,$143.41
05/22/2024,$145.20,1306448,$145.66,$145.8577,$144.68
05/21/2024,$145.95,961335,$145.56,$146.08,$144.375
05/20/2024,$145.77,1243483,$143.58,$145.93,$143.39
05/17/2024,$143.32,2306301,$143.21,$143.38,$141.96
05/16/2024,$142.68,1603179,$143.40,$143.61,$142.53
05/15/2024,$143.79,1390234,$142.93,$144.03,$142.88
05/14/2024,$142.07,949810,$141.26,$142.72,$140.93
05/13/2024,$141.27,1276924,$143.00,$143.30,$140.745
05/10/2024,$143.00,704056,$142.88,$143.62,$142.30
05/09/2024,$142.61,956582,$141.51,$142.72,$140.715
05/08/2024,$141.20,894358,$139.92,$141.30,$139.75
05/07/2024,$140.03,1307599,$139.67,$141.25,$138.67
05/06/2024,$139.20,953511,$138.03,$139.21,$137.36
05/03/2024,$137.21,1418175,$137.50,$138.46,$135.16
05/02/2024,$135.99,2784916,$132.43,$137.175,$132.02
05/01/2024,$130.96,1773974,$130.61,$133.07,$130.165
04/30/2024,$130.70,1397841,$132.05,$133.71,$130.58
04/29/2024,$132.59,1277846,$132.46,$133.34,$131.67
04/26/2024,$132.40,1112276,$130.41,$132.65,$129.79
04/25/2024,$130.61,963557,$129.62,$131.199,$128.0972
04/24/2024,$130.67,1053013,$131.50,$132.23,$129.58
04/23/2024,$130.72,945656,$129.62,$130.86,$129.28
04/22/2024,$128.98,1061915,$128.16,$129.79,$127.45
04/19/2024,$127.84,2250015,$127.56,$128.66,$126.96
04/18/2024,$127.16,1139176,$127.16,$128.46,$126.91
04/17/2024,$126.22,1441337,$128.49,$128.49,$124.66
04/16/2024,$128.00,1149958,$127.01,$128.73,$126.11
04/15/2024,$127.29,991363,$129.43,$129.88,$126.70
04/12/2024,$128.11,899537,$127.94,$128.6709,$127.185
04/11/2024,$128.79,941660,$128.39,$129.0973,$127.18
04/10/2024,$128.19,1036947,$126.69,$128.78,$126.02
04/09/2024,$128.93,782131,$128.23,$128.99,$126.48
04/08/2024,$127.75,772656,$128.85,$129.065,$127.62
04/05/2024,$128.27,753965,$127.41,$128.94,$127.00
04/04/2024,$127.25,1129543,$129.69,$130.005,$127.03
04/03/2024,$128.86,1147294,$127.68,$129.73,$127.62
04/02/2024,$128.12,1144432,$128.76,$128.78,$127.17
04/01/2024,$128.64,716821,$129.25,$129.505,$127.91
03/28/2024,$129.24,953174,$129.56,$130.22,$129.15
03/27/2024,$129.38,959688,$128.63,$129.45,$128.10
03/26/2024,$127.90,853382,$127.56,$128.49,$127.26
03/25/2024,$127.76,888135,$128.81,$129.355,$127.50
03/22/2024,$129.21,732393,$129.93,$130.475,$128.77
03/21/2024,$129.99,1029847,$129.20,$130.86,$129.20
03/20/2024,$128.71,987853,$128.39,$128.71,$127.23
03/19/2024,$128.45,806902,$127.57,$128.53,$127.3708
03/18/2024,$127.49,720019,$127.36,$127.96,$126.80
03/15/2024,$127.27,1537623,$126.80,$128.24,$126.18
03/14/2024,$127.96,1335511,$127.72,$128.10,$126.63
03/13/2024,$128.02,872500,$128.46,$128.525,$127.475
03/12/2024,$128.46,1029726,$126.49,$128.51,$126.42
03/11/2024,$126.18,1019923,$126.88,$127.04,$125.51
03/08/2024,$127.08,761604,$127.29,$127.975,$126.58
03/07/2024,$126.97,905453,$127.16,$127.6952,$126.51
03/06/2024,$126.35,1118940,$126.31,$127.18,$125.74
03/05/2024,$126.19,924222,$127.71,$127.86,$125.68
03/04/2024,$127.85,917349,$127.61,$128.58,$127.555
03/01/2024,$127.94,813155,$126.69,$128.16,$126.2235
02/29/2024,$127.05,1829167,$125.91,$127.48,$125.25
02/28/2024,$125.63,877021,$125.26,$126.31,$125.26
02/27/2024,$125.69,932176,$125.92,$126.415,$124.74
