Date,Close/Last,Volume,Open,High,Low
09/06/2024,$104.81,2518160,$105.51,$105.51,$104.04
09/05/2024,$104.47,4929017,$108.66,$109.17,$104.13
09/04/2024,$114.48,1144888,$116.00,$116.56,$113.92
09/03/2024,$116.17,1428657,$115.33,$116.71,$115.00
08/30/2024,$115.46,1584916,$114.95,$115.93,$114.61
08/29/2024,$114.67,801505,$114.92,$115.3435,$113.91
08/28/2024,$114.19,687138,$114.72,$115.15,$113.855
08/27/2024,$114.67,914312,$114.67,$115.36,$114.52
08/26/2024,$114.63,913467,$115.32,$116.37,$114.23
08/23/2024,$115.05,788447,$114.00,$115.335,$113.56
08/22/2024,$113.42,1164527,$112.78,$113.51,$112.45
08/21/2024,$112.13,826850,$112.00,$112.49,$111.07
08/20/2024,$111.64,958003,$111.80,$112.505,$111.325
08/19/2024,$111.77,1003340,$110.65,$112.09,$110.65
08/16/2024,$110.65,963210,$109.85,$110.93,$109.825
08/15/2024,$109.90,1151758,$109.00,$110.25,$108.91
08/14/2024,$108.63,1166006,$109.58,$110.17,$107.76
08/13/2024,$109.31,1452395,$106.97,$109.90,$106.755
08/12/2024,$107.00,1542532,$108.00,$108.24,$106.24
08/09/2024,$108.08,1174759,$108.30,$108.55,$107.39
08/08/2024,$108.70,2011194,$106.00,$108.85,$106.00
08/07/2024,$105.81,3050993,$106.70,$110.09,$105.52
08/06/2024,$109.57,1891542,$107.25,$110.90,$106.95
08/05/2024,$107.04,1676880,$109.15,$109.55,$106.62
08/02/2024,$110.36,1190049,$111.22,$111.93,$108.82
08/01/2024,$111.12,1129925,$111.84,$113.42,$110.26
07/31/2024,$111.35,1592754,$111.51,$113.08,$110.12
07/30/2024,$111.37,1226564,$110.51,$111.84,$110.0112
07/29/2024,$110.79,1202829,$111.16,$111.75,$109.855
07/26/2024,$111.29,1399353,$110.79,$112.28,$110.23
07/25/2024,$110.64,1600316,$110.09,$112.965,$110.09
07/24/2024,$110.55,925349,$110.32,$111.05,$109.505
07/23/2024,$110.00,978222,$110.38,$110.76,$109.44
07/22/2024,$110.33,1355681,$110.85,$111.40,$109.75
07/19/2024,$110.50,1510715,$112.04,$112.04,$109.60
07/18/2024,$111.39,2278240,$110.49,$113.87,$110.355
07/17/2024,$111.05,2237110,$107.46,$112.31,$107.08
07/16/2024,$107.46,1211652,$106.61,$108.1483,$106.31
07/15/2024,$106.53,1822559,$108.18,$108.59,$106.36
07/12/2024,$108.69,1177369,$108.33,$109.57,$107.56
07/11/2024,$108.19,1140709,$107.11,$109.29,$107.11
07/10/2024,$106.90,732786,$105.65,$107.03,$105.535
07/09/2024,$105.76,1360405,$106.63,$107.00,$105.37
07/08/2024,$106.39,1651108,$107.84,$108.39,$106.14
07/05/2024,$108.01,1044979,$106.82,$108.16,$106.17
07/03/2024,$106.58,635871,$106.47,$107.33,$106.21
07/02/2024,$106.27,1853489,$105.87,$106.69,$105.37
07/01/2024,$105.96,2677168,$107.01,$108.905,$105.82
06/28/2024,$108.53,2774589,$108.55,$109.58,$107.38
06/27/2024,$108.38,2052551,$108.12,$108.64,$107.42
06/26/2024,$108.11,2005974,$107.70,$109.21,$107.61
06/25/2024,$108.22,1339095,$108.14,$109.12,$107.56
06/24/2024,$108.46,1599985,$108.26,$109.86,$107.67
06/21/2024,$107.86,3445022,$106.70,$108.06,$106.00
06/20/2024,$106.25,1887623,$105.57,$106.81,$105.38
06/18/2024,$106.69,1753164,$107.05,$107.45,$105.91
06/17/2024,$107.03,1579398,$106.12,$107.16,$106.12
06/14/2024,$107.19,1611412,$106.68,$107.30,$106.01
06/13/2024,$106.97,1470959,$107.00,$107.70,$106.17
06/12/2024,$107.45,2996456,$110.32,$111.00,$106.80
06/11/2024,$109.23,3036000,$112.74,$112.74,$106.17
06/10/2024,$112.88,1214510,$112.83,$113.25,$111.44
06/07/2024,$113.34,1070254,$113.12,$113.87,$112.60
06/06/2024,$113.37,902271,$112.50,$113.8578,$112.07
06/05/2024,$112.64,918090,$113.43,$113.83,$112.1101
06/04/2024,$113.44,1186651,$113.01,$114.515,$112.75
06/03/2024,$113.12,1662962,$114.50,$115.82,$112.95
05/31/2024,$115.15,3003146,$114.37,$115.19,$113.7507
05/30/2024,$114.44,1731064,$115.46,$116.22,$114.37
05/29/2024,$115.14,1930661,$115.20,$116.86,$114.61
05/28/2024,$116.33,1210971,$116.51,$117.445,$115.64
05/24/2024,$116.41,1084246,$116.02,$116.53,$115.435
05/23/2024,$115.85,1030777,$118.73,$119.057,$115.78
05/22/2024,$119.33,954528,$119.11,$120.13,$118.81
05/21/2024,$119.00,776624,$119.38,$119.67,$118.95
05/20/2024,$119.05,1152705,$120.05,$120.0913,$118.94
05/17/2024,$120.18,1185820,$121.30,$121.30,$119.555
05/16/2024,$121.23,970804,$121.07,$122.17,$120.70
05/15/2024,$120.98,1153965,$120.58,$121.19,$120.08
05/14/2024,$119.97,1348678,$119.95,$120.51,$118.33
05/13/2024,$119.59,1180933,$121.59,$122.25,$119.11
05/10/2024,$121.31,772709,$121.39,$122.22,$120.985
05/09/2024,$121.44,667801,$121.14,$121.66,$120.55
05/08/2024,$120.85,1256700,$121.12,$121.285,$120.00
05/07/2024,$121.43,1358505,$121.13,$122.18,$120.60
05/06/2024,$120.56,1293796,$122.00,$122.25,$119.58
05/03/2024,$121.66,1847585,$119.49,$121.92,$119.3501
05/02/2024,$118.46,2931807,$121.99,$123.96,$117.595
05/01/2024,$119.56,2710471,$118.09,$121.20,$116.93
04/30/2024,$120.28,1429080,$120.93,$121.41,$120.26
04/29/2024,$121.71,1195031,$119.40,$121.76,$119.40
04/26/2024,$119.35,1099241,$119.49,$119.94,$118.66
04/25/2024,$119.75,1078820,$120.71,$121.35,$118.77
04/24/2024,$121.17,978733,$121.55,$122.415,$121.01
04/23/2024,$121.52,742806,$120.63,$121.62,$120.265
04/22/2024,$120.78,918343,$120.26,$121.41,$119.18
04/19/2024,$119.43,1301616,$119.90,$120.145,$118.99
04/18/2024,$119.33,1442392,$121.45,$121.45,$118.625
04/17/2024,$121.30,1521635,$122.87,$122.87,$120.04
04/16/2024,$122.07,1628505,$123.96,$124.32,$121.40
04/15/2024,$124.00,1052751,$126.00,$127.32,$123.96
04/12/2024,$124.48,1048564,$126.40,$127.10,$123.705
04/11/2024,$127.52,1086577,$128.55,$128.55,$126.98
04/10/2024,$127.72,823294,$127.81,$127.94,$126.39
04/09/2024,$129.40,1203747,$127.36,$129.495,$126.55
04/08/2024,$126.69,1106453,$127.31,$127.63,$126.585
04/05/2024,$127.33,791726,$127.53,$128.07,$126.15
04/04/2024,$127.56,1033003,$130.89,$130.89,$127.43
04/03/2024,$130.01,1369943,$128.50,$130.50,$128.50
04/02/2024,$128.47,1057030,$129.25,$129.30,$127.57
04/01/2024,$129.75,745090,$131.61,$131.61,$129.68
03/28/2024,$131.98,1425289,$132.93,$133.90,$131.60
03/27/2024,$132.61,1806704,$128.52,$132.63,$128.51
03/26/2024,$127.87,1080443,$128.37,$128.6125,$127.85
03/25/2024,$127.91,1242417,$127.92,$128.475,$127.6075
03/22/2024,$127.20,1419231,$127.27,$127.65,$125.88
03/21/2024,$127.07,747044,$126.99,$127.50,$126.14
03/20/2024,$126.53,1069238,$126.24,$127.35,$125.88
03/19/2024,$126.66,949289,$126.00,$126.75,$124.91
03/18/2024,$125.96,972376,$125.27,$126.31,$125.10
03/15/2024,$125.17,2672395,$124.38,$125.68,$124.38
03/14/2024,$125.73,1203903,$126.26,$126.94,$125.045
03/13/2024,$126.59,846962,$128.24,$128.47,$126.47
03/12/2024,$128.21,1072974,$127.62,$128.42,$127.12
03/11/2024,$128.04,1079803,$126.70,$128.36,$126.17
03/08/2024,$126.74,1395172,$126.98,$128.1499,$126.40
03/07/2024,$127.36,1057909,$126.63,$128.14,$126.24
03/06/2024,$125.83,753094,$125.02,$126.8073,$124.83
03/05/2024,$124.78,1308347,$125.92,$126.36,$124.42
03/04/2024,$125.51,1658536,$123.76,$126.465,$122.49
03/01/2024,$124.01,740134,$124.05,$124.92,$123.635
02/29/2024,$124.36,2415826,$124.22,$124.84,$122.895
02/28/2024,$124.13,1415737,$125.94,$126.00,$123.71
02/27/2024,$126.37,840233,$126.62,$127.0624,$126.08
02/26/2024,$126.88,1659666,$128.87,$129.20,$126.86
02/23/2024,$129.18,1023534,$128.63,$129.515,$128.08
02/22/2024,$128.54,1410614,$128.00,$129.119,$127.075
02/21/2024,$128.35,2217300,$125.09,$128.8531,$124.41
02/20/2024,$124.98,1388804,$124.94,$125.94,$122.58
02/16/2024,$124.71,1455459,$124.15,$125.96,$124.02
02/15/2024,$124.40,1571062,$122.16,$124.50,$122.16
02/14/2024,$121.84,1754566,$123.42,$124.18,$121.59
02/13/2024,$123.16,1317620,$125.00,$125.6325,$122.31
02/12/2024,$125.85,1836756,$122.91,$126.02,$122.835
02/09/2024,$122.80,3355614,$123.90,$125.31,$121.17
02/08/2024,$123.04,4306794,$120.67,$124.528,$119.13
02/07/2024,$127.55,2073649,$127.86,$128.49,$127.235
02/06/2024,$127.60,1828637,$125.25,$127.62,$125.25
02/05/2024,$125.36,1180023,$126.08,$126.89,$125.15
02/02/2024,$126.32,1058527,$126.91,$127.40,$125.60
02/01/2024,$127.25,1434458,$125.43,$127.25,$124.135
01/31/2024,$125.60,2460104,$124.02,$127.454,$124.02
01/30/2024,$122.37,1448665,$122.87,$123.195,$121.90
01/29/2024,$122.92,1261065,$121.25,$122.93,$120.94
01/26/2024,$121.69,982774,$122.84,$123.11,$121.57
01/25/2024,$121.96,1127570,$119.98,$121.96,$119.98
01/24/2024,$120.52,2376233,$121.06,$121.31,$119.455
01/23/2024,$121.08,1996283,$124.27,$125.00,$120.43
01/22/2024,$122.59,1405440,$123.69,$124.16,$122.48
01/19/2024,$123.36,1562921,$123.92,$124.05,$122.02
01/18/2024,$123.83,1801631,$123.20,$124.54,$122.475
01/17/2024,$122.23,1128373,$122.03,$122.58,$121.16
01/16/2024,$122.64,1450431,$121.91,$122.69,$121.17
01/12/2024,$123.07,1735839,$123.69,$124.75,$122.35
01/11/2024,$122.38,1643164,$123.23,$124.81,$122.185
01/10/2024,$123.23,1679991,$121.70,$123.67,$121.62
01/09/2024,$121.87,2921871,$121.63,$124.27,$120.66
01/08/2024,$121.97,1427554,$120.63,$122.78,$120.515
01/05/2024,$119.98,1390956,$119.72,$121.295,$119.69
01/04/2024,$120.20,2099400,$119.90,$120.88,$119.40
01/03/2024,$120.47,2325450,$120.93,$121.30,$119.72
01/02/2024,$121.39,1087454,$121.02,$122.40,$120.72
12/29/2023,$121.70,849769,$121.46,$122.40,$121.24
12/28/2023,$121.63,662236,$120.93,$122.08,$120.90
12/27/2023,$121.13,1058621,$121.20,$121.79,$120.80
12/26/2023,$121.42,1870741,$120.22,$121.92,$120.20
12/22/2023,$120.56,1337787,$120.30,$121.09,$119.91
12/21/2023,$119.65,1971160,$120.57,$121.16,$119.085
12/20/2023,$120.00,3205423,$120.38,$120.45,$119.10
12/19/2023,$119.97,1508944,$118.71,$120.02,$118.51
12/18/2023,$118.80,2074979,$118.84,$119.31,$118.21
12/15/2023,$118.69,4073985,$118.00,$118.98,$117.305
12/14/2023,$118.53,2049011,$119.09,$120.3325,$118.43
