Date,Close/Last,Volume,Open,High,Low
09/06/2024,$320.77,690381,$328.80,$330.70,$318.01
09/05/2024,$329.04,254703,$326.45,$331.00,$323.44
09/04/2024,$328.87,362367,$328.74,$331.33,$326.82
09/03/2024,$330.45,467311,$341.46,$342.945,$329.32
08/30/2024,$345.38,453456,$345.32,$345.66,$337.93
08/29/2024,$342.27,319208,$345.44,$348.08,$342.03
08/28/2024,$343.83,211240,$344.68,$347.20,$342.00
08/27/2024,$346.04,236766,$345.10,$346.17,$342.50
08/26/2024,$347.69,248200,$352.97,$352.97,$346.50
08/23/2024,$351.62,196336,$344.17,$351.79,$344.17
08/22/2024,$342.16,224879,$346.76,$346.915,$341.83
08/21/2024,$345.00,310722,$348.69,$348.69,$343.575
08/20/2024,$344.85,431316,$346.06,$348.435,$341.27
08/19/2024,$347.02,298919,$344.11,$347.02,$340.50
08/16/2024,$344.14,276539,$342.32,$346.32,$342.18
08/15/2024,$343.21,307213,$338.77,$344.40,$338.695
08/14/2024,$333.24,248801,$332.23,$333.66,$327.59
08/13/2024,$332.12,431642,$323.16,$334.20,$323.16
08/12/2024,$320.34,279834,$320.70,$322.58,$318.00
08/09/2024,$319.95,271711,$320.55,$322.98,$315.25
08/08/2024,$321.71,673258,$307.73,$323.75,$304.28
08/07/2024,$314.65,529657,$321.23,$324.55,$314.355
08/06/2024,$316.56,367387,$318.47,$322.91,$316.14
08/05/2024,$317.86,464646,$310.57,$319.65,$305.00
08/02/2024,$322.30,447821,$331.80,$332.13,$319.04
08/01/2024,$342.58,580863,$350.42,$353.86,$334.30
07/31/2024,$351.19,634408,$357.78,$359.6897,$348.99
07/30/2024,$348.12,1217358,$359.80,$372.93,$346.72
07/29/2024,$335.09,605875,$327.38,$335.57,$325.02
07/26/2024,$325.98,458685,$326.50,$330.97,$323.00
07/25/2024,$324.41,353079,$321.49,$330.13,$319.83
07/24/2024,$322.09,201870,$328.40,$330.74,$321.66
07/23/2024,$331.20,219820,$325.84,$333.00,$324.53
07/22/2024,$326.57,302987,$325.01,$326.91,$322.7501
07/19/2024,$321.45,208404,$324.99,$325.32,$319.48
07/18/2024,$323.37,414789,$325.32,$329.63,$321.80
07/17/2024,$325.89,410766,$332.11,$335.86,$325.67
07/16/2024,$335.76,321394,$328.79,$337.08,$328.6901
07/15/2024,$327.50,281121,$325.64,$328.94,$325.30
07/12/2024,$325.19,375897,$329.79,$334.215,$324.89
07/11/2024,$328.32,360245,$326.21,$331.73,$325.075
07/10/2024,$323.81,258100,$316.58,$324.43,$315.815
07/09/2024,$315.24,339006,$314.91,$321.16,$314.00
07/08/2024,$314.48,209172,$311.99,$314.96,$310.57
07/05/2024,$310.51,245722,$312.25,$312.43,$308.695
07/03/2024,$312.85,106583,$312.35,$314.13,$309.24
07/02/2024,$310.03,212679,$307.39,$311.56,$306.21
07/01/2024,$306.21,266721,$308.82,$313.05,$303.36
06/28/2024,$308.93,417913,$309.00,$314.04,$306.16
06/27/2024,$306.99,303702,$307.03,$309.695,$304.60
06/26/2024,$307.12,264839,$303.93,$307.21,$302.26
06/25/2024,$306.04,319031,$308.20,$309.11,$304.46
06/24/2024,$306.71,428186,$300.47,$307.76,$300.05
06/21/2024,$300.01,576873,$297.71,$301.17,$293.427
06/20/2024,$296.64,352292,$296.00,$298.27,$295.05
06/18/2024,$295.25,436187,$302.09,$302.09,$294.45
06/17/2024,$302.40,306403,$300.95,$303.59,$298.645
