Date,Close/Last,Volume,Open,High,Low
09/06/2024,$189.23,2710102,$187.46,$190.44,$187.06
09/05/2024,$186.59,1465678,$187.66,$188.05,$185.84
09/04/2024,$187.33,1870954,$183.19,$187.51,$181.56
09/03/2024,$183.57,1680951,$182.71,$184.745,$182.46
08/30/2024,$183.49,2328501,$183.09,$184.2238,$180.98
08/29/2024,$182.89,1359892,$183.91,$184.705,$182.48
08/28/2024,$182.91,1485359,$182.10,$184.61,$182.095
08/27/2024,$182.10,1423910,$181.98,$183.0899,$181.42
08/26/2024,$181.56,1015905,$181.04,$182.59,$180.52
08/23/2024,$180.90,1262412,$182.86,$182.9381,$180.18
08/22/2024,$182.17,1135849,$183.41,$184.3475,$181.51
08/21/2024,$182.90,1246773,$184.27,$184.525,$181.82
08/20/2024,$183.60,1186378,$184.48,$184.76,$182.9001
08/19/2024,$184.48,1637032,$183.80,$184.52,$182.56
08/16/2024,$183.71,1588375,$183.72,$184.61,$182.25
08/15/2024,$184.08,1891866,$184.52,$186.17,$182.71
08/14/2024,$183.38,2153206,$188.05,$188.50,$182.49
08/13/2024,$188.38,1732715,$184.62,$189.04,$184.62
08/12/2024,$183.81,1638146,$184.86,$185.25,$182.34
08/09/2024,$185.25,1881668,$188.37,$189.63,$185.17
08/08/2024,$188.30,1734092,$185.51,$188.84,$185.50
08/07/2024,$184.77,2097118,$186.00,$190.22,$184.50
08/06/2024,$185.29,3832497,$185.00,$189.815,$184.00
08/05/2024,$174.82,3197374,$176.18,$178.29,$172.24
08/02/2024,$180.59,2699619,$181.60,$183.53,$178.53
08/01/2024,$182.42,1987872,$181.05,$183.93,$180.60
07/31/2024,$180.04,1740116,$182.50,$183.26,$179.83
07/30/2024,$181.83,2271267,$181.97,$184.79,$180.04
07/29/2024,$181.83,1302920,$180.63,$183.08,$179.15
07/26/2024,$179.84,2437326,$182.26,$183.85,$179.26
07/25/2024,$180.76,2473707,$181.00,$186.45,$179.76
07/24/2024,$179.66,1309281,$179.33,$180.835,$178.39
07/23/2024,$179.38,1329402,$181.13,$182.175,$179.25
07/22/2024,$180.76,1532942,$180.80,$182.17,$178.78
07/19/2024,$178.58,2131427,$180.04,$180.51,$176.17
07/18/2024,$179.23,2171095,$180.56,$184.24,$179.17
07/17/2024,$182.05,2190800,$182.00,$184.84,$180.56
07/16/2024,$182.91,1939933,$178.10,$183.22,$177.78
07/15/2024,$177.98,2216577,$178.58,$180.85,$177.82
07/12/2024,$179.04,1672774,$179.00,$179.71,$177.81
07/11/2024,$177.74,1989873,$174.81,$178.55,$174.01
07/10/2024,$173.49,1970984,$174.67,$174.67,$171.51
07/09/2024,$174.24,1777496,$175.69,$175.73,$173.32
07/08/2024,$175.43,1704738,$175.41,$177.14,$174.72
07/05/2024,$174.96,1812072,$175.20,$175.96,$174.25
07/03/2024,$175.60,1251823,$175.44,$177.67,$175.255
07/02/2024,$174.81,2454220,$172.49,$175.99,$172.49
07/01/2024,$172.58,1589860,$173.26,$175.46,$172.00
06/28/2024,$173.36,4189580,$176.46,$177.07,$173.03
06/27/2024,$176.46,4164828,$174.49,$181.66,$174.26
06/26/2024,$170.90,2053785,$167.21,$171.51,$166.45
06/25/2024,$167.98,2293437,$171.79,$172.42,$167.72
06/24/2024,$171.84,1885907,$171.71,$174.29,$170.30
06/21/2024,$171.09,4899668,$169.38,$171.79,$169.35
06/20/2024,$168.18,3233677,$169.82,$171.10,$167.10
06/18/2024,$169.66,2273653,$170.40,$171.59,$168.77
06/17/2024,$170.90,1798667,$168.30,$171.62,$167.32
06/14/2024,$170.55,2225314,$170.45,$171.5945,$168.89
06/13/2024,$171.32,2298781,$175.87,$176.50,$170.808
06/12/2024,$175.85,2068288,$179.00,$179.125,$174.80
06/11/2024,$178.54,1844194,$178.50,$179.00,$177.46
06/10/2024,$178.83,2506861,$176.57,$179.76,$176.02
06/07/2024,$176.92,1819455,$175.90,$177.12,$175.25
06/06/2024,$176.78,2722187,$174.52,$176.90,$173.99
06/05/2024,$175.82,1870831,$172.90,$176.73,$172.90
06/04/2024,$171.88,1304565,$170.93,$172.26,$169.66
06/03/2024,$172.37,2142660,$170.04,$174.27,$169.98
05/31/2024,$169.56,4088435,$170.00,$172.145,$167.955
