Date,Close/Last,Volume,Open,High,Low
09/06/2024,$198.33,3884686,$198.99,$201.18,$193.38
09/05/2024,$198.44,3064325,$197.09,$200.73,$194.27
09/04/2024,$199.63,3765078,$193.03,$204.19,$192.1223
09/03/2024,$192.55,4275304,$200.00,$202.60,$187.5479
08/30/2024,$201.00,3347707,$195.86,$201.3696,$194.20
08/29/2024,$191.36,3155472,$186.00,$195.68,$185.355
08/28/2024,$184.00,2067683,$183.85,$185.37,$180.77
08/27/2024,$185.55,1613268,$181.00,$187.10,$180.49
08/26/2024,$182.13,2177004,$181.48,$183.27,$179.19
08/23/2024,$183.29,4872683,$180.80,$183.56,$173.07
08/22/2024,$186.00,2067915,$185.00,$186.745,$182.31
08/21/2024,$184.26,1601541,$183.47,$185.24,$181.81
08/20/2024,$184.00,1138332,$184.96,$186.00,$181.68
08/19/2024,$185.40,1626853,$184.10,$185.51,$181.215
08/16/2024,$184.06,2718507,$188.72,$188.82,$180.3907
08/15/2024,$188.82,3477950,$185.50,$190.7999,$181.61
08/14/2024,$184.16,2242670,$180.00,$185.19,$178.25
08/13/2024,$179.65,1552036,$178.05,$180.26,$175.315
08/12/2024,$176.44,1797785,$178.49,$180.50,$174.39
08/09/2024,$179.11,2766628,$176.52,$179.55,$172.60
08/08/2024,$177.21,2755834,$169.20,$177.46,$165.05
08/07/2024,$166.07,3312842,$168.66,$172.75,$164.69
08/06/2024,$164.35,2800031,$163.08,$166.465,$160.00
08/05/2024,$162.24,3700451,$152.405,$165.39,$150.01
08/02/2024,$164.73,3314487,$168.78,$169.99,$161.50
08/01/2024,$174.03,3706765,$181.90,$183.86,$171.81
07/31/2024,$178.24,4056500,$171.25,$180.255,$171.25
07/30/2024,$162.70,2639331,$172.93,$174.07,$162.45
07/29/2024,$172.05,1757967,$174.32,$174.77,$169.85
07/26/2024,$173.11,3871920,$168.46,$173.9755,$163.69
07/25/2024,$160.00,5163169,$166.00,$166.29,$156.41
07/24/2024,$162.90,5532133,$167.34,$172.30,$162.73
07/23/2024,$170.49,3221764,$167.00,$171.01,$166.22
07/22/2024,$166.76,1738608,$166.38,$168.25,$163.6839
07/19/2024,$163.34,2547792,$162.00,$163.69,$159.11
07/18/2024,$161.49,4736552,$168.00,$171.45,$159.43
07/17/2024,$165.83,6033756,$180.20,$180.20,$162.90
07/16/2024,$182.74,1789742,$178.78,$183.89,$178.18
07/15/2024,$177.44,3026614,$180.24,$181.8099,$176.50
07/12/2024,$180.45,1603909,$177.95,$184.331,$174.40
07/11/2024,$176.70,2574654,$181.00,$183.16,$176.55
07/10/2024,$179.73,1835670,$174.93,$179.80,$174.60
07/09/2024,$172.98,1801065,$174.28,$174.83,$172.60
07/08/2024,$174.37,1659343,$176.81,$178.60,$174.17
07/05/2024,$176.23,1629585,$171.50,$177.44,$171.26
07/03/2024,$172.68,1317151,$170.10,$174.78,$169.18
07/02/2024,$169.81,2447440,$165.41,$171.98,$165.41
07/01/2024,$167.52,2748335,$171.00,$171.20,$165.12
06/28/2024,$171.51,3783554,$174.80,$176.30,$167.175
06/27/2024,$176.28,2541263,$178.39,$179.2729,$173.25
06/26/2024,$180.00,2283955,$180.89,$181.725,$177.62
06/25/2024,$181.45,2554030,$179.80,$181.50,$176.27
06/24/2024,$178.14,2552892,$176.55,$179.15,$174.77
06/21/2024,$175.73,3876954,$177.10,$177.18,$170.40
06/20/2024,$177.18,4005304,$178.47,$185.50,$175.095
06/18/2024,$179.57,3364919,$167.94,$180.25,$166.33
06/17/2024,$168.76,2804196,$169.75,$171.88,$166.15
06/14/2024,$170.17,3128342,$174.09,$174.78,$166.20
06/13/2024,$176.17,3462158,$179.80,$181.96,$172.84
06/12/2024,$177.52,4016501,$171.54,$179.22,$171.155
06/11/2024,$168.23,2036122,$165.50,$168.54,$163.30
06/10/2024,$166.64,4224304,$161.22,$170.00,$160.5984
06/07/2024,$162.08,4850297,$159.50,$165.76,$159.04
06/06/2024,$160.31,5249018,$163.25,$164.13,$155.50
06/05/2024,$163.49,8005543,$165.09,$168.30,$162.47
06/04/2024,$163.04,5279783,$168.35,$169.41,$161.33
06/03/2024,$170.37,3434765,$178.93,$179.00,$166.44
05/31/2024,$175.90,5454904,$177.10,$179.765,$165.40
05/30/2024,$175.08,2043133,$176.97,$177.81,$174.50
05/29/2024,$177.32,1537710,$176.00,$178.69,$174.0962
05/28/2024,$178.09,2632749,$178.34,$182.78,$176.78
05/24/2024,$177.43,4294052,$162.81,$177.7695,$162.09
05/23/2024,$161.67,3139003,$166.42,$170.00,$161.44
05/22/2024,$163.85,2018868,$164.29,$167.36,$163.00
05/21/2024,$163.93,1945469,$160.24,$164.49,$159.07
05/20/2024,$160.95,1736122,$163.06,$164.30,$160.21
05/17/2024,$162.62,1937153,$166.88,$167.64,$160.94
05/16/2024,$166.40,1604395,$168.03,$170.00,$166.35
05/15/2024,$167.87,2572025,$168.36,$172.35,$166.956
05/14/2024,$165.63,3855420,$160.69,$166.555,$158.86
05/13/2024,$161.53,4413798,$165.00,$167.55,$160.18
05/10/2024,$167.27,3459622,$169.00,$170.80,$165.99
05/09/2024,$166.40,4022569,$165.00,$168.72,$164.65
05/08/2024,$164.00,3679684,$167.00,$167.01,$163.225
05/07/2024,$167.36,2884150,$168.66,$173.50,$167.165
05/06/2024,$169.14,4007044,$167.16,$171.17,$164.51
05/03/2024,$166.26,4635134,$155.63,$167.17,$155.14
05/02/2024,$153.83,2530741,$153.53,$155.44,$151.6589
05/01/2024,$151.67,3397459,$154.19,$156.70,$149.4207
04/30/2024,$153.71,3490075,$158.14,$163.10,$152.25
04/29/2024,$159.01,5937215,$153.58,$159.55,$153.58
04/26/2024,$153.07,4230515,$153.64,$157.25,$150.20
04/25/2024,$148.31,6069264,$143.00,$152.14,$138.6725
04/24/2024,$146.18,4684613,$147.00,$149.90,$144.35
04/23/2024,$147.83,4682814,$138.46,$148.35,$137.87
04/22/2024,$136.69,2435104,$135.52,$137.14,$132.11
04/19/2024,$135.10,4518763,$137.25,$140.59,$134.905
04/18/2024,$137.22,5022268,$138.15,$138.41,$135.43
04/17/2024,$134.75,6154554,$132.04,$138.18,$131.25
04/16/2024,$130.07,5870930,$132.50,$133.05,$128.25
04/15/2024,$131.75,3724891,$134.60,$135.32,$129.85
04/12/2024,$134.00,3765246,$135.00,$138.11,$133.555
04/11/2024,$136.57,5326943,$139.20,$139.32,$136.41
04/10/2024,$138.37,8376809,$129.50,$139.93,$128.94
04/09/2024,$132.17,9143523,$130.87,$133.60,$128.25
04/08/2024,$129.96,12195040,$126.13,$131.95,$125.86
04/05/2024,$122.70,16054790,$125.50,$128.18,$119.00
04/04/2024,$126.06,14207740,$136.00,$139.35,$125.26
04/03/2024,$137.34,8866864,$142.30,$144.00,$135.80
04/02/2024,$140.00,18246120,$142.85,$152.48,$138.64
04/01/2024,$142.02,1029489,$141.01,$144.33,$137.07
03/28/2024,$136.75,2239055,$137.93,$137.93,$129.96
03/27/2024,$131.25,4960410,$115.00,$135.00,$115.00
