Date,Close/Last,Volume,Open,High,Low
09/06/2024,$139.61,652783,$145.33,$146.38,$138.89
09/05/2024,$145.26,645585,$146.36,$146.7825,$143.1235
09/04/2024,$146.83,599521,$146.71,$148.51,$145.52
09/03/2024,$147.03,648893,$155.36,$155.36,$146.15
08/30/2024,$156.53,466881,$155.82,$157.62,$153.25
08/29/2024,$155.00,481053,$155.00,$157.64,$153.71
08/28/2024,$153.66,447864,$156.06,$156.08,$152.50
08/27/2024,$156.06,466587,$156.37,$156.815,$153.81
08/26/2024,$157.71,586565,$157.45,$158.27,$155.66
08/23/2024,$156.85,497878,$151.76,$157.14,$151.76
08/22/2024,$150.31,632707,$152.55,$153.905,$149.16
08/21/2024,$152.55,582605,$152.97,$154.50,$151.55
08/20/2024,$152.06,587770,$155.14,$156.47,$152.016
08/19/2024,$155.10,729746,$151.00,$155.13,$151.00
08/16/2024,$150.62,914144,$149.10,$151.06,$148.075
08/15/2024,$149.04,785890,$146.17,$149.24,$146.17
08/14/2024,$144.46,578613,$144.47,$145.415,$141.838
08/13/2024,$143.85,775325,$143.78,$145.45,$141.62
08/12/2024,$143.22,757105,$144.23,$144.23,$141.09
08/09/2024,$144.33,897357,$142.13,$145.065,$141.57
08/08/2024,$141.53,1100931,$138.08,$142.06,$136.07
08/07/2024,$137.05,930904,$141.27,$142.95,$136.965
08/06/2024,$139.64,990953,$142.30,$143.9199,$139.29
08/05/2024,$142.29,1388494,$137.00,$148.19,$134.01
08/02/2024,$142.87,1501281,$143.10,$144.19,$137.25
08/01/2024,$145.50,1527612,$155.98,$156.43,$144.12
07/31/2024,$155.68,2283171,$169.57,$169.57,$151.1501
07/30/2024,$155.57,854248,$155.99,$157.23,$153.55
07/29/2024,$155.42,725219,$159.52,$160.359,$154.24
07/26/2024,$159.43,798316,$156.33,$160.14,$154.40
07/25/2024,$152.78,579522,$151.16,$156.75,$150.61
07/24/2024,$152.06,1075837,$157.09,$158.43,$151.68
07/23/2024,$158.02,754516,$159.57,$161.80,$157.89
07/22/2024,$159.78,604408,$159.17,$160.485,$155.98
07/19/2024,$156.49,725469,$157.11,$158.8638,$154.64
07/18/2024,$156.97,1015646,$158.26,$161.03,$156.18
07/17/2024,$158.12,898822,$158.21,$159.59,$155.24
07/16/2024,$159.23,1236250,$157.27,$160.8999,$154.72
07/15/2024,$154.82,1125415,$153.49,$157.50,$150.255
07/12/2024,$153.94,1490384,$150.00,$156.46,$149.49
07/11/2024,$148.45,982367,$145.70,$148.53,$144.24
07/10/2024,$142.12,1135171,$140.95,$142.75,$137.6901
07/09/2024,$142.85,674161,$142.25,$143.88,$139.93
07/08/2024,$142.19,747035,$141.00,$143.319,$140.185
07/05/2024,$140.50,726893,$138.28,$140.71,$136.725
07/03/2024,$138.03,401100,$137.24,$138.87,$135.225
07/02/2024,$137.30,972006,$133.86,$138.08,$133.3763
07/01/2024,$133.16,811909,$133.39,$134.9709,$132.64
06/28/2024,$132.22,1714199,$136.09,$137.64,$131.66
06/27/2024,$135.93,480280,$135.03,$136.08,$133.43
06/26/2024,$134.66,689716,$135.51,$136.31,$132.76
06/25/2024,$136.19,782639,$137.86,$139.38,$135.75
06/24/2024,$138.41,630529,$137.30,$140.30,$136.98
06/21/2024,$137.00,1093001,$137.14,$137.70,$134.60
06/20/2024,$137.59,588770,$137.95,$139.60,$135.16
06/18/2024,$138.88,661259,$135.01,$139.26,$134.36
06/17/2024,$135.91,713685,$134.77,$136.29,$130.70
06/14/2024,$134.97,685789,$134.03,$135.05,$131.69
06/13/2024,$136.16,1025759,$141.45,$142.53,$133.811
06/12/2024,$142.70,585463,$143.31,$145.6914,$142.225
06/11/2024,$139.29,529312,$139.59,$141.50,$138.33
06/10/2024,$140.66,604530,$137.45,$141.68,$137.30
06/07/2024,$138.25,532619,$138.11,$140.91,$136.82
06/06/2024,$140.03,484945,$139.94,$142.11,$139.60
06/05/2024,$141.04,733667,$137.71,$144.34,$137.66
06/04/2024,$139.43,682138,$141.29,$142.96,$138.30
06/03/2024,$141.37,1107883,$148.98,$148.99,$139.75
05/31/2024,$147.21,772814,$149.50,$150.805,$144.00
05/30/2024,$149.61,814754,$147.22,$149.74,$144.11
05/29/2024,$149.49,1349944,$148.98,$151.695,$147.4401
05/28/2024,$151.26,1058648,$149.32,$151.47,$147.50
05/24/2024,$148.66,873086,$145.11,$150.18,$145.11
05/23/2024,$144.14,1160496,$151.77,$152.255,$144.01
05/22/2024,$151.79,745691,$150.86,$155.35,$150.20
05/21/2024,$154.23,1069497,$150.18,$154.54,$150.18
05/20/2024,$151.22,1048224,$145.00,$151.30,$144.6101
05/17/2024,$144.77,718371,$143.72,$145.42,$143.335
05/16/2024,$143.00,560947,$144.77,$145.02,$141.905
05/15/2024,$145.10,892808,$145.52,$146.65,$143.43
05/14/2024,$143.08,887741,$141.49,$145.74,$141.49
05/13/2024,$140.07,661238,$138.47,$141.31,$138.20
05/10/2024,$137.52,484530,$140.22,$140.71,$136.45
05/09/2024,$139.16,551772,$137.00,$140.15,$136.84
05/08/2024,$137.16,743064,$135.29,$138.18,$134.09
05/07/2024,$136.42,899690,$136.10,$138.81,$135.73
05/06/2024,$136.30,850404,$134.69,$136.38,$133.025
05/03/2024,$133.38,1315710,$131.66,$134.9799,$131.01
05/02/2024,$128.66,1542124,$131.11,$132.54,$125.36
05/01/2024,$127.63,3335716,$139.95,$140.85,$125.57
04/30/2024,$135.96,1714902,$136.27,$139.85,$135.07
04/29/2024,$137.30,2112921,$140.65,$141.99,$137.08
04/26/2024,$140.12,1178988,$140.00,$143.30,$139.281
04/25/2024,$138.85,1481610,$135.29,$139.38,$133.89
04/24/2024,$137.18,770392,$136.41,$139.70,$135.3052
04/23/2024,$136.10,1450442,$134.17,$138.04,$133.84
04/22/2024,$134.12,1136085,$133.61,$135.24,$131.36
04/19/2024,$135.15,1839848,$132.98,$137.12,$132.06
04/18/2024,$133.47,1652884,$130.96,$135.26,$128.4601
04/17/2024,$130.25,1042045,$129.89,$130.77,$127.75
04/16/2024,$129.10,929551,$127.14,$130.07,$126.46
04/15/2024,$128.51,893423,$133.14,$133.305,$127.27
04/12/2024,$131.76,990436,$135.16,$136.765,$131.46
04/11/2024,$136.08,811288,$138.08,$138.08,$133.085
04/10/2024,$136.87,1038758,$135.19,$138.52,$134.05
04/09/2024,$140.22,1202998,$136.30,$140.34,$136.24
04/08/2024,$135.51,898358,$135.50,$137.43,$134.88
04/05/2024,$134.41,1098473,$132.55,$134.93,$130.8687
