Date,Close/Last,Volume,Open,High,Low
09/06/2024,$134.30,932280,$136.31,$137.79,$134.05
09/05/2024,$137.34,1620458,$141.38,$141.885,$135.01
09/04/2024,$141.20,742098,$143.34,$144.17,$139.35
09/03/2024,$143.19,739511,$142.99,$144.44,$141.53
08/30/2024,$143.26,821937,$142.77,$143.42,$141.545
08/29/2024,$142.28,476817,$143.34,$143.57,$141.77
08/28/2024,$142.51,755741,$142.85,$143.54,$141.89
08/27/2024,$142.71,649325,$142.90,$143.17,$142.08
08/26/2024,$143.00,798227,$143.25,$144.49,$141.83
08/23/2024,$142.21,525126,$142.41,$143.57,$141.58
08/22/2024,$141.36,497958,$142.98,$143.27,$140.82
08/21/2024,$143.66,828395,$140.58,$143.97,$139.99
08/20/2024,$139.53,582737,$138.52,$139.585,$138.22
08/19/2024,$138.68,583927,$139.25,$139.54,$138.15
08/16/2024,$138.86,624101,$138.85,$139.46,$138.28
08/15/2024,$138.56,588557,$138.92,$139.95,$137.99
08/14/2024,$137.19,451698,$137.06,$137.55,$136.64
08/13/2024,$136.85,463521,$136.01,$137.21,$135.26
08/12/2024,$135.63,856752,$137.28,$137.49,$135.31
08/09/2024,$137.18,513604,$138.36,$138.4894,$136.38
08/08/2024,$138.49,744180,$137.68,$139.46,$137.25
08/07/2024,$137.23,809356,$140.79,$141.92,$137.06
08/06/2024,$140.04,804827,$138.35,$141.77,$138.16
08/05/2024,$138.35,1062233,$141.87,$141.87,$137.18
08/02/2024,$142.52,1062186,$143.37,$143.37,$140.60
08/01/2024,$143.48,1113835,$147.62,$149.22,$142.40
07/31/2024,$147.11,2488139,$147.38,$148.88,$145.85
07/30/2024,$147.09,939595,$143.69,$147.38,$143.67
07/29/2024,$142.79,810073,$141.41,$143.385,$140.77
07/26/2024,$141.97,988185,$138.50,$143.57,$138.305
07/25/2024,$137.97,1072489,$135.53,$140.67,$135.48
07/24/2024,$135.74,1269863,$137.04,$137.08,$134.71
07/23/2024,$137.21,2069323,$136.00,$139.27,$134.39
07/22/2024,$138.37,1245408,$138.83,$139.265,$137.13
07/19/2024,$138.26,3266040,$140.62,$140.95,$137.43
07/18/2024,$140.26,965856,$143.00,$144.31,$140.185
07/17/2024,$144.06,927863,$141.49,$144.16,$141.26
07/16/2024,$141.72,1392911,$141.99,$143.20,$140.66
07/15/2024,$141.23,1402665,$137.61,$142.15,$137.37
07/12/2024,$138.29,1017683,$137.80,$139.04,$136.44
07/11/2024,$136.51,1163524,$133.07,$136.58,$133.07
07/10/2024,$132.48,757837,$131.56,$132.54,$130.62
07/09/2024,$131.04,924354,$132.63,$132.88,$130.82
07/08/2024,$132.88,838810,$132.98,$133.93,$132.18
07/05/2024,$132.45,1439443,$132.80,$133.10,$130.70
07/03/2024,$133.38,645170,$134.93,$135.63,$132.35
07/02/2024,$135.98,1025486,$133.65,$136.34,$133.38
07/01/2024,$133.85,1224564,$138.32,$138.73,$133.81
06/28/2024,$138.32,1300635,$136.89,$138.68,$136.58
06/27/2024,$137.40,872286,$138.07,$138.545,$136.13
06/26/2024,$138.07,603110,$138.16,$138.552,$137.17
06/25/2024,$139.10,641555,$141.59,$141.59,$138.92
06/24/2024,$142.05,640463,$141.69,$142.96,$141.48
06/21/2024,$141.43,1589464,$141.37,$141.90,$140.57
06/20/2024,$141.42,806757,$139.07,$142.13,$139.07
06/18/2024,$139.34,777339,$139.93,$141.48,$139.31
06/17/2024,$139.90,975735,$136.70,$140.20,$136.45
06/14/2024,$136.70,1159285,$138.74,$138.80,$134.8495
06/13/2024,$140.91,1033576,$142.00,$142.39,$139.52
06/12/2024,$142.79,598910,$143.28,$143.6083,$142.22
06/11/2024,$142.04,767531,$142.15,$142.30,$140.89
06/10/2024,$142.47,813042,$144.64,$144.845,$141.51
06/07/2024,$145.19,916585,$143.04,$146.335,$142.60
06/06/2024,$144.61,818686,$142.99,$144.64,$142.865
06/05/2024,$142.99,696655,$144.92,$145.16,$142.60
06/04/2024,$144.77,860605,$143.52,$144.78,$143.52
06/03/2024,$144.11,812384,$144.94,$145.45,$142.93
05/31/2024,$144.14,1500320,$140.71,$144.43,$140.48
05/30/2024,$140.68,651649,$139.68,$141.10,$139.32
05/29/2024,$139.24,815241,$140.47,$141.555,$139.15
05/28/2024,$141.77,709605,$144.96,$145.75,$141.62
05/24/2024,$145.22,468616,$146.28,$146.6699,$144.93
05/23/2024,$145.65,731119,$149.01,$149.01,$145.56
05/22/2024,$149.59,895122,$151.16,$151.97,$149.01
05/21/2024,$151.51,845189,$151.83,$152.12,$150.13
05/20/2024,$151.93,561799,$152.84,$153.44,$151.76
05/17/2024,$152.89,581812,$154.84,$154.84,$152.20
05/16/2024,$154.10,602327,$154.74,$155.215,$153.575
05/15/2024,$155.01,557504,$156.00,$157.17,$154.63
05/14/2024,$155.58,678786,$158.65,$158.65,$154.93
05/13/2024,$157.53,876963,$155.82,$157.61,$155.635
05/10/2024,$155.27,753486,$155.98,$155.98,$154.08
05/09/2024,$155.34,704339,$154.84,$155.64,$154.35
05/08/2024,$154.35,928733,$154.04,$155.00,$153.52
05/07/2024,$154.92,1181664,$157.22,$157.75,$154.85
05/06/2024,$156.69,913789,$158.70,$159.77,$155.44
05/03/2024,$157.41,670520,$157.08,$158.29,$157.00
05/02/2024,$156.32,752562,$157.73,$157.73,$155.99
05/01/2024,$156.77,838678,$156.87,$159.15,$156.28
04/30/2024,$157.21,1558983,$160.34,$160.37,$156.915
04/29/2024,$161.37,1055693,$160.49,$162.06,$160.49
04/26/2024,$159.93,1003681,$160.62,$162.14,$159.82
04/25/2024,$161.07,1452078,$161.11,$161.60,$158.95
04/24/2024,$161.80,1161661,$163.07,$163.73,$161.22
04/23/2024,$163.38,1113160,$162.61,$163.86,$160.92
04/22/2024,$163.09,1447214,$162.81,$163.54,$160.95
04/19/2024,$162.39,3396404,$161.00,$162.93,$160.26
04/18/2024,$160.23,3914741,$155.88,$164.45,$155.88
04/17/2024,$144.07,1763211,$145.31,$145.85,$143.71
04/16/2024,$144.55,1100381,$144.67,$145.88,$144.30
04/15/2024,$144.75,1177596,$147.53,$147.81,$144.30
04/12/2024,$145.38,924762,$144.87,$145.99,$144.48
04/11/2024,$146.11,884036,$148.57,$149.12,$145.61
04/10/2024,$148.28,738451,$148.92,$149.57,$147.84
04/09/2024,$150.49,610191,$150.56,$151.425,$148.96
04/08/2024,$150.41,582331,$150.32,$151.345,$150.23
04/05/2024,$149.99,613198,$149.23,$150.58,$148.97
04/04/2024,$148.85,806577,$154.06,$154.06,$148.79
04/03/2024,$153.12,703009,$153.42,$154.355,$152.81
04/02/2024,$153.79,847222,$154.45,$155.48,$153.23
04/01/2024,$154.28,733388,$154.84,$155.62,$153.42
03/28/2024,$154.93,954290,$155.48,$155.91,$154.54
03/27/2024,$155.19,754901,$153.21,$155.26,$152.95
03/26/2024,$152.53,945952,$153.56,$153.78,$152.06
03/25/2024,$153.61,844716,$155.88,$156.04,$153.46
03/22/2024,$155.88,588695,$157.45,$157.77,$155.74
03/21/2024,$157.38,624069,$155.63,$157.70,$155.3395
03/20/2024,$155.31,895003,$155.54,$155.815,$154.19
03/19/2024,$155.07,804440,$153.77,$155.27,$153.535
03/18/2024,$153.47,988580,$154.01,$154.94,$153.25
03/15/2024,$153.66,1693630,$151.06,$154.79,$151.06
03/14/2024,$151.87,829240,$153.50,$153.67,$151.465
03/13/2024,$153.49,1200176,$154.48,$154.91,$153.42
03/12/2024,$154.01,870517,$152.90,$154.40,$152.18
03/11/2024,$152.45,1279965,$151.15,$152.58,$150.86
03/08/2024,$150.96,1021346,$150.64,$151.36,$150.06
03/07/2024,$150.82,1080811,$150.84,$152.62,$150.474
03/06/2024,$149.83,776001,$150.70,$151.39,$149.49
03/05/2024,$149.94,1079496,$149.93,$151.085,$149.14
03/04/2024,$149.97,820721,$149.30,$150.59,$149.21
03/01/2024,$149.21,1141023,$148.84,$149.49,$147.79
02/29/2024,$149.26,2080740,$151.40,$151.74,$148.615
02/28/2024,$151.75,1154695,$151.05,$152.6376,$150.92
02/27/2024,$150.57,820766,$149.58,$150.84,$148.85
02/26/2024,$148.42,1051662,$148.83,$149.57,$148.245
02/23/2024,$147.88,1332346,$146.28,$148.10,$146.10
02/22/2024,$146.12,1125151,$144.67,$146.69,$144.09
02/21/2024,$144.46,1426932,$144.63,$145.975,$143.30
02/20/2024,$144.28,1146869,$142.11,$145.00,$141.22
02/16/2024,$142.93,1161509,$143.09,$144.50,$142.64
02/15/2024,$143.71,2619876,$135.00,$143.90,$135.00
02/14/2024,$144.04,1481662,$143.04,$144.155,$142.32
02/13/2024,$142.41,1218437,$143.01,$143.60,$141.77
02/12/2024,$145.14,1113429,$143.54,$145.88,$143.435
02/09/2024,$143.18,867127,$142.35,$143.21,$141.43
02/08/2024,$142.31,1255262,$141.31,$142.36,$141.20
02/07/2024,$142.78,963027,$141.74,$142.93,$141.24
02/06/2024,$141.32,846121,$139.19,$141.38,$138.91
02/05/2024,$140.14,880377,$141.08,$142.055,$139.39
02/02/2024,$142.38,945797,$142.35,$143.62,$140.95
02/01/2024,$142.67,804582,$140.34,$142.69,$139.37
01/31/2024,$140.23,1154526,$143.88,$144.22,$139.70
01/30/2024,$143.25,719795,$142.55,$143.44,$141.60
01/29/2024,$142.74,710564,$142.90,$143.68,$141.71
01/26/2024,$142.63,648578,$143.37,$143.37,$142.45
01/25/2024,$142.52,640825,$142.52,$143.005,$141.61
01/24/2024,$141.67,701416,$143.53,$143.57,$141.22
01/23/2024,$143.02,910348,$144.38,$144.9299,$142.22
01/22/2024,$143.57,977176,$142.05,$144.0685,$141.94
01/19/2024,$142.09,1268073,$139.85,$143.32,$139.27
01/18/2024,$139.45,760947,$137.78,$139.865,$137.34
01/17/2024,$137.98,734221,$139.11,$140.11,$137.035
01/16/2024,$139.80,987979,$138.47,$139.83,$138.24
01/12/2024,$138.80,699520,$139.33,$140.29,$138.3497
01/11/2024,$138.43,904518,$137.73,$138.61,$136.50
01/10/2024,$137.67,787382,$137.54,$138.4713,$137.1227
01/09/2024,$137.20,912921,$137.51,$138.82,$136.31
01/08/2024,$138.46,866006,$136.90,$138.47,$136.005
01/05/2024,$136.62,818526,$135.34,$137.72,$135.20
01/04/2024,$136.16,984372,$135.20,$136.97,$135.00
01/03/2024,$136.15,1145498,$137.60,$138.82,$135.85
01/02/2024,$138.09,790597,$138.20,$140.73,$137.76
12/29/2023,$138.50,705830,$138.11,$138.858,$137.64
12/28/2023,$138.39,602965,$138.57,$138.70,$137.51
12/27/2023,$138.77,519977,$138.76,$139.58,$138.09
12/26/2023,$138.62,484386,$138.99,$139.48,$137.98
12/22/2023,$138.98,452413,$138.43,$139.92,$138.0279
12/21/2023,$138.47,759376,$138.26,$138.765,$137.06
12/20/2023,$136.85,793214,$138.38,$139.63,$136.79
12/19/2023,$138.95,906207,$139.94,$140.4841,$138.40
12/18/2023,$139.61,853889,$138.65,$139.83,$137.86
12/15/2023,$138.39,2662208,$138.96,$140.04,$137.30
12/14/2023,$139.87,1259101,$139.00,$141.57,$138.49
12/13/2023,$137.61,1008380,$136.17,$137.92,$135.06
12/12/2023,$135.63,711722,$135.44,$135.65,$134.56
12/11/2023,$135.60,1055005,$134.49,$135.97,$134.20
12/08/2023,$132.98,1188424,$134.80,$135.48,$132.80
12/07/2023,$134.28,1018690,$135.94,$136.27,$134.28
12/06/2023,$136.50,1058126,$134.99,$137.25,$134.50
12/05/2023,$134.03,1325033,$136.77,$136.77,$133.8101
12/04/2023,$137.32,2150829,$134.21,$137.63,$134.21
12/01/2023,$134.70,1423334,$133.48,$135.25,$132.545
11/30/2023,$132.78,1837217,$133.68,$134.00,$131.78
11/29/2023,$133.86,786558,$134.52,$135.37,$133.68
11/28/2023,$134.36,934969,$135.40,$135.62,$134.15
11/27/2023,$135.06,984731,$137.00,$137.00,$135.06
11/24/2023,$137.40,407735,$137.77,$138.4076,$137.40
11/22/2023,$137.77,879155,$138.20,$138.24,$136.83
11/21/2023,$137.47,648867,$136.86,$138.20,$136.75
11/20/2023,$137.35,709522,$137.27,$137.928,$136.00
11/17/2023,$137.41,1481413,$138.55,$138.94,$136.78
11/16/2023,$137.47,1042072,$137.07,$138.30,$136.59
11/15/2023,$137.87,792052,$138.59,$139.53,$137.60
11/14/2023,$138.26,952210,$137.45,$138.77,$137.45
11/13/2023,$135.39,767495,$135.45,$136.115,$134.39
11/10/2023,$136.16,735627,$135.39,$136.54,$134.54
11/09/2023,$135.04,874768,$135.11,$135.76,$134.43
11/08/2023,$134.46,1025764,$135.55,$135.59,$134.01
11/07/2023,$135.54,1016636,$133.74,$135.67,$133.30
11/06/2023,$133.68,940035,$133.79,$134.45,$132.9522
11/03/2023,$134.02,842410,$132.63,$134.57,$132.483
11/02/2023,$130.69,1251009,$129.58,$130.835,$127.92
11/01/2023,$128.78,1051243,$128.83,$129.20,$127.645
10/31/2023,$128.86,2163369,$127.68,$129.47,$127.44
10/30/2023,$127.52,973119,$127.58,$128.51,$126.35
10/27/2023,$127.12,889248,$128.97,$129.485,$126.54
10/26/2023,$128.93,1260758,$128.67,$129.64,$127.45
10/25/2023,$128.43,973957,$128.66,$129.75,$127.64
10/24/2023,$128.79,1429099,$129.26,$129.88,$128.27
10/23/2023,$128.26,1770653,$128.23,$129.65,$126.85
10/20/2023,$128.63,1873028,$130.60,$133.35,$128.39
10/19/2023,$130.12,2671280,$142.28,$143.84,$129.91
10/18/2023,$148.73,910680,$149.60,$150.32,$148.36
10/17/2023,$150.21,813825,$148.97,$150.91,$148.39
10/16/2023,$149.69,986524,$148.59,$150.38,$148.385
10/13/2023,$147.04,769254,$147.79,$148.4593,$146.03
10/12/2023,$147.28,1092699,$146.67,$148.35,$145.57
10/11/2023,$146.77,871434,$147.91,$148.225,$145.935
10/10/2023,$147.64,1080215,$147.17,$148.59,$146.85
10/09/2023,$146.69,1231117,$144.42,$147.085,$144.15
10/06/2023,$144.06,810421,$142.33,$145.00,$141.725
10/05/2023,$142.69,691713,$143.14,$143.85,$142.1468
10/04/2023,$143.01,999180,$140.81,$143.53,$140.18
10/03/2023,$140.57,1419478,$144.96,$144.96,$139.665
10/02/2023,$145.18,1329019,$143.60,$146.14,$142.91
09/29/2023,$144.38,994022,$144.76,$145.60,$143.875
09/28/2023,$143.26,1018906,$142.44,$143.44,$141.58
09/27/2023,$142.31,1074589,$143.75,$144.00,$141.67
09/26/2023,$143.00,850278,$146.23,$146.62,$142.85
09/25/2023,$146.99,732896,$146.10,$147.925,$146.10
09/22/2023,$146.35,569793,$145.48,$147.30,$145.36
09/21/2023,$145.64,780544,$148.57,$148.63,$145.61
09/20/2023,$149.26,796287,$149.14,$150.65,$148.295
09/19/2023,$148.54,797048,$147.48,$148.92,$146.45
09/18/2023,$148.07,483460,$148.70,$149.63,$147.92
09/15/2023,$148.83,932525,$150.30,$150.30,$148.7235
09/14/2023,$150.20,566270,$149.18,$150.28,$148.735
09/13/2023,$148.47,684768,$147.74,$149.15,$147.56
09/12/2023,$147.28,892603,$148.61,$148.63,$146.60
09/11/2023,$148.71,698071,$150.39,$150.69,$148.40
09/08/2023,$149.99,694037,$150.82,$151.26,$149.59
09/07/2023,$151.01,1055835,$150.60,$151.18,$149.43
09/06/2023,$151.78,824541,$151.75,$152.61,$151.00
09/05/2023,$152.34,892869,$154.51,$154.51,$151.875
09/01/2023,$155.08,575324,$154.80,$155.10,$153.73
08/31/2023,$153.73,996482,$155.83,$156.14,$153.67
08/30/2023,$155.73,517125,$154.72,$157.43,$154.53
08/29/2023,$155.00,780463,$153.51,$155.06,$152.5685
08/28/2023,$153.46,549386,$152.94,$154.52,$152.61
08/25/2023,$153.04,666193,$153.38,$154.25,$152.42
08/24/2023,$152.54,544754,$153.91,$154.7051,$152.45
08/23/2023,$154.36,630027,$152.98,$154.54,$152.98
08/22/2023,$153.12,542069,$153.64,$154.22,$152.75
08/21/2023,$153.88,776863,$154.68,$155.203,$152.85
08/18/2023,$154.87,646170,$153.25,$156.05,$153.25
08/17/2023,$154.31,565344,$156.61,$157.58,$154.27
08/16/2023,$156.45,898128,$155.66,$157.65,$155.505
08/15/2023,$154.78,862244,$156.89,$156.99,$154.64
08/14/2023,$157.14,1067322,$157.30,$157.89,$155.875
08/11/2023,$157.99,696512,$156.54,$158.60,$156.25
08/10/2023,$156.17,952632,$155.63,$158.02,$155.33
08/09/2023,$156.51,1213064,$155.56,$156.975,$155.05
08/08/2023,$155.37,1034108,$155.28,$155.96,$152.93
08/07/2023,$156.47,743398,$156.41,$157.19,$155.94
08/04/2023,$155.50,660834,$156.35,$157.50,$155.411
08/03/2023,$155.69,931349,$155.28,$156.52,$154.17
08/02/2023,$155.35,801001,$156.36,$157.00,$155.02
08/01/2023,$156.77,945312,$155.96,$157.07,$155.30
07/31/2023,$155.72,1703921,$156.94,$157.21,$154.73
07/28/2023,$156.33,669804,$156.87,$157.44,$155.575
07/27/2023,$155.81,1134786,$158.02,$158.25,$155.32
07/26/2023,$157.97,648410,$157.30,$158.565,$157.20
07/25/2023,$157.83,691902,$157.05,$158.25,$155.545
07/24/2023,$157.55,904292,$156.87,$157.91,$155.98
07/21/2023,$156.31,1485413,$155.00,$157.925,$153.875
07/20/2023,$155.17,2260762,$160.61,$161.28,$154.68
07/19/2023,$168.07,997573,$167.78,$168.84,$166.81
07/18/2023,$167.27,904978,$167.12,$168.51,$166.43
07/17/2023,$166.67,702737,$165.49,$167.305,$165.29
07/14/2023,$165.94,1160979,$164.57,$166.265,$164.01
07/13/2023,$164.77,999860,$168.64,$169.035,$164.73
07/12/2023,$169.75,755474,$169.99,$170.57,$168.55
07/11/2023,$168.74,673712,$167.48,$169.80,$167.00
07/10/2023,$166.88,708513,$165.42,$168.65,$165.255
07/07/2023,$165.42,925961,$164.68,$165.73,$164.43
07/06/2023,$165.07,892794,$166.12,$166.90,$163.83
07/05/2023,$166.97,796346,$167.84,$167.96,$166.335
07/03/2023,$167.99,631566,$168.51,$169.11,$167.13
06/30/2023,$169.23,823620,$167.17,$169.65,$166.01
06/29/2023,$166.06,543918,$165.05,$166.71,$164.475
06/28/2023,$165.14,776808,$165.11,$165.87,$163.78
06/27/2023,$164.95,925449,$163.30,$165.80,$163.05
06/26/2023,$162.65,890874,$160.07,$163.39,$160.07
06/23/2023,$159.67,1330159,$161.22,$161.22,$158.58
06/22/2023,$161.49,592309,$161.615,$162.45,$160.37
06/21/2023,$161.47,794763,$158.68,$162.23,$158.52
06/20/2023,$159.59,913124,$161.04,$161.50,$158.25
06/16/2023,$161.47,1381978,$163.46,$163.64,$160.83
06/15/2023,$161.65,794347,$159.86,$162.05,$159.39
06/14/2023,$158.72,716910,$159.25,$160.60,$158.09
06/13/2023,$159.13,879661,$157.81,$159.38,$157.48
06/12/2023,$158.13,994821,$156.36,$158.305,$155.62
06/09/2023,$155.82,849512,$154.49,$156.615,$153.405
06/08/2023,$154.15,752106,$153.48,$154.21,$152.53
06/07/2023,$153.36,922601,$152.04,$153.58,$151.275
06/06/2023,$152.30,643628,$151.62,$153.53,$151.38
06/05/2023,$152.00,843556,$153.49,$153.36,$150.975
06/02/2023,$153.35,1020340,$149.86,$153.51,$149.4098
06/01/2023,$149.22,1276386,$150.35,$150.98,$147.915
05/31/2023,$148.93,2550922,$147.81,$150.18,$145.30
05/30/2023,$157.70,931513,$156.67,$157.85,$155.56
05/26/2023,$157.21,758903,$158.37,$158.5456,$156.92
05/25/2023,$158.55,676427,$157.88,$159.18,$156.83
05/24/2023,$158.32,552839,$161.28,$161.28,$158.22
05/23/2023,$160.47,600041,$161.51,$162.63,$160.20
05/22/2023,$163.17,763947,$165.19,$165.71,$162.425
05/19/2023,$164.77,689071,$164.89,$165.895,$163.79
05/18/2023,$164.78,620979,$166.11,$166.11,$163.08
05/17/2023,$166.36,617143,$165.95,$166.55,$165.1501
05/16/2023,$165.56,720853,$167.44,$167.44,$165.00
05/15/2023,$168.42,749786,$170.27,$170.68,$167.73
05/12/2023,$170.65,510842,$171.84,$172.71,$169.57
05/11/2023,$171.64,695103,$172.91,$173.78,$171.03
05/10/2023,$173.69,682827,$173.99,$174.91,$171.91
05/09/2023,$173.22,682269,$172.14,$173.27,$171.30
05/08/2023,$172.61,1045520,$173.45,$173.85,$171.36
05/05/2023,$173.73,821542,$171.96,$174.45,$171.765
05/04/2023,$171.31,1761747,$171.99,$172.94,$169.78
05/03/2023,$171.98,1407096,$172.49,$173.17,$171.60
05/02/2023,$170.96,1760394,$170.90,$171.58,$167.8625
05/01/2023,$170.92,965233,$168.69,$171.77,$168.69
04/28/2023,$168.31,766489,$167.57,$168.515,$166.89
04/27/2023,$167.61,983160,$163.52,$167.65,$163.45
04/26/2023,$163.42,663753,$164.00,$165.04,$163.05
04/25/2023,$165.14,703186,$166.85,$167.20,$164.89
04/24/2023,$167.20,653107,$166.48,$167.31,$166.045
04/21/2023,$166.52,934287,$170.01,$170.02,$166.24
04/20/2023,$168.62,1296481,$165.92,$170.02,$165.80
04/19/2023,$166.50,1038488,$166.56,$166.56,$165.32
