Date,Close/Last,Volume,Open,High,Low
09/06/2024,$180.17,627748,$180.91,$182.264,$179.2101
09/05/2024,$180.78,713762,$181.22,$181.62,$179.42
09/04/2024,$180.93,721294,$179.99,$181.45,$179.35
09/03/2024,$180.10,1209706,$183.09,$183.831,$178.59
08/30/2024,$183.29,1180210,$181.36,$183.88,$180.67
08/29/2024,$180.65,648141,$180.55,$183.2225,$179.76
08/28/2024,$180.08,498776,$180.70,$182.36,$179.06
08/27/2024,$180.65,353009,$179.73,$180.705,$178.6861
08/26/2024,$179.53,624431,$180.01,$181.26,$178.95
08/23/2024,$179.76,529626,$178.26,$180.40,$178.05
08/22/2024,$177.65,542857,$178.63,$179.59,$177.51
08/21/2024,$178.46,976419,$177.49,$179.00,$177.1149
08/20/2024,$176.48,528649,$176.12,$177.37,$175.60
08/19/2024,$175.91,612183,$172.59,$175.93,$172.59
08/16/2024,$172.06,728219,$170.95,$172.08,$170.48
08/15/2024,$170.82,727240,$171.30,$171.505,$169.84
08/14/2024,$170.00,531864,$169.66,$170.05,$168.22
08/13/2024,$169.66,538776,$168.35,$170.02,$167.19
08/12/2024,$168.56,834524,$167.42,$169.06,$165.885
08/09/2024,$167.42,524852,$167.01,$168.49,$166.63
08/08/2024,$167.12,571659,$162.35,$167.41,$161.45
08/07/2024,$162.35,838749,$165.43,$165.88,$161.555
08/06/2024,$164.71,860673,$161.64,$165.89,$160.81
08/05/2024,$161.63,1269817,$163.64,$164.00,$160.71
08/02/2024,$168.52,943885,$169.33,$170.29,$166.005
08/01/2024,$171.06,1159218,$171.93,$174.08,$169.87
07/31/2024,$171.25,1939270,$175.45,$177.19,$169.59
07/30/2024,$179.34,1211607,$178.43,$179.7599,$177.18
07/29/2024,$176.56,758536,$177.94,$178.16,$176.37
07/26/2024,$177.94,1059479,$174.54,$178.5094,$173.79
07/25/2024,$173.40,560707,$172.91,$175.24,$171.75
07/24/2024,$172.84,913004,$172.60,$174.45,$171.58
07/23/2024,$172.10,341092,$172.76,$172.98,$171.795
07/22/2024,$172.73,532479,$170.38,$172.81,$170.37
07/19/2024,$170.07,666690,$171.08,$171.775,$169.2017
07/18/2024,$171.08,826018,$172.50,$175.01,$170.187
07/17/2024,$173.00,611475,$173.74,$174.51,$172.58
