Date,Close/Last,Volume,Open,High,Low
09/06/2024,$66.50,1013626,$67.81,$68.27,$66.155
09/05/2024,$67.80,840208,$68.05,$68.135,$67.055
09/04/2024,$67.99,1103623,$67.33,$68.27,$67.26
09/03/2024,$67.26,1359143,$68.16,$68.30,$67.05
08/30/2024,$68.16,1240256,$68.19,$68.275,$67.22
08/29/2024,$68.03,1184178,$67.72,$68.83,$67.28
08/28/2024,$67.72,734557,$67.95,$68.02,$67.17
08/27/2024,$67.95,1214763,$67.98,$68.845,$67.50
08/26/2024,$68.51,949174,$68.29,$69.2299,$68.15
08/23/2024,$68.02,808288,$67.13,$68.07,$67.015
08/22/2024,$66.82,856659,$67.00,$67.37,$66.455
08/21/2024,$66.57,810070,$65.79,$66.58,$65.44
08/20/2024,$65.88,846839,$66.46,$66.46,$65.61
08/19/2024,$66.33,782356,$66.38,$66.57,$65.94
08/16/2024,$66.34,965033,$65.82,$66.645,$65.65
08/15/2024,$66.04,1364031,$65.37,$66.21,$65.37
08/14/2024,$64.62,977377,$64.22,$65.08,$64.22
08/13/2024,$64.07,876454,$63.27,$64.18,$63.21
08/12/2024,$63.09,993784,$64.09,$64.235,$62.685
08/09/2024,$64.27,1313199,$63.92,$64.445,$63.61
08/08/2024,$64.02,1093754,$63.35,$64.26,$63.21
08/07/2024,$63.10,798588,$64.37,$64.95,$63.03
08/06/2024,$63.70,1514621,$63.02,$64.74,$62.87
08/05/2024,$62.85,2182199,$62.07,$63.2842,$59.88
08/02/2024,$63.46,1630862,$64.12,$64.59,$62.6205
08/01/2024,$65.01,1200432,$64.35,$65.605,$64.21
07/31/2024,$64.46,2244267,$65.51,$66.01,$64.18
07/30/2024,$65.51,1625182,$64.90,$65.795,$64.38
07/29/2024,$64.70,1780318,$64.22,$64.9255,$63.22
07/26/2024,$63.85,2088409,$62.31,$63.89,$61.25
07/25/2024,$61.52,4099009,$64.45,$65.12,$60.52
07/24/2024,$59.42,2253652,$58.68,$59.98,$58.68
07/23/2024,$58.28,1314853,$59.39,$59.48,$58.14
07/22/2024,$59.85,3558436,$59.48,$61.33,$57.995
07/19/2024,$59.00,1253736,$60.05,$60.05,$58.52
07/18/2024,$60.26,1038673,$60.46,$61.62,$59.84
07/17/2024,$60.67,1754496,$61.98,$62.38,$60.54
07/16/2024,$62.12,2019591,$59.70,$62.14,$59.53
07/15/2024,$59.51,1222674,$60.00,$60.02,$59.00
07/12/2024,$59.74,1107926,$58.91,$60.27,$58.805
07/11/2024,$58.58,1239576,$57.45,$58.73,$57.42
07/10/2024,$57.15,909994,$56.77,$57.58,$56.63
07/09/2024,$56.54,1458593,$56.47,$57.39,$56.46
07/08/2024,$56.83,1122674,$56.67,$57.23,$56.56
07/05/2024,$56.59,1141847,$56.66,$56.79,$55.90
07/03/2024,$57.03,826410,$57.06,$57.46,$56.13
07/02/2024,$57.06,1091198,$57.25,$57.365,$56.12
07/01/2024,$57.52,1034878,$58.44,$58.61,$57.40
06/28/2024,$58.50,5116629,$58.46,$59.225,$58.07
06/27/2024,$58.16,1041051,$57.80,$58.30,$57.54
06/26/2024,$58.03,1444001,$59.18,$59.68,$57.83
06/25/2024,$59.40,1243071,$61.67,$61.755,$59.38
