Date,Close/Last,Volume,Open,High,Low
09/06/2024,$32.57,2687905,$32.06,$32.76,$32.00
09/05/2024,$32.11,4269610,$31.36,$32.25,$31.075
09/04/2024,$31.01,5813450,$29.85,$31.09,$29.21
09/03/2024,$33.14,3205832,$32.55,$33.16,$32.275
08/30/2024,$32.55,3679910,$32.21,$32.57,$32.13
08/29/2024,$32.19,1800372,$32.59,$32.71,$32.08
08/28/2024,$32.39,2172016,$32.21,$32.545,$32.10
08/27/2024,$32.21,1712467,$32.38,$32.395,$32.03
08/26/2024,$32.36,1832992,$32.00,$32.415,$31.90
08/23/2024,$31.88,2325931,$32.21,$32.43,$31.805
08/22/2024,$31.95,1652762,$32.50,$32.50,$31.80
08/21/2024,$32.44,1525449,$32.50,$32.68,$32.275
08/20/2024,$32.33,1624958,$32.59,$32.59,$32.16
08/19/2024,$32.68,1426500,$32.35,$32.71,$32.255
08/16/2024,$32.36,2223560,$31.95,$32.40,$31.85
08/15/2024,$32.02,2402471,$32.34,$32.49,$31.93
08/14/2024,$32.26,1829793,$32.14,$32.53,$32.065
08/13/2024,$31.80,2754374,$32.40,$32.46,$31.50
08/12/2024,$31.25,1531389,$31.98,$32.09,$31.20
08/09/2024,$32.03,1350064,$31.93,$32.10,$31.59
08/08/2024,$31.97,1461733,$31.80,$32.235,$31.68
08/07/2024,$31.97,1909135,$31.80,$32.275,$31.62
08/06/2024,$31.80,2804963,$32.15,$32.42,$31.77
08/05/2024,$32.10,2918283,$32.78,$33.14,$31.90
08/02/2024,$32.87,1633779,$32.75,$32.98,$32.08
08/01/2024,$32.46,1630811,$32.20,$32.56,$32.05
07/31/2024,$32.11,4401204,$32.02,$32.255,$31.89
07/30/2024,$32.02,2076500,$31.74,$32.11,$31.58
07/29/2024,$31.90,2012535,$31.93,$32.09,$31.74
07/26/2024,$32.01,1631995,$31.85,$32.10,$31.77
07/25/2024,$31.84,2360889,$31.68,$32.37,$31.60
07/24/2024,$31.51,1845112,$31.09,$31.575,$31.09
07/23/2024,$31.18,1619594,$31.40,$31.54,$31.075
07/22/2024,$31.34,1759583,$31.78,$31.84,$31.105
07/19/2024,$31.79,2235748,$32.34,$32.44,$31.63
07/18/2024,$32.23,1824084,$31.89,$32.65,$31.89
07/17/2024,$32.16,2918591,$31.49,$32.30,$31.40
07/16/2024,$31.36,2099712,$30.67,$31.41,$30.595
07/15/2024,$30.55,1789866,$30.79,$30.91,$30.53
07/12/2024,$30.97,2506427,$31.07,$31.27,$30.765
07/11/2024,$30.87,2580955,$30.47,$31.05,$30.42
07/10/2024,$30.41,1967342,$30.24,$30.46,$30.12
07/09/2024,$30.04,2522642,$30.12,$30.24,$30.005
07/08/2024,$30.15,1820711,$30.36,$30.38,$29.975
07/05/2024,$30.29,1649062,$30.23,$30.3055,$30.06
07/03/2024,$30.24,726986,$30.60,$30.64,$30.155
07/02/2024,$30.55,1786635,$30.49,$30.66,$30.35
07/01/2024,$30.43,2159510,$30.59,$30.74,$30.39
06/28/2024,$30.49,3256914,$30.18,$30.51,$30.075
06/27/2024,$30.22,1716741,$30.26,$30.32,$30.01
06/26/2024,$30.22,1892078,$30.26,$30.37,$30.13
06/25/2024,$30.37,2351099,$30.89,$31.03,$30.36
06/24/2024,$30.96,2435927,$30.64,$31.105,$30.6138
06/21/2024,$30.64,3818910,$30.62,$30.84,$30.40
06/20/2024,$30.48,1888452,$30.33,$30.7221,$30.26
06/18/2024,$30.37,2291213,$30.77,$30.90,$30.32
06/17/2024,$30.74,1929079,$30.37,$30.83,$30.265
06/14/2024,$30.48,2176972,$30.65,$30.74,$30.35
06/13/2024,$30.65,2240383,$30.50,$30.7591,$30.25
06/12/2024,$30.50,2068745,$30.81,$30.82,$30.4125
06/11/2024,$30.65,1771987,$30.44,$30.67,$30.35
06/10/2024,$30.58,2419161,$30.58,$30.64,$30.135
06/07/2024,$30.64,1877378,$30.66,$31.095,$30.52
06/06/2024,$30.88,2016541,$30.66,$31.045,$30.475
06/05/2024,$30.60,3118644,$30.65,$30.74,$30.41
06/04/2024,$30.74,2372711,$30.78,$31.09,$30.72
06/03/2024,$30.91,3097016,$31.04,$31.40,$30.57
05/31/2024,$30.98,9146837,$30.71,$31.335,$30.65
05/30/2024,$30.79,9432326,$33.68,$33.84,$30.51
05/29/2024,$34.10,3770869,$34.44,$34.545,$34.02
05/28/2024,$34.70,2640840,$34.99,$35.00,$34.325
05/24/2024,$35.11,2474877,$34.88,$35.245,$34.80
05/23/2024,$34.75,2290873,$35.25,$35.33,$34.7012
05/22/2024,$35.47,2329189,$35.96,$36.06,$35.3536
05/21/2024,$36.43,2337970,$36.77,$36.80,$36.18
05/20/2024,$36.77,3195571,$36.30,$36.86,$36.11
05/17/2024,$36.31,2887562,$36.09,$36.325,$35.89
05/16/2024,$36.09,2217383,$35.72,$36.28,$35.62
05/15/2024,$35.60,1704578,$35.83,$35.935,$35.47
05/14/2024,$35.78,1674020,$35.65,$35.98,$35.56
05/13/2024,$35.55,1671878,$35.63,$36.148,$35.49
05/10/2024,$35.63,1093891,$35.39,$35.71,$35.295
05/09/2024,$35.39,1044659,$35.23,$35.42,$34.86
05/08/2024,$35.12,1199963,$35.30,$35.35,$35.02
05/07/2024,$35.31,1575188,$34.99,$35.35,$34.85
05/06/2024,$34.80,2212238,$35.31,$35.33,$34.59
05/03/2024,$35.17,1627936,$35.50,$35.50,$34.8238
05/02/2024,$35.42,1668948,$35.36,$35.51,$35.10
05/01/2024,$35.25,1775379,$35.34,$35.54,$35.05
04/30/2024,$35.56,4486377,$35.38,$35.685,$35.11
04/29/2024,$35.42,1470174,$35.40,$35.58,$35.30
04/26/2024,$35.32,2088175,$35.17,$35.60,$35.10
