Date,Close/Last,Volume,Open,High,Low
09/06/2024,$16.73,9017177,$16.74,$16.89,$16.605
09/05/2024,$16.73,8545904,$16.90,$16.96,$16.61
09/04/2024,$16.93,9458009,$17.29,$17.56,$16.89
09/03/2024,$17.37,6736610,$17.62,$17.67,$17.25
08/30/2024,$17.70,9227457,$17.77,$18.07,$17.57
08/29/2024,$17.65,6854655,$17.335,$17.745,$17.25
08/28/2024,$17.24,6453058,$17.30,$17.30,$17.125
08/27/2024,$17.30,7685244,$17.29,$17.45,$17.16
08/26/2024,$17.34,8839308,$17.56,$17.605,$17.28
08/23/2024,$17.41,12255640,$17.14,$17.58,$17.095
08/22/2024,$17.09,12029900,$16.88,$17.35,$16.88
08/21/2024,$16.92,7845202,$16.64,$16.94,$16.48
08/20/2024,$16.52,6466740,$16.7701,$16.7701,$16.50
08/19/2024,$16.83,7258175,$16.46,$16.91,$16.405
08/16/2024,$16.45,7663398,$16.42,$16.47,$16.29
08/15/2024,$16.43,6576831,$16.40,$16.66,$16.325
08/14/2024,$16.16,6718248,$16.02,$16.275,$16.02
08/13/2024,$16.09,6232712,$16.12,$16.21,$15.9212
08/12/2024,$16.05,6563374,$16.31,$16.335,$15.9826
08/09/2024,$16.33,11370990,$16.21,$16.495,$16.06
08/08/2024,$16.23,9477217,$16.19,$16.39,$16.065
08/07/2024,$16.03,12711570,$16.42,$16.45,$16.01
08/06/2024,$16.27,8857528,$15.92,$16.40,$15.78
08/05/2024,$15.92,11569540,$15.81,$16.21,$15.71
08/02/2024,$16.20,16781800,$16.65,$16.73,$15.93
08/01/2024,$16.75,19591800,$16.80,$17.11,$16.68
07/31/2024,$17.51,14901440,$17.57,$17.70,$17.43
07/30/2024,$17.80,8358869,$17.71,$17.91,$17.69
07/29/2024,$17.70,7010574,$17.50,$17.89,$17.44
07/26/2024,$17.45,6411758,$17.32,$17.69,$17.26
07/25/2024,$17.19,6399326,$17.20,$17.53,$17.03
07/24/2024,$17.18,9876803,$17.89,$17.93,$17.135
07/23/2024,$17.93,5229419,$17.92,$18.29,$17.88
07/22/2024,$17.93,3806264,$17.86,$18.015,$17.69
07/19/2024,$17.86,6102125,$17.79,$17.995,$17.65
07/18/2024,$17.99,5291781,$18.72,$18.80,$17.9341
07/17/2024,$18.86,6873537,$18.46,$18.94,$18.43
07/16/2024,$18.56,7090480,$18.36,$18.675,$18.10
07/15/2024,$18.31,6153453,$18.24,$18.44,$18.18
07/12/2024,$18.18,6089305,$18.02,$18.235,$17.855
07/11/2024,$17.86,6603214,$18.23,$18.27,$17.755
07/10/2024,$17.88,6151146,$17.66,$17.91,$17.52
07/09/2024,$17.54,3493514,$17.57,$17.76,$17.475
07/08/2024,$17.69,5499555,$17.60,$17.75,$17.50
07/05/2024,$17.48,7368770,$17.61,$17.64,$17.385
07/03/2024,$17.68,2580640,$17.74,$17.78,$17.58
07/02/2024,$17.65,5385166,$17.675,$17.72,$17.53
07/01/2024,$17.63,4540303,$17.89,$18.02,$17.60
