Date,Close/Last,Volume,Open,High,Low
09/06/2024,$195.14,374645,$197.04,$199.47,$194.78
09/05/2024,$196.77,557920,$200.36,$200.69,$195.80
09/04/2024,$200.39,681902,$203.01,$203.12,$199.69
09/03/2024,$202.89,822783,$205.53,$206.2225,$202.07
08/30/2024,$206.48,501627,$205.97,$206.74,$203.86
08/29/2024,$205.18,362120,$205.09,$205.72,$203.40
08/28/2024,$203.18,459840,$203.50,$204.795,$202.27
08/27/2024,$203.59,561827,$203.69,$204.44,$202.72
08/26/2024,$203.96,293102,$205.01,$205.50,$202.83
08/23/2024,$203.90,332670,$200.71,$204.02,$199.83
08/22/2024,$199.47,608716,$202.41,$202.5577,$198.26
08/21/2024,$201.43,438344,$199.87,$201.765,$199.425
08/20/2024,$199.02,383195,$198.89,$199.99,$197.22
08/19/2024,$199.18,544444,$197.31,$200.05,$196.94
08/16/2024,$196.58,796502,$194.69,$197.385,$194.69
08/15/2024,$195.24,374936,$195.64,$196.655,$194.69
08/14/2024,$193.31,525846,$193.79,$194.29,$192.21
08/13/2024,$194.57,396349,$192.02,$194.78,$190.855
08/12/2024,$191.30,299941,$194.00,$194.39,$191.02
08/09/2024,$194.34,338170,$194.21,$194.76,$192.64
08/08/2024,$194.86,514460,$191.92,$195.18,$191.31
08/07/2024,$190.56,566720,$193.61,$196.21,$190.46
08/06/2024,$192.12,638496,$192.94,$198.26,$191.46
08/05/2024,$192.21,1027983,$192.04,$193.79,$189.51
08/02/2024,$194.12,786349,$194.09,$196.628,$192.12
08/01/2024,$196.29,988660,$205.49,$206.12,$193.33
07/31/2024,$208.48,464919,$208.61,$210.705,$207.55
07/30/2024,$208.07,352274,$207.61,$208.90,$205.11
07/29/2024,$206.22,446922,$206.63,$208.46,$205.22
07/26/2024,$206.46,278603,$204.42,$208.39,$203.22
07/25/2024,$203.08,614354,$199.76,$205.79,$198.30
07/24/2024,$198.71,665686,$202.81,$203.33,$198.36
07/23/2024,$203.90,426901,$206.36,$206.36,$203.46
07/22/2024,$205.22,566634,$204.84,$205.57,$201.48
07/19/2024,$202.97,388780,$206.68,$206.68,$202.08
07/18/2024,$206.20,409645,$208.78,$211.365,$206.18
07/17/2024,$210.50,561989,$210.37,$213.23,$209.56
07/16/2024,$210.81,555989,$207.71,$211.73,$207.71
07/15/2024,$206.69,497161,$204.42,$207.99,$204.40
07/12/2024,$204.46,377110,$204.72,$206.155,$204.11
07/11/2024,$203.48,608696,$199.83,$204.265,$199.83
07/10/2024,$198.44,386818,$195.25,$198.70,$194.72
07/09/2024,$195.24,262488,$195.01,$195.60,$194.20
07/08/2024,$195.64,395532,$196.01,$196.28,$193.7705
07/05/2024,$194.69,632774,$195.07,$195.07,$192.56
07/03/2024,$195.14,276098,$197.00,$197.19,$195.10
07/02/2024,$196.41,570424,$195.66,$196.715,$195.06
07/01/2024,$195.89,648186,$202.28,$202.28,$195.35
06/28/2024,$201.20,721160,$200.80,$203.34,$199.21
06/27/2024,$200.15,742548,$199.02,$200.22,$197.26
06/26/2024,$199.12,646160,$199.00,$200.66,$197.79
06/25/2024,$199.99,369708,$202.72,$203.17,$199.22
06/24/2024,$204.50,475161,$203.70,$206.49,$202.69
06/21/2024,$202.70,939466,$203.38,$204.54,$200.54
06/20/2024,$203.17,461740,$201.64,$204.80,$201.315
06/18/2024,$202.35,321865,$200.38,$202.40,$199.60
