Date,Close/Last,Volume,Open,High,Low
09/06/2024,$61.26,1785855,$63.20,$63.76,$61.19
09/05/2024,$62.96,2303935,$64.32,$64.85,$61.15
09/04/2024,$64.33,2071007,$66.42,$66.745,$64.13
09/03/2024,$66.31,1969857,$65.76,$67.09,$65.26
08/30/2024,$65.66,2548307,$65.91,$66.325,$64.99
08/29/2024,$65.91,1490621,$65.80,$67.48,$65.10
08/28/2024,$65.64,1321539,$65.52,$65.91,$65.32
08/27/2024,$65.63,1493198,$65.32,$65.70,$64.90
08/26/2024,$65.16,1981484,$64.26,$65.40,$63.9401
08/23/2024,$64.14,1566790,$63.52,$64.46,$63.05
08/22/2024,$63.02,1929862,$64.36,$64.36,$62.69
08/21/2024,$64.15,1765204,$64.42,$64.90,$64.04
08/20/2024,$64.38,2009978,$63.09,$64.78,$63.04
08/19/2024,$63.26,1407674,$62.23,$63.30,$62.06
08/16/2024,$62.16,1393247,$61.88,$62.47,$61.38
08/15/2024,$61.68,1312618,$61.79,$62.22,$61.32
08/14/2024,$61.18,1504180,$61.80,$61.99,$60.99
08/13/2024,$62.02,2608773,$61.16,$62.24,$60.95
08/12/2024,$61.12,1422933,$60.96,$61.71,$60.26
08/09/2024,$61.08,1301728,$61.39,$62.225,$60.83
08/08/2024,$61.78,2474080,$60.30,$62.03,$60.195
08/07/2024,$60.29,2015519,$61.55,$62.59,$60.20
08/06/2024,$61.27,2405923,$61.81,$62.42,$60.99
08/05/2024,$62.00,2359860,$63.35,$64.17,$61.95
08/02/2024,$64.47,1942001,$64.27,$65.15,$62.9661
08/01/2024,$64.42,2063610,$65.20,$65.68,$64.08
07/31/2024,$65.07,2837849,$67.83,$68.98,$64.81
07/30/2024,$67.79,4635370,$69.33,$69.33,$64.74
07/29/2024,$68.59,2779930,$68.51,$69.14,$68.02
07/26/2024,$68.61,2186078,$68.57,$69.85,$68.2405
07/25/2024,$68.57,2786176,$67.00,$70.36,$66.99
07/24/2024,$66.91,2956677,$66.01,$66.98,$65.62
07/23/2024,$65.80,1108143,$65.08,$66.12,$64.54
07/22/2024,$65.19,1239625,$66.09,$66.16,$64.30
07/19/2024,$65.87,1559059,$65.54,$66.10,$64.9821
07/18/2024,$65.37,2081323,$65.30,$66.78,$64.61
07/17/2024,$65.30,1810888,$63.96,$65.34,$63.50
07/16/2024,$64.00,1448801,$64.19,$64.50,$63.48
07/15/2024,$64.25,1577594,$63.49,$64.59,$63.26
07/12/2024,$63.66,1934890,$63.00,$63.93,$62.61
07/11/2024,$62.29,2268682,$60.84,$62.6325,$60.75
07/10/2024,$60.73,2525127,$60.96,$61.00,$59.74
07/09/2024,$60.70,2408353,$58.33,$60.91,$58.10
07/08/2024,$58.17,2669763,$57.36,$58.62,$57.17
07/05/2024,$57.33,2092546,$57.48,$57.58,$56.75
07/03/2024,$57.66,1472478,$59.12,$59.22,$57.58
07/02/2024,$59.02,3180651,$59.20,$60.48,$58.6315
07/01/2024,$60.87,2247348,$60.50,$61.99,$60.37
06/28/2024,$60.62,10984690,$61.54,$61.54,$60.07
06/27/2024,$61.35,1643346,$61.97,$62.13,$60.81
06/26/2024,$61.75,2384646,$63.01,$63.01,$61.59
06/25/2024,$63.10,1708686,$63.60,$63.73,$63.08
06/24/2024,$63.75,2614807,$63.37,$64.09,$62.78
06/21/2024,$63.22,9700687,$63.07,$63.81,$62.46
06/20/2024,$62.36,3374041,$61.27,$62.95,$61.19
06/18/2024,$61.44,5074164,$62.65,$64.30,$61.18
06/17/2024,$62.69,6287107,$61.76,$62.83,$61.48
06/14/2024,$62.11,4892041,$62.28,$63.08,$61.42
06/13/2024,$62.69,6474167,$59.98,$62.96,$59.96
06/12/2024,$59.94,6112135,$59.59,$60.66,$59.37
06/11/2024,$59.48,9175728,$59.41,$59.66,$57.97
06/10/2024,$59.40,10170970,$59.01,$59.48,$58.91
06/07/2024,$59.16,8706264,$58.14,$59.24,$58.02
06/06/2024,$58.41,7860251,$58.91,$59.27,$58.185
06/05/2024,$59.03,7494737,$58.60,$59.10,$57.95
06/04/2024,$58.57,6497868,$58.67,$59.32,$58.52
06/03/2024,$58.80,7764689,$57.56,$59.065,$57.56
05/31/2024,$57.79,5049814,$57.36,$57.98,$57.30
05/30/2024,$57.30,2254712,$57.05,$57.555,$56.80
05/29/2024,$56.92,4190473,$56.87,$57.30,$56.41
05/28/2024,$57.25,2276796,$57.25,$57.50,$56.62
05/24/2024,$57.31,1966856,$57.56,$57.78,$57.19
05/23/2024,$57.45,2205958,$57.87,$58.19,$57.28
05/22/2024,$58.20,2667116,$57.38,$58.38,$57.34
05/21/2024,$57.40,1826233,$57.11,$57.51,$56.93
05/20/2024,$57.19,1977879,$57.21,$57.37,$56.99
05/17/2024,$57.10,1618342,$56.83,$57.245,$56.40
05/16/2024,$56.86,3042675,$56.86,$57.38,$56.37
05/15/2024,$57.05,3395238,$57.43,$57.44,$56.775
05/14/2024,$57.05,2734988,$57.60,$58.11,$56.85
05/13/2024,$57.60,7237381,$57.00,$58.93,$56.62
05/10/2024,$53.06,1505329,$53.39,$53.6725,$52.81
05/09/2024,$53.50,1428455,$53.76,$53.94,$53.10
05/08/2024,$53.51,2208629,$54.37,$54.49,$53.23
05/07/2024,$54.37,1901286,$54.50,$54.92,$53.96
05/06/2024,$54.08,2016552,$53.79,$54.19,$53.45
05/03/2024,$53.76,1407391,$53.70,$53.87,$52.73
05/02/2024,$53.09,2020535,$53.02,$53.46,$52.28
05/01/2024,$52.94,3577694,$51.87,$53.98,$51.75
04/30/2024,$52.05,4773335,$50.40,$53.84,$50.3498
04/29/2024,$52.56,3081703,$51.75,$53.27,$51.71
04/26/2024,$51.68,1564403,$50.99,$51.85,$50.87
04/25/2024,$51.18,1771950,$51.58,$51.85,$50.3501
04/24/2024,$51.74,1564434,$51.65,$51.835,$51.14
04/23/2024,$51.65,2493676,$52.00,$52.2175,$51.39
04/22/2024,$51.92,1751676,$52.43,$52.62,$51.88
04/19/2024,$52.35,2181297,$52.97,$53.00,$52.00
04/18/2024,$52.82,1830343,$52.96,$53.15,$52.26
04/17/2024,$52.72,2525527,$53.22,$53.80,$52.70
04/16/2024,$53.22,1465377,$53.34,$54.09,$53.15
04/15/2024,$53.43,1574419,$53.91,$54.30,$53.41
04/12/2024,$53.85,1227465,$54.72,$55.03,$53.76
04/11/2024,$54.92,1580963,$55.34,$55.99,$54.63
04/10/2024,$55.00,1052587,$54.85,$55.25,$54.47
04/09/2024,$55.30,1483440,$55.20,$56.46,$55.19
04/08/2024,$55.05,1238969,$54.97,$55.42,$54.42
04/05/2024,$55.24,1603328,$54.84,$55.41,$54.26
04/04/2024,$54.99,1546103,$55.55,$55.855,$54.82
04/03/2024,$55.31,1909866,$55.84,$56.21,$55.00
04/02/2024,$55.83,2088947,$56.56,$57.1487,$55.79
04/01/2024,$56.64,1270495,$56.97,$57.00,$56.03
03/28/2024,$56.97,1883250,$57.25,$57.40,$56.61
03/27/2024,$57.12,1653642,$56.52,$57.35,$56.50
03/26/2024,$56.55,1805731,$57.53,$57.555,$56.51
03/25/2024,$57.48,1882931,$57.14,$57.59,$56.57
03/22/2024,$56.98,1192639,$57.98,$57.98,$56.96
03/21/2024,$57.72,1535769,$58.57,$59.03,$57.47
03/20/2024,$58.24,1714309,$58.03,$58.43,$57.49
03/19/2024,$58.33,2502861,$57.70,$58.44,$57.18
03/18/2024,$57.34,1811547,$58.75,$58.78,$57.30
03/15/2024,$58.37,4901969,$58.30,$58.755,$57.53
03/14/2024,$58.54,1230862,$58.75,$59.12,$58.0994
03/13/2024,$58.92,1335486,$59.35,$60.22,$58.60
03/12/2024,$59.33,1643796,$60.72,$60.90,$58.90
03/11/2024,$60.79,2193150,$60.15,$61.16,$59.70
03/08/2024,$60.02,1572361,$59.17,$60.17,$59.14
03/07/2024,$59.03,1581732,$59.49,$59.72,$58.33
03/06/2024,$59.26,1797523,$59.21,$59.70,$58.52
03/05/2024,$58.90,1876797,$59.96,$60.19,$58.07
03/04/2024,$59.72,1663282,$59.25,$59.775,$58.07
03/01/2024,$59.05,1574698,$58.70,$59.66,$58.37
02/29/2024,$58.36,3086977,$60.21,$60.21,$58.25
02/28/2024,$59.98,1118697,$60.77,$61.00,$59.91
02/27/2024,$61.00,1370002,$60.65,$61.48,$59.73
02/26/2024,$60.53,1246939,$60.33,$61.44,$60.10
02/23/2024,$60.59,1373232,$61.80,$61.865,$60.31
02/22/2024,$60.91,1701518,$60.33,$61.34,$59.46
02/21/2024,$60.33,1960923,$59.08,$60.46,$59.05
02/20/2024,$58.82,2167035,$57.79,$59.50,$57.62
02/16/2024,$57.96,1132034,$58.88,$59.105,$57.92
02/15/2024,$58.97,1436639,$58.09,$59.87,$57.89
02/14/2024,$57.89,2235715,$58.59,$60.20,$57.51
02/13/2024,$59.34,3494636,$60.04,$60.70,$57.83
02/12/2024,$57.84,2211796,$57.79,$58.43,$57.38
02/09/2024,$57.66,1761933,$57.37,$57.96,$57.09
02/08/2024,$57.36,1703754,$57.35,$57.72,$56.10
02/07/2024,$57.34,1368656,$59.24,$59.575,$57.34
02/06/2024,$59.63,2025638,$58.50,$59.94,$57.69
02/05/2024,$58.06,1248997,$58.00,$58.47,$57.63
02/02/2024,$58.35,1148076,$58.63,$59.27,$58.05
02/01/2024,$59.16,1402269,$58.52,$59.27,$58.03
01/31/2024,$58.77,1857899,$59.30,$59.475,$58.52
01/30/2024,$59.28,1865500,$60.50,$60.50,$59.15
01/29/2024,$60.47,1253053,$60.36,$60.84,$59.77
01/26/2024,$60.64,1030055,$61.32,$61.71,$60.30
01/25/2024,$60.92,1114651,$60.73,$61.32,$59.58
01/24/2024,$60.84,1317323,$62.05,$62.14,$60.78
01/23/2024,$61.87,1097543,$61.73,$62.19,$60.93
01/22/2024,$61.50,1117110,$61.805,$61.93,$60.61
01/19/2024,$61.49,1212269,$61.28,$61.67,$60.45
01/18/2024,$61.18,1139354,$61.30,$61.55,$60.27
01/17/2024,$61.48,1218629,$61.18,$61.84,$60.37
01/16/2024,$61.34,1410663,$62.59,$62.635,$61.22
01/12/2024,$62.74,1125245,$63.30,$63.88,$62.46
01/11/2024,$63.11,1780238,$63.58,$63.58,$62.70
01/10/2024,$64.14,1752808,$64.20,$65.18,$63.87
01/09/2024,$64.38,1951322,$65.82,$66.17,$63.45
01/08/2024,$65.82,2102088,$64.90,$65.84,$62.35
01/05/2024,$65.26,1942630,$66.32,$66.47,$65.18
01/04/2024,$66.59,2999495,$65.46,$67.365,$65.36
01/03/2024,$65.51,2586850,$65.45,$67.06,$65.13
01/02/2024,$65.45,1458807,$62.39,$65.49,$62.39
12/29/2023,$62.79,992852,$62.44,$63.07,$62.405
12/28/2023,$62.73,1115679,$62.90,$63.57,$62.59
12/27/2023,$62.68,1165912,$62.44,$62.79,$62.1311
12/26/2023,$62.55,1295805,$63.10,$63.225,$62.21
12/22/2023,$62.85,980135,$61.92,$63.41,$61.81
12/21/2023,$61.69,2092217,$61.15,$61.82,$60.91
12/20/2023,$60.76,1901517,$62.00,$62.19,$60.615
12/19/2023,$61.90,1790036,$60.97,$62.26,$60.64
12/18/2023,$60.62,2304081,$62.28,$62.32,$60.35
12/15/2023,$62.30,6206996,$63.82,$64.30,$61.48
12/14/2023,$63.84,3019842,$64.50,$64.99,$63.66
12/13/2023,$64.19,4060781,$62.45,$64.84,$62.24
12/12/2023,$61.86,6164580,$57.36,$62.45,$57.1224
12/11/2023,$57.04,2385166,$54.82,$57.10,$54.74
12/08/2023,$54.70,1517309,$55.17,$55.17,$54.30
12/07/2023,$55.18,1276626,$55.66,$55.66,$54.699
12/06/2023,$55.42,1358151,$54.71,$55.64,$54.25
12/05/2023,$54.82,1429845,$54.69,$55.42,$54.52
12/04/2023,$54.96,1863846,$55.28,$55.94,$54.68
12/01/2023,$54.02,1882507,$54.42,$54.61,$53.62
11/30/2023,$54.34,4012403,$53.93,$54.53,$53.6264
11/29/2023,$53.39,1535023,$52.92,$53.66,$52.795
11/28/2023,$52.70,1760488,$52.92,$52.92,$52.20
11/27/2023,$52.87,1238812,$53.64,$53.675,$52.405
11/24/2023,$53.74,430700,$53.58,$53.78,$53.205
11/22/2023,$53.40,1110949,$53.53,$54.10,$53.24
11/21/2023,$53.23,1489312,$53.20,$54.00,$52.815
11/20/2023,$54.71,1512257,$54.49,$55.18,$54.21
11/17/2023,$54.27,2990942,$54.46,$54.494,$53.78
11/16/2023,$53.99,1748830,$55.13,$55.17,$53.545
11/15/2023,$54.98,1953398,$54.44,$55.495,$54.31
11/14/2023,$54.57,1938447,$53.60,$54.805,$53.38
11/13/2023,$53.12,1593260,$52.09,$53.41,$52.09
11/10/2023,$52.44,1552857,$52.73,$52.73,$51.465
11/09/2023,$52.52,1567450,$54.25,$54.37,$52.32
11/08/2023,$54.06,1886499,$54.85,$54.85,$53.4769
11/07/2023,$54.72,1365403,$54.36,$54.92,$54.05
11/06/2023,$54.57,1375512,$55.20,$55.36,$54.35
11/03/2023,$54.85,2001823,$54.25,$55.00,$54.02
11/02/2023,$53.97,1295130,$54.22,$54.76,$53.51
11/01/2023,$54.37,2239946,$54.00,$54.585,$52.89
10/31/2023,$53.93,3744823,$51.955,$54.08,$50.27
10/30/2023,$52.16,3300446,$52.60,$52.99,$51.37
10/27/2023,$52.54,1495362,$54.24,$54.54,$52.36
10/26/2023,$54.27,1769641,$54.14,$54.39,$53.585
10/25/2023,$54.25,1385072,$54.48,$54.70,$53.47
10/24/2023,$54.95,1669321,$55.38,$55.90,$54.61
10/23/2023,$55.10,1426436,$55.16,$55.40,$54.53
10/20/2023,$55.13,2138958,$55.64,$56.125,$54.98
10/19/2023,$55.64,1699386,$56.37,$56.64,$55.49
10/18/2023,$56.82,1351237,$57.06,$57.69,$56.67
10/17/2023,$57.19,1166217,$57.51,$57.915,$56.8969
10/16/2023,$57.63,1207275,$57.97,$58.06,$57.295
10/13/2023,$57.61,1248304,$56.42,$57.63,$56.42
10/12/2023,$56.57,1334097,$56.93,$56.93,$56.08
10/11/2023,$56.96,1357279,$57.50,$57.80,$56.73
10/10/2023,$57.24,1505282,$56.95,$57.74,$56.78
10/09/2023,$56.68,2210140,$56.89,$57.01,$55.645
10/06/2023,$57.33,1545865,$58.72,$58.76,$57.31
10/05/2023,$58.81,1483100,$58.13,$58.87,$58.05
10/04/2023,$58.16,1549344,$58.81,$58.81,$57.57
10/03/2023,$58.56,1846127,$57.75,$58.685,$57.62
10/02/2023,$58.06,1964649,$57.61,$58.085,$56.8201
09/29/2023,$57.77,1428726,$58.86,$58.86,$57.66
09/28/2023,$58.61,795163,$59.13,$59.33,$58.445
09/27/2023,$59.11,1118242,$59.46,$59.85,$58.735
09/26/2023,$59.28,1473032,$58.56,$59.62,$58.52
09/25/2023,$58.75,1902974,$58.05,$58.83,$57.90
09/22/2023,$58.10,2306860,$58.77,$59.34,$57.91
09/21/2023,$58.81,2011676,$60.24,$60.39,$58.76
09/20/2023,$60.37,1376331,$60.75,$60.9997,$60.30
09/19/2023,$60.60,2576955,$59.53,$60.83,$59.52
09/18/2023,$59.51,4662046,$59.83,$60.05,$58.54
09/15/2023,$62.55,2100531,$63.43,$63.91,$62.50
09/14/2023,$63.48,1775018,$63.16,$63.85,$62.91
09/13/2023,$63.10,1737584,$64.23,$64.57,$62.985
09/12/2023,$64.23,1454836,$64.50,$64.69,$63.65
09/11/2023,$64.41,1788552,$64.03,$64.84,$63.73
09/08/2023,$63.98,1409453,$63.81,$64.335,$63.585
09/07/2023,$63.45,2492507,$63.26,$63.559,$62.775
09/06/2023,$63.19,1939134,$63.23,$63.51,$62.52
09/05/2023,$63.28,1863733,$64.83,$65.16,$63.23
09/01/2023,$64.69,1356051,$65.03,$65.43,$64.56
08/31/2023,$64.53,1408952,$65.19,$65.3786,$64.40
08/30/2023,$65.25,1578295,$64.63,$65.44,$64.60
08/29/2023,$64.59,1411092,$64.82,$65.605,$64.41
08/28/2023,$64.83,1121592,$64.00,$65.13,$63.835
08/25/2023,$63.86,1113123,$64.25,$64.56,$63.57
08/24/2023,$64.23,1107852,$64.53,$65.38,$64.19
08/23/2023,$64.65,1053158,$65.04,$65.28,$64.38
08/22/2023,$64.79,1212029,$64.83,$65.55,$64.46
08/21/2023,$64.88,1459318,$64.04,$65.02,$63.67
08/18/2023,$64.04,831689,$63.78,$64.56,$63.58
08/17/2023,$64.21,1875845,$64.79,$65.02,$64.13
08/16/2023,$64.73,1044696,$65.19,$65.63,$64.63
08/15/2023,$65.41,787710,$64.91,$65.70,$64.7728
08/14/2023,$65.24,2256835,$65.71,$66.15,$65.10
08/11/2023,$65.93,1061002,$65.73,$66.24,$65.45
08/10/2023,$65.51,1703939,$65.66,$66.435,$65.27
08/09/2023,$65.42,1372954,$64.58,$65.925,$64.54
08/08/2023,$64.53,1165362,$65.27,$65.54,$64.26
08/07/2023,$64.91,1627340,$63.79,$65.20,$63.57
08/04/2023,$63.63,1261216,$64.46,$65.10,$63.575
08/03/2023,$64.98,1300107,$65.72,$65.83,$64.97
08/02/2023,$65.68,2041316,$63.79,$65.98,$63.79
08/01/2023,$63.69,2591408,$65.47,$65.76,$62.20
07/31/2023,$63.72,2092084,$63.07,$63.95,$62.90
07/28/2023,$63.09,1314462,$63.15,$63.25,$62.50
07/27/2023,$62.68,1347384,$62.77,$63.345,$62.515
07/26/2023,$62.80,1466242,$63.80,$63.80,$62.525
07/25/2023,$63.79,1316714,$63.94,$64.375,$63.62
07/24/2023,$63.46,973057,$64.26,$64.50,$63.315
07/21/2023,$64.15,1663922,$64.17,$64.39,$63.49
07/20/2023,$64.01,1648419,$63.30,$64.04,$63.11
07/19/2023,$62.90,1533396,$62.26,$62.935,$62.03
07/18/2023,$61.68,1611905,$61.03,$62.77,$61.03
07/17/2023,$61.08,1121824,$61.71,$61.74,$61.05
07/14/2023,$61.76,1175814,$61.75,$62.05,$60.855
07/13/2023,$61.94,1124113,$62.63,$62.69,$61.91
07/12/2023,$62.65,1730151,$63.65,$63.65,$62.50
07/11/2023,$62.84,1206137,$62.16,$62.88,$61.93
07/10/2023,$61.89,1239538,$61.92,$62.71,$61.79
07/07/2023,$62.07,1054327,$62.77,$62.87,$61.67
07/06/2023,$62.86,1374738,$62.68,$63.05,$62.225
07/05/2023,$62.99,1612168,$62.25,$63.04,$61.73
07/03/2023,$62.08,543028,$62.15,$62.52,$61.82
06/30/2023,$62.25,1449162,$62.11,$62.48,$61.86
06/29/2023,$61.85,1836277,$60.84,$62.035,$60.56
06/28/2023,$60.95,1863726,$61.98,$61.98,$60.5696
06/27/2023,$61.68,1706341,$63.09,$63.41,$61.17
06/26/2023,$62.94,2052391,$62.49,$63.06,$61.26
06/23/2023,$62.45,4453774,$61.885,$62.98,$61.58
06/22/2023,$61.91,2660304,$61.89,$62.12,$61.64
06/21/2023,$61.89,2824153,$61.79,$62.25,$61.455
06/20/2023,$61.75,2862722,$63.42,$63.53,$61.69
06/16/2023,$63.23,8439937,$62.81,$64.015,$62.48
06/15/2023,$62.58,3215358,$61.37,$62.649,$61.21
06/14/2023,$61.44,1631313,$62.14,$62.30,$61.28
06/13/2023,$61.95,4615518,$61.80,$62.69,$61.58
06/12/2023,$62.10,3646147,$61.16,$62.12,$61.00
06/09/2023,$61.04,1509292,$61.34,$61.76,$60.61
06/08/2023,$61.51,1313742,$61.50,$61.75,$60.95
06/07/2023,$61.39,1648146,$61.58,$61.90,$61.01
06/06/2023,$61.71,1930540,$62.65,$62.74,$61.405
06/05/2023,$62.37,1377727,$62.36,$62.91,$62.18
06/02/2023,$62.54,1760372,$61.50,$62.60,$61.42
06/01/2023,$61.51,1755194,$61.59,$61.895,$60.71
05/31/2023,$61.55,4628730,$61.92,$62.44,$61.41
05/30/2023,$61.87,1307235,$62.19,$62.709,$61.25
05/26/2023,$62.58,1347453,$62.87,$63.00,$62.32
05/25/2023,$62.87,1716425,$63.66,$63.73,$62.48
05/24/2023,$64.28,1423455,$64.80,$65.13,$64.265
05/23/2023,$65.08,1844335,$64.36,$65.96,$64.36
05/22/2023,$64.39,1341212,$63.94,$64.68,$63.43
05/19/2023,$63.57,1905609,$63.80,$64.335,$63.33
05/18/2023,$63.63,1352613,$64.57,$64.75,$63.06
05/17/2023,$64.55,1188142,$64.65,$64.80,$63.58
05/16/2023,$64.70,1246031,$65.72,$65.81,$64.68
05/15/2023,$66.20,1429750,$65.50,$66.24,$65.30
05/12/2023,$65.28,1283121,$64.20,$65.41,$64.16
05/11/2023,$64.17,1488449,$64.11,$64.19,$63.48
05/10/2023,$63.92,1914652,$64.96,$65.005,$63.84
05/09/2023,$64.77,1583317,$65.39,$65.71,$64.62
05/08/2023,$65.79,1239880,$66.58,$66.69,$65.49
05/05/2023,$66.56,1626638,$66.75,$67.7225,$65.64
