Date,Close/Last,Volume,Open,High,Low
09/06/2024,$86.84,2539668,$87.42,$88.80,$86.38
09/05/2024,$87.61,2919854,$87.12,$87.685,$85.49
09/04/2024,$87.26,1619424,$88.00,$88.71,$87.00
09/03/2024,$88.33,2557242,$90.59,$91.00,$87.53
08/30/2024,$91.45,2153639,$91.13,$91.56,$89.95
08/29/2024,$90.80,2024607,$90.28,$92.09,$89.68
08/28/2024,$89.40,1853085,$91.00,$91.31,$89.00
08/27/2024,$90.63,1136936,$90.03,$90.90,$89.77
08/26/2024,$90.80,1677652,$92.00,$92.24,$90.73
08/23/2024,$91.64,1824993,$90.70,$92.005,$90.32
08/22/2024,$90.14,1201403,$91.32,$91.71,$89.98
08/21/2024,$91.16,1079197,$90.68,$91.46,$90.52
08/20/2024,$90.50,1305182,$90.90,$91.235,$90.08
08/19/2024,$90.95,1676849,$91.37,$91.84,$90.67
08/16/2024,$91.01,2260381,$92.21,$92.515,$90.99
08/15/2024,$92.22,1859200,$92.54,$92.85,$91.245
08/14/2024,$91.03,1463614,$89.97,$91.12,$89.73
08/13/2024,$89.91,2074728,$88.95,$90.045,$88.08
08/12/2024,$88.26,2064833,$89.69,$89.96,$87.96
08/09/2024,$89.47,2674851,$90.055,$90.75,$88.60
08/08/2024,$90.48,2580843,$88.70,$90.605,$88.01
08/07/2024,$87.30,2845162,$89.18,$89.68,$87.03
08/06/2024,$88.15,2968237,$87.31,$90.03,$87.06
08/05/2024,$87.04,4558090,$84.74,$88.57,$83.72
08/02/2024,$87.42,6031716,$89.50,$89.6999,$86.68
08/01/2024,$91.23,7445639,$92.00,$95.38,$90.395
07/31/2024,$100.40,3310683,$100.22,$101.17,$98.855
07/30/2024,$98.87,2526353,$99.55,$100.665,$98.37
07/29/2024,$98.74,2290906,$98.73,$99.52,$98.085
07/26/2024,$98.70,1803638,$98.09,$99.61,$97.84
07/25/2024,$96.94,2901642,$96.10,$98.77,$94.96
07/24/2024,$95.75,3511172,$99.39,$99.79,$95.57
07/23/2024,$100.25,1419398,$99.65,$101.30,$99.51
07/22/2024,$99.95,2042896,$97.90,$100.14,$97.08
07/19/2024,$96.86,1548985,$98.25,$98.55,$96.79
07/18/2024,$97.91,2313571,$97.74,$99.59,$97.34
07/17/2024,$98.02,2623019,$99.86,$99.86,$98.02
07/16/2024,$100.34,3024421,$99.28,$100.65,$98.95
07/15/2024,$98.66,2817085,$98.10,$99.44,$97.91
07/12/2024,$97.28,2807639,$96.31,$98.28,$96.00
07/11/2024,$95.50,2005724,$94.70,$97.00,$94.615
07/10/2024,$94.30,1486289,$92.61,$94.43,$92.28
07/09/2024,$91.73,1668012,$92.32,$92.90,$91.69
07/08/2024,$92.11,1359909,$91.63,$92.74,$91.505
07/05/2024,$91.38,1378116,$90.94,$91.455,$90.00
07/03/2024,$91.05,651726,$90.82,$91.78,$90.20
07/02/2024,$90.66,1111850,$89.49,$90.70,$89.05
07/01/2024,$89.54,1338415,$92.06,$92.30,$89.04
06/28/2024,$90.84,2875825,$91.00,$91.925,$90.18
06/27/2024,$90.97,1951694,$90.23,$91.00,$89.84
06/26/2024,$89.80,2786540,$89.41,$90.15,$88.4501
06/25/2024,$89.91,3977282,$92.68,$92.68,$89.33
06/24/2024,$92.92,2070739,$93.12,$93.93,$92.74
06/21/2024,$92.89,3639346,$93.35,$93.35,$91.92
06/20/2024,$93.18,2799382,$94.36,$95.05,$92.50
06/18/2024,$94.58,2305414,$93.30,$94.79,$93.02
06/17/2024,$93.30,1907004,$91.11,$93.79,$90.44
06/14/2024,$91.46,2804078,$93.00,$93.30,$90.00
06/13/2024,$94.45,2979614,$94.33,$94.99,$93.26
06/12/2024,$94.74,3601840,$92.08,$95.30,$91.76
06/11/2024,$91.38,3293886,$90.87,$92.06,$89.995
06/10/2024,$91.19,2296580,$89.03,$91.24,$89.03
06/07/2024,$89.13,2142044,$88.64,$89.95,$87.62
06/06/2024,$88.38,3528752,$89.39,$89.65,$87.81
06/05/2024,$89.73,2221458,$88.26,$89.88,$87.59
06/04/2024,$87.96,4105881,$89.92,$90.26,$86.95
06/03/2024,$90.04,3608226,$93.36,$93.77,$89.00
05/31/2024,$93.05,3551408,$92.08,$93.13,$90.78
05/30/2024,$92.00,1658529,$90.86,$92.08,$90.635
05/29/2024,$91.09,2629687,$92.85,$92.85,$91.01
05/28/2024,$93.46,5145202,$95.67,$95.67,$93.09
05/24/2024,$95.50,3632984,$95.47,$95.97,$95.14
05/23/2024,$95.10,5266608,$96.26,$96.67,$94.74
05/22/2024,$96.28,3007793,$95.40,$96.36,$95.09
05/21/2024,$95.20,3793588,$93.84,$95.31,$93.81
05/20/2024,$94.14,2741612,$92.94,$94.53,$92.74
05/17/2024,$92.65,3170890,$91.99,$92.70,$91.61
05/16/2024,$91.40,4941778,$92.46,$92.77,$90.66
05/15/2024,$92.79,1430435,$92.01,$92.94,$91.72
05/14/2024,$91.54,1886563,$90.79,$91.685,$90.2885
05/13/2024,$90.84,3208033,$91.14,$91.21,$89.935
05/10/2024,$91.26,1844441,$91.89,$92.20,$90.93
05/09/2024,$91.00,2390569,$90.86,$91.33,$90.195
05/08/2024,$90.75,3647991,$89.65,$90.785,$88.96
05/07/2024,$89.85,2983271,$88.67,$90.26,$87.92
05/06/2024,$88.48,4549425,$88.07,$89.535,$87.66
05/03/2024,$86.72,6849021,$88.00,$89.50,$85.9024
05/02/2024,$92.85,4134498,$93.28,$93.85,$91.61
05/01/2024,$93.00,3435321,$93.18,$94.27,$92.22
04/30/2024,$93.32,3619472,$93.21,$94.12,$92.35
04/29/2024,$93.39,2663212,$93.47,$94.205,$92.45
04/26/2024,$93.50,1973863,$92.47,$93.96,$92.31
04/25/2024,$92.03,2567357,$91.29,$92.64,$90.50
04/24/2024,$92.50,4269113,$91.94,$93.22,$90.89
04/23/2024,$90.57,1530023,$89.33,$90.615,$89.19
04/22/2024,$88.63,2250434,$88.88,$89.33,$88.10
04/19/2024,$88.40,2490032,$89.27,$90.00,$87.46
04/18/2024,$88.97,1195332,$90.30,$90.76,$88.85
04/17/2024,$89.57,1836245,$91.48,$91.5057,$88.82
04/16/2024,$90.88,1836862,$91.19,$91.7275,$90.4679
04/15/2024,$91.28,1562102,$93.38,$93.52,$90.93
04/12/2024,$91.92,1509215,$91.88,$92.72,$91.47
04/11/2024,$93.17,1542169,$92.71,$93.86,$92.37
04/10/2024,$92.99,1628597,$92.16,$93.7999,$91.4501
04/09/2024,$93.50,2259494,$94.49,$94.57,$92.34
04/08/2024,$94.01,1878169,$95.06,$95.415,$93.91
04/05/2024,$94.81,2125589,$92.88,$95.05,$92.715
04/04/2024,$92.30,2866493,$94.40,$94.765,$92.28
04/03/2024,$93.39,2720770,$92.55,$93.96,$92.34
04/02/2024,$92.55,3435391,$93.82,$93.82,$92.38
