Date,Close/Last,Volume,Open,High,Low
09/06/2024,$141.91,593589,$144.17,$145.41,$141.745
09/05/2024,$143.94,678209,$147.35,$147.83,$143.78
09/04/2024,$146.83,531984,$146.69,$147.58,$145.95
09/03/2024,$147.15,1221938,$150.27,$150.88,$146.50
08/30/2024,$150.88,830758,$150.32,$151.17,$148.96
08/29/2024,$150.00,529787,$150.23,$151.075,$149.61
08/28/2024,$149.44,385341,$150.00,$150.51,$148.8001
08/27/2024,$149.98,351487,$149.97,$150.30,$149.41
08/26/2024,$150.04,563969,$149.82,$151.80,$149.59
08/23/2024,$149.00,508157,$149.31,$149.95,$148.21
08/22/2024,$148.62,394659,$148.33,$149.30,$147.73
08/21/2024,$148.44,426358,$148.04,$148.57,$147.55
08/20/2024,$147.46,542216,$147.69,$148.259,$146.57
08/19/2024,$148.05,502940,$147.10,$148.43,$146.875
08/16/2024,$146.91,575065,$146.42,$147.62,$146.32
08/15/2024,$146.63,563032,$146.24,$147.21,$145.57
08/14/2024,$144.99,818694,$144.03,$145.76,$142.96
08/13/2024,$144.05,823712,$143.93,$144.73,$142.90
08/12/2024,$143.49,664776,$143.79,$144.04,$142.32
08/09/2024,$143.50,1008832,$142.35,$144.22,$141.20
08/08/2024,$142.26,1446676,$140.20,$143.34,$139.72
08/07/2024,$139.42,1076617,$140.93,$142.71,$139.37
08/06/2024,$140.69,880820,$140.14,$143.225,$137.56
08/05/2024,$140.13,1023418,$139.10,$141.44,$137.88
08/02/2024,$142.24,595391,$144.15,$144.15,$141.35
08/01/2024,$144.76,866382,$146.88,$147.055,$143.22
07/31/2024,$146.35,542643,$147.22,$148.275,$145.67
07/30/2024,$146.19,541454,$146.32,$147.455,$146.09
07/29/2024,$145.80,565789,$146.71,$147.24,$145.51
07/26/2024,$145.98,527153,$146.72,$147.89,$145.29
07/25/2024,$145.68,700653,$143.93,$147.585,$143.82
07/24/2024,$142.93,1414178,$151.10,$151.34,$142.85
07/23/2024,$151.28,455458,$149.22,$151.37,$148.80
07/22/2024,$149.44,339226,$148.70,$149.50,$147.695
07/19/2024,$147.89,374131,$149.21,$150.06,$147.035
07/18/2024,$148.75,575166,$149.97,$152.37,$147.885
07/17/2024,$149.55,744813,$150.29,$152.09,$149.55
07/16/2024,$150.74,762459,$145.35,$150.76,$145.00
07/15/2024,$144.70,639285,$144.00,$145.31,$143.84
07/12/2024,$143.93,597501,$142.21,$144.59,$141.56
07/11/2024,$141.11,476346,$139.09,$141.2275,$138.58
07/10/2024,$138.57,339790,$136.67,$138.652,$135.94
07/09/2024,$136.44,300481,$137.52,$137.70,$136.355
07/08/2024,$137.66,355174,$137.25,$138.27,$137.195
07/05/2024,$136.74,913880,$137.28,$137.405,$134.24
07/03/2024,$138.49,515410,$137.28,$138.99,$137.195
07/02/2024,$137.77,456940,$138.31,$138.31,$136.92
07/01/2024,$138.30,660686,$139.94,$140.1965,$137.67
06/28/2024,$139.71,1305354,$140.00,$141.73,$138.76
06/27/2024,$139.45,1076646,$139.60,$140.14,$138.40
06/26/2024,$139.07,791856,$139.00,$139.63,$138.345
06/25/2024,$139.93,922027,$141.90,$142.08,$139.115
06/24/2024,$142.09,822931,$141.28,$142.85,$140.67
06/21/2024,$140.96,1267541,$141.00,$141.76,$139.285
06/20/2024,$141.19,953170,$141.00,$141.665,$140.44
06/18/2024,$141.00,567609,$140.92,$141.7069,$140.5219
06/17/2024,$140.74,449279,$138.00,$140.93,$137.70
06/14/2024,$138.20,703115,$138.46,$139.66,$136.875
06/13/2024,$139.19,571225,$139.70,$139.70,$137.41
06/12/2024,$139.82,648812,$140.40,$141.00,$138.92
06/11/2024,$139.49,522263,$139.42,$139.53,$138.02
06/10/2024,$140.02,551563,$138.83,$140.16,$138.57
06/07/2024,$139.06,505088,$138.30,$140.59,$138.175
06/06/2024,$138.30,517084,$137.57,$138.51,$136.85
06/05/2024,$138.30,716513,$138.52,$139.10,$136.88
06/04/2024,$138.62,682064,$137.67,$138.67,$136.47
06/03/2024,$137.98,595167,$139.43,$139.4806,$136.42
