Date,Close/Last,Volume,Open,High,Low
09/06/2024,$67.84,4249129,$69.57,$70.32,$67.68
09/05/2024,$69.38,3643082,$70.13,$70.91,$68.79
09/04/2024,$70.04,3000708,$70.63,$71.10,$69.77
09/03/2024,$70.76,2418059,$72.75,$73.06,$70.37
08/30/2024,$72.85,2740162,$71.50,$72.96,$71.25
08/29/2024,$71.08,5178216,$71.23,$71.92,$70.64
08/28/2024,$70.79,4208478,$71.47,$71.55,$70.48
08/27/2024,$71.45,3700396,$71.11,$71.51,$70.74
08/26/2024,$71.45,4921185,$71.51,$71.785,$71.02
08/23/2024,$71.24,6220347,$71.11,$71.56,$70.71
08/22/2024,$70.60,3012819,$70.71,$71.02,$70.07
08/21/2024,$70.55,5150601,$70.69,$71.06,$70.32
08/20/2024,$70.30,1782621,$70.50,$70.695,$70.10
08/19/2024,$70.53,2900405,$69.71,$70.635,$69.45
08/16/2024,$69.38,3270770,$69.58,$69.85,$69.05
08/15/2024,$69.76,4469368,$69.34,$69.96,$68.945
08/14/2024,$68.50,4915332,$68.03,$69.03,$67.995
08/13/2024,$67.82,3747442,$67.27,$68.34,$67.12
08/12/2024,$66.56,6673710,$67.47,$67.795,$66.40
08/09/2024,$67.65,2757181,$67.77,$68.065,$66.98
08/08/2024,$67.77,6337461,$66.37,$68.05,$66.16
08/07/2024,$65.76,4611503,$67.51,$68.69,$65.69
08/06/2024,$66.70,3423604,$65.78,$67.725,$65.61
08/05/2024,$65.71,6572636,$65.60,$66.12,$64.31
08/02/2024,$67.42,10348380,$69.00,$69.08,$66.87
08/01/2024,$70.33,6129145,$71.79,$72.97,$69.915
07/31/2024,$71.54,13980070,$75.00,$75.36,$70.72
07/30/2024,$69.03,4127147,$69.36,$69.98,$68.98
07/29/2024,$69.30,6716382,$68.92,$69.63,$68.85
07/26/2024,$68.77,4794459,$67.85,$69.23,$67.71
07/25/2024,$66.72,5836188,$67.55,$68.03,$66.58
07/24/2024,$67.54,8242551,$68.80,$68.84,$67.42
07/23/2024,$69.12,7095244,$69.64,$69.98,$68.20
07/22/2024,$70.20,2133280,$69.64,$70.23,$68.90
07/19/2024,$68.95,2441695,$70.12,$70.12,$68.815
07/18/2024,$69.54,6398866,$69.48,$71.80,$69.13
07/17/2024,$69.85,2923112,$71.70,$71.8531,$69.75
07/16/2024,$72.18,2998049,$70.35,$72.24,$70.35
07/15/2024,$70.01,2630184,$70.75,$71.145,$69.965
07/12/2024,$69.98,2482501,$70.00,$70.403,$69.69
07/11/2024,$69.70,3220223,$68.15,$69.94,$68.10
07/10/2024,$67.80,3187332,$67.31,$67.88,$66.59
07/09/2024,$67.14,3723622,$67.60,$67.77,$67.08
07/08/2024,$67.23,3082576,$67.00,$67.62,$66.86
07/05/2024,$66.79,3702911,$66.86,$67.00,$66.175
07/03/2024,$66.86,1934278,$66.15,$67.15,$66.15
