Date,Close/Last,Volume,Open,High,Low
09/06/2024,$169.64,422776,$173.14,$173.85,$169.53
09/05/2024,$173.21,440372,$174.98,$174.98,$171.62
09/04/2024,$174.09,598401,$173.67,$174.64,$172.44
09/03/2024,$175.08,757083,$173.03,$177.67,$173.03
08/30/2024,$173.03,427055,$172.08,$173.33,$171.25
08/29/2024,$171.89,442967,$174.60,$174.60,$171.68
08/28/2024,$173.76,588144,$171.94,$174.87,$171.94
08/27/2024,$171.39,432441,$168.84,$171.67,$168.17
08/26/2024,$168.84,517670,$165.41,$169.395,$164.63
08/23/2024,$164.63,459071,$164.12,$164.85,$163.365
08/22/2024,$163.79,579261,$165.42,$166.66,$162.59
08/21/2024,$165.45,1467179,$162.00,$167.66,$160.23
08/20/2024,$165.55,790635,$164.11,$166.76,$163.57
08/19/2024,$164.09,825743,$165.53,$165.89,$163.28
08/16/2024,$165.07,503227,$164.42,$165.45,$163.74
08/15/2024,$164.77,329292,$165.43,$166.50,$162.77
08/14/2024,$164.79,335848,$164.91,$166.40,$164.18
08/13/2024,$165.16,504346,$163.18,$165.23,$162.09
08/12/2024,$162.71,382017,$166.43,$166.625,$162.57
08/09/2024,$166.44,401391,$167.50,$168.49,$166.02
08/08/2024,$167.35,351806,$166.37,$168.27,$165.82
08/07/2024,$166.01,405162,$167.28,$169.51,$165.02
08/06/2024,$166.51,278968,$164.02,$168.52,$163.725
08/05/2024,$163.80,373882,$168.88,$169.00,$163.59
08/02/2024,$170.21,331760,$168.34,$171.08,$166.78
08/01/2024,$169.07,329147,$171.40,$172.06,$168.30
07/31/2024,$171.48,354342,$172.70,$173.035,$171.00
07/30/2024,$172.41,257028,$170.97,$172.825,$169.40
07/29/2024,$170.17,249146,$170.61,$171.94,$169.20
07/26/2024,$170.33,237151,$168.07,$170.5769,$168.01
07/25/2024,$167.48,338137,$168.79,$172.00,$167.32
07/24/2024,$167.93,346117,$167.07,$169.00,$166.68
07/23/2024,$167.07,245095,$169.39,$169.80,$166.71
07/22/2024,$168.94,260323,$166.73,$169.33,$165.97
07/19/2024,$166.10,320830,$168.60,$169.90,$165.63
07/18/2024,$168.05,243839,$168.74,$171.435,$167.86
07/17/2024,$169.74,311045,$170.01,$171.13,$168.9701
07/16/2024,$169.74,345170,$168.21,$170.68,$167.40
07/15/2024,$167.37,323541,$166.27,$168.51,$164.92
07/12/2024,$166.28,331294,$164.92,$167.63,$164.76
07/11/2024,$164.14,332663,$162.11,$164.20,$161.48
07/10/2024,$160.87,412245,$162.91,$162.91,$158.62
07/09/2024,$162.88,395092,$164.34,$164.705,$162.73
07/08/2024,$164.34,380840,$163.29,$164.99,$162.82
07/05/2024,$163.06,324540,$163.65,$163.8295,$162.48
07/03/2024,$163.65,272236,$163.39,$164.41,$162.31
07/02/2024,$163.76,473734,$163.97,$165.235,$163.31
07/01/2024,$163.49,450160,$166.64,$167.02,$162.44
06/28/2024,$166.02,1184918,$167.02,$168.695,$165.00
06/27/2024,$166.72,390842,$167.08,$168.185,$166.04
06/26/2024,$167.11,670311,$165.87,$167.43,$165.165
06/25/2024,$166.36,539156,$166.69,$167.05,$164.55
06/24/2024,$166.43,402201,$166.34,$168.415,$165.85
06/21/2024,$166.74,686699,$166.38,$167.34,$165.15
06/20/2024,$165.88,519661,$162.00,$166.59,$161.86
06/18/2024,$162.21,525637,$165.18,$165.76,$162.015
06/17/2024,$165.04,578973,$161.00,$165.60,$160.04
06/14/2024,$161.57,580031,$158.03,$161.66,$157.92
06/13/2024,$158.55,793583,$159.58,$159.8236,$157.00
06/12/2024,$160.21,356165,$162.56,$163.06,$160.09
06/11/2024,$161.53,418430,$163.34,$164.47,$161.19
06/10/2024,$164.05,271509,$164.65,$164.76,$161.65
06/07/2024,$164.78,237268,$164.00,$165.44,$163.44
06/06/2024,$164.55,223264,$164.65,$165.89,$164.29
06/05/2024,$164.38,412338,$162.36,$164.745,$161.45
06/04/2024,$161.70,859418,$162.34,$163.95,$161.31
06/03/2024,$163.26,350659,$164.12,$165.41,$161.66
05/31/2024,$164.68,1047874,$161.43,$164.77,$160.69
05/30/2024,$161.15,338151,$161.53,$162.52,$160.17
05/29/2024,$161.53,470291,$161.11,$162.62,$160.175
05/28/2024,$162.57,630436,$167.92,$167.92,$161.865
05/24/2024,$168.61,226664,$168.26,$168.73,$167.225
05/23/2024,$168.33,422807,$169.42,$169.715,$167.92
05/22/2024,$169.63,265672,$168.81,$170.205,$168.65
05/21/2024,$169.08,300744,$169.69,$170.08,$168.22
05/20/2024,$169.45,298875,$168.96,$170.18,$167.78
05/17/2024,$168.99,313859,$169.66,$169.66,$167.05
05/16/2024,$169.38,358805,$167.83,$169.85,$167.115
05/15/2024,$167.83,387926,$166.61,$167.95,$165.91
05/14/2024,$165.69,449233,$168.24,$168.24,$163.255
05/13/2024,$167.72,471525,$170.00,$170.20,$167.02
05/10/2024,$169.24,319815,$169.17,$169.96,$167.96
05/09/2024,$169.04,478512,$166.19,$169.13,$165.89
05/08/2024,$165.59,893334,$166.87,$172.465,$165.1475
05/07/2024,$165.65,576417,$165.95,$167.32,$164.60
05/06/2024,$164.96,402895,$165.00,$165.71,$163.37
05/03/2024,$164.18,359286,$163.07,$164.49,$162.43
05/02/2024,$162.51,369854,$163.16,$164.00,$161.00
05/01/2024,$162.52,498824,$162.58,$164.39,$162.20
04/30/2024,$162.69,502331,$165.03,$165.04,$162.24
04/29/2024,$166.12,294075,$165.16,$166.63,$165.06
04/26/2024,$164.88,378670,$165.42,$167.00,$164.66
04/25/2024,$165.89,240179,$164.66,$166.55,$163.93
04/24/2024,$165.20,350843,$165.69,$166.52,$164.34
04/23/2024,$166.48,297528,$165.32,$167.785,$164.84
04/22/2024,$164.84,329182,$165.99,$166.62,$164.69
04/19/2024,$165.60,368438,$165.32,$166.6199,$163.85
04/18/2024,$164.77,310160,$164.92,$165.14,$163.68
04/17/2024,$164.67,295598,$164.50,$165.55,$163.525
04/16/2024,$163.75,230692,$165.04,$165.712,$163.66
04/15/2024,$165.04,287193,$168.51,$169.20,$164.69
04/12/2024,$167.57,304376,$169.07,$170.35,$166.87
04/11/2024,$170.05,373474,$170.88,$170.88,$168.58
04/10/2024,$170.46,348883,$172.41,$172.41,$169.82
04/09/2024,$174.17,346394,$172.25,$174.26,$171.48
04/08/2024,$171.57,450410,$170.00,$173.75,$169.01
04/05/2024,$170.03,275370,$169.40,$170.205,$168.995
04/04/2024,$169.41,415951,$171.26,$171.585,$168.90
04/03/2024,$170.26,399786,$170.23,$171.25,$168.93
04/02/2024,$170.29,446918,$170.44,$171.61,$169.045
04/01/2024,$170.46,374960,$173.46,$173.46,$169.935
03/28/2024,$173.73,411616,$172.65,$174.27,$172.4578
03/27/2024,$172.26,585423,$167.25,$172.40,$167.115
03/26/2024,$166.39,438685,$165.94,$168.51,$165.78
03/25/2024,$165.75,716258,$169.29,$169.29,$165.615
03/22/2024,$168.95,285695,$172.44,$172.5291,$168.81
03/21/2024,$171.86,530075,$171.89,$172.235,$170.81
03/20/2024,$171.50,231857,$171.37,$171.76,$169.985
03/19/2024,$171.05,257193,$170.67,$171.42,$170.22
03/18/2024,$170.40,292366,$170.97,$171.74,$170.20
03/15/2024,$170.95,491255,$169.02,$171.31,$169.02
03/14/2024,$170.81,308275,$172.69,$173.155,$169.94
03/13/2024,$172.35,356776,$172.50,$173.48,$171.97
03/12/2024,$171.82,433367,$173.57,$174.24,$171.03
03/11/2024,$173.52,319838,$174.51,$175.35,$172.82
03/08/2024,$174.65,360622,$174.45,$176.67,$174.45
03/07/2024,$173.78,249665,$174.74,$175.22,$172.76
03/06/2024,$174.32,294748,$173.04,$175.88,$172.43
03/05/2024,$172.52,337787,$173.50,$174.47,$171.64
03/04/2024,$173.55,379783,$172.25,$173.87,$171.595
03/01/2024,$171.96,392891,$173.77,$173.77,$171.67
02/29/2024,$173.77,445651,$174.50,$174.925,$173.22
02/28/2024,$173.33,300181,$174.84,$175.48,$172.73
02/27/2024,$175.19,262406,$174.92,$175.40,$174.13
02/26/2024,$174.42,449055,$174.97,$176.28,$173.92
02/23/2024,$175.95,307233,$174.69,$176.83,$174.415
02/22/2024,$173.64,471886,$173.09,$175.73,$172.66
02/21/2024,$172.13,287613,$172.59,$172.59,$170.62
02/20/2024,$173.10,383697,$171.44,$173.82,$170.935
02/16/2024,$172.48,428357,$173.65,$175.67,$172.46
02/15/2024,$174.08,584254,$176.02,$176.51,$173.72
02/14/2024,$175.26,495867,$172.98,$175.34,$172.93
02/13/2024,$172.61,520041,$173.63,$174.82,$171.12
02/12/2024,$175.71,427268,$178.37,$178.37,$175.52
02/09/2024,$175.93,461677,$175.00,$176.095,$173.685
02/08/2024,$174.05,622660,$169.43,$174.22,$169.235
02/07/2024,$169.18,933569,$166.38,$170.66,$162.795
02/06/2024,$163.91,871640,$162.94,$164.95,$160.63
02/05/2024,$163.24,463226,$164.37,$165.875,$162.14
02/02/2024,$165.64,500886,$166.69,$166.78,$164.28
02/01/2024,$166.67,531967,$165.83,$168.79,$164.32
01/31/2024,$165.83,2118666,$169.64,$169.93,$164.63
01/30/2024,$169.45,440230,$169.33,$170.49,$169.06
01/29/2024,$169.54,379082,$169.95,$170.64,$168.80
01/26/2024,$169.57,398562,$169.16,$169.85,$168.495
01/25/2024,$168.29,490363,$166.86,$168.40,$166.09
01/24/2024,$166.63,381887,$168.62,$168.93,$166.16
01/23/2024,$168.05,354096,$168.61,$169.645,$167.09
01/22/2024,$168.81,350109,$167.23,$169.13,$166.56
01/19/2024,$166.39,339587,$166.19,$166.77,$164.5301
01/18/2024,$165.54,305889,$164.83,$166.115,$164.15
01/17/2024,$165.76,358436,$164.15,$165.93,$163.00
01/16/2024,$165.18,284837,$166.92,$167.41,$164.93
01/12/2024,$167.59,217051,$168.04,$168.2588,$166.76
01/11/2024,$167.27,324381,$167.66,$168.01,$166.10
01/10/2024,$167.61,244986,$167.19,$167.80,$166.10
01/09/2024,$167.19,414585,$168.75,$169.8767,$166.97
01/08/2024,$169.70,548707,$167.70,$170.38,$167.4797
01/05/2024,$166.72,567507,$166.06,$167.98,$166.06
01/04/2024,$166.67,679381,$163.75,$167.00,$163.00
01/03/2024,$163.43,470243,$164.46,$165.17,$163.13
01/02/2024,$164.66,553107,$163.13,$165.3424,$162.36
12/29/2023,$163.41,267112,$163.65,$164.4817,$162.175
12/28/2023,$163.88,272660,$163.64,$164.55,$163.38
12/27/2023,$163.24,383511,$165.19,$165.76,$162.97
12/26/2023,$165.56,384133,$165.08,$166.07,$164.78
12/22/2023,$165.08,487204,$163.81,$165.58,$161.99
12/21/2023,$163.27,370936,$163.27,$164.1465,$162.12
12/20/2023,$162.82,649981,$165.70,$166.84,$162.70
12/19/2023,$165.25,552656,$166.28,$166.71,$164.47
12/18/2023,$166.28,444371,$165.42,$166.57,$164.19
12/15/2023,$164.36,1352431,$166.35,$166.455,$163.79
12/14/2023,$166.90,586495,$170.27,$170.27,$165.12
12/13/2023,$168.17,806358,$165.97,$169.07,$165.665
12/12/2023,$166.12,382925,$165.02,$166.30,$164.21
12/11/2023,$164.38,667451,$164.32,$165.315,$163.4625
12/08/2023,$164.69,724773,$165.48,$166.01,$164.232
12/07/2023,$165.15,496481,$165.45,$165.655,$163.61
12/06/2023,$165.40,981554,$163.56,$166.73,$163.45
12/05/2023,$161.33,339841,$162.40,$162.865,$160.6101
12/04/2023,$162.68,588209,$159.82,$163.09,$159.82
12/01/2023,$160.79,486189,$158.68,$161.445,$157.72
11/30/2023,$158.69,2727285,$155.90,$158.83,$154.77
11/29/2023,$156.01,500671,$156.10,$158.055,$155.37
11/28/2023,$155.14,453319,$154.11,$155.725,$153.2286
11/27/2023,$153.99,522107,$153.65,$155.475,$153.05
11/24/2023,$153.80,249290,$153.74,$153.82,$151.93
11/22/2023,$153.09,393067,$153.20,$154.30,$152.66
11/21/2023,$152.92,426125,$153.39,$153.98,$151.7668
11/20/2023,$153.67,474067,$152.27,$154.19,$151.59
11/17/2023,$152.30,363528,$154.46,$154.46,$151.05
11/16/2023,$153.41,456229,$154.43,$154.99,$152.60
11/15/2023,$153.84,449902,$153.37,$155.40,$153.37
11/14/2023,$153.14,410047,$151.99,$153.82,$151.45
11/13/2023,$150.32,528616,$147.11,$150.49,$146.465
11/10/2023,$147.99,469007,$150.00,$150.00,$147.08
11/09/2023,$149.21,640620,$151.29,$152.67,$148.30
11/08/2023,$149.94,1168133,$156.91,$157.97,$147.05
11/07/2023,$143.43,933810,$145.36,$145.39,$142.93
11/06/2023,$145.36,633042,$144.60,$145.45,$143.24
11/03/2023,$144.85,573579,$143.57,$145.83,$143.25
11/02/2023,$141.93,790894,$141.42,$143.86,$141.32
11/01/2023,$140.35,481449,$141.55,$141.555,$138.95
10/31/2023,$140.99,482638,$140.38,$142.12,$140.36
10/30/2023,$139.79,601927,$138.93,$140.46,$137.17
10/27/2023,$138.10,572804,$140.09,$140.30,$136.57
10/26/2023,$140.33,498137,$141.61,$143.03,$139.69
10/25/2023,$141.96,518441,$142.94,$142.95,$140.87
10/24/2023,$143.56,324757,$143.68,$145.00,$142.21
10/23/2023,$143.10,635341,$143.03,$144.7959,$142.50
10/20/2023,$143.12,574984,$146.02,$146.32,$142.95
10/19/2023,$145.61,475864,$146.45,$147.415,$144.91
10/18/2023,$147.08,238888,$148.67,$149.24,$146.945
10/17/2023,$149.03,416182,$147.16,$150.02,$146.81
10/16/2023,$147.90,315886,$146.61,$148.37,$145.61
10/13/2023,$145.43,454704,$143.96,$145.68,$143.61
10/12/2023,$144.46,686884,$144.16,$145.33,$141.675
10/11/2023,$147.18,382425,$148.88,$149.165,$146.585
10/10/2023,$148.82,449948,$148.23,$149.77,$148.02
10/09/2023,$147.80,372629,$147.98,$148.84,$146.71
10/06/2023,$148.97,336593,$148.25,$151.09,$147.53
10/05/2023,$148.58,384899,$147.56,$149.69,$146.66
10/04/2023,$147.50,690770,$146.53,$147.57,$145.56
10/03/2023,$146.64,435763,$149.28,$149.735,$146.11
10/02/2023,$149.87,440376,$150.59,$150.6685,$148.475
09/29/2023,$151.14,524209,$152.18,$152.79,$150.60
09/28/2023,$151.67,391125,$148.68,$151.77,$148.68
09/27/2023,$148.44,455484,$150.60,$150.67,$147.58
09/26/2023,$147.54,434446,$147.04,$149.595,$146.28
09/25/2023,$147.74,268069,$147.38,$148.28,$147.01
09/22/2023,$147.89,310901,$148.46,$149.31,$147.80
09/21/2023,$148.61,310653,$152.22,$152.22,$148.60
09/20/2023,$152.88,364197,$153.12,$154.23,$152.22
09/19/2023,$152.69,362182,$154.26,$154.58,$152.27
09/18/2023,$155.19,431619,$155.16,$156.345,$154.12
09/15/2023,$154.49,725920,$152.75,$154.72,$152.49
09/14/2023,$152.75,343068,$152.16,$153.515,$151.08
09/13/2023,$151.48,443953,$153.47,$153.47,$150.865
09/12/2023,$153.00,439673,$151.37,$153.55,$150.71
09/11/2023,$151.38,396977,$152.28,$152.80,$150.06
09/08/2023,$151.40,459252,$150.55,$152.20,$150.27
09/07/2023,$150.98,606754,$153.06,$154.18,$149.98
09/06/2023,$153.70,569216,$155.75,$156.04,$153.075
09/05/2023,$156.11,360476,$158.31,$158.63,$156.00
09/01/2023,$158.08,320216,$157.56,$159.70,$157.35
08/31/2023,$156.78,646600,$159.35,$159.87,$156.20
08/30/2023,$159.75,321054,$158.08,$159.86,$157.505
08/29/2023,$157.51,404794,$158.84,$159.155,$156.73
08/28/2023,$158.68,407717,$158.90,$160.12,$157.95
08/25/2023,$158.37,279925,$158.66,$160.625,$156.77
08/24/2023,$157.88,330928,$156.54,$158.74,$156.4443
08/23/2023,$156.53,544496,$156.79,$157.625,$155.83
08/22/2023,$156.62,426565,$154.64,$157.27,$154.365
08/21/2023,$155.13,627343,$154.96,$155.81,$152.885
08/18/2023,$155.03,780537,$153.53,$157.97,$153.24
08/17/2023,$154.84,1201248,$156.20,$161.25,$154.51
08/16/2023,$156.47,1858415,$152.99,$159.99,$150.11
08/15/2023,$168.31,592009,$171.19,$171.98,$167.8664
08/14/2023,$171.96,464343,$171.76,$172.51,$171.30
08/11/2023,$171.70,281307,$171.64,$172.11,$170.83
08/10/2023,$171.81,351896,$172.12,$173.935,$171.29
08/09/2023,$171.90,307357,$171.31,$172.86,$170.42
08/08/2023,$170.52,264169,$170.04,$170.96,$169.02
08/07/2023,$172.00,259764,$169.97,$172.58,$169.358
08/04/2023,$169.04,461341,$170.82,$171.79,$168.57
08/03/2023,$171.16,290037,$169.28,$171.615,$168.55
08/02/2023,$169.85,344116,$170.90,$171.99,$169.48
08/01/2023,$171.63,478725,$167.43,$172.17,$167.43
07/31/2023,$167.57,908664,$167.74,$168.59,$166.20
07/28/2023,$168.22,689731,$171.65,$171.65,$166.77
07/27/2023,$169.50,496256,$171.72,$171.72,$167.78
07/26/2023,$170.87,358976,$173.00,$173.435,$169.915
07/25/2023,$173.42,300834,$173.14,$174.64,$172.51
07/24/2023,$173.29,478060,$171.77,$174.225,$171.70
07/21/2023,$171.61,523078,$172.79,$173.93,$171.57
07/20/2023,$171.93,423384,$172.44,$172.62,$171.03
07/19/2023,$172.76,677354,$170.34,$172.92,$169.845
07/18/2023,$170.07,552837,$168.48,$170.12,$167.51
07/17/2023,$168.32,520142,$166.49,$168.56,$166.48
07/14/2023,$166.75,440812,$166.84,$166.84,$165.76
07/13/2023,$166.45,295918,$165.88,$166.93,$164.645
07/12/2023,$165.28,413883,$164.90,$165.6893,$163.04
07/11/2023,$164.83,392728,$163.40,$165.125,$163.19
07/10/2023,$163.22,457558,$162.87,$164.91,$162.59
07/07/2023,$163.01,756114,$162.68,$163.90,$162.305
07/06/2023,$163.46,582702,$165.50,$165.875,$163.30
07/05/2023,$166.58,645828,$166.87,$168.57,$165.635
07/03/2023,$168.24,237152,$167.32,$169.38,$166.81
06/30/2023,$167.33,439115,$166.88,$168.19,$166.4848
06/29/2023,$166.48,370668,$164.55,$167.1112,$163.80
06/28/2023,$164.25,313790,$164.58,$165.58,$163.57
06/27/2023,$164.66,309280,$164.06,$165.80,$163.27
06/26/2023,$163.68,337837,$162.80,$164.18,$161.51
06/23/2023,$162.80,1392559,$161.45,$163.67,$160.1122
06/22/2023,$162.26,641044,$163.88,$163.88,$161.70
06/21/2023,$164.27,502450,$162.89,$164.78,$162.045
06/20/2023,$163.76,695982,$162.43,$164.97,$162.00
06/16/2023,$163.54,733194,$165.46,$165.81,$163.16
06/15/2023,$165.37,717094,$160.57,$165.525,$160.57
06/14/2023,$160.89,615337,$159.88,$163.16,$159.255
06/13/2023,$158.60,667668,$158.88,$160.385,$158.55
06/12/2023,$159.11,353112,$158.44,$159.56,$157.88
06/09/2023,$157.89,366192,$155.96,$158.03,$155.71
06/08/2023,$155.96,406344,$156.21,$156.50,$154.75
06/07/2023,$156.21,477728,$155.43,$156.29,$154.45
06/06/2023,$155.40,523367,$154.53,$156.07,$154.53
06/05/2023,$155.23,560255,$151.92,$155.55,$151.54
06/02/2023,$152.74,597664,$152.02,$153.565,$150.68
06/01/2023,$151.17,714055,$152.65,$152.85,$150.275
05/31/2023,$152.89,2382277,$148.83,$154.115,$148.19
05/30/2023,$148.56,504733,$148.39,$149.37,$147.01
05/26/2023,$148.56,532751,$147.93,$148.60,$146.83
05/25/2023,$148.31,886309,$145.51,$148.57,$145.175
