Date,Close/Last,Volume,Open,High,Low
09/06/2024,$80.09,2778034,$80.14,$80.245,$80.02
09/05/2024,$80.19,2795188,$80.27,$80.295,$79.86
09/04/2024,$80.19,3310059,$80.24,$80.43,$80.15
09/03/2024,$80.16,2772852,$80.15,$80.20,$80.01
08/30/2024,$80.61,4352913,$80.51,$80.61,$80.355
08/29/2024,$80.53,3459863,$80.55,$80.62,$80.43
08/28/2024,$80.62,3946090,$80.78,$80.78,$80.56
08/27/2024,$80.79,2483109,$80.70,$80.80,$80.65
08/26/2024,$80.68,2209771,$80.62,$80.97,$80.57
08/23/2024,$80.67,2489720,$80.55,$80.74,$80.55
08/22/2024,$80.64,4351460,$80.55,$80.68,$80.46
08/21/2024,$80.59,4541403,$80.35,$80.60,$80.27
08/20/2024,$80.30,5432772,$80.28,$80.52,$80.235
08/19/2024,$80.26,5577645,$80.31,$80.43,$80.21
08/16/2024,$80.29,7353612,$80.22,$80.40,$80.22
08/15/2024,$80.28,9361887,$80.25,$80.36,$80.13
08/14/2024,$80.28,45727050,$79.97,$80.46,$79.86
08/13/2024,$74.50,2267603,$74.14,$74.69,$73.79
08/12/2024,$73.99,3906507,$74.13,$75.48,$73.82
08/09/2024,$74.88,3867513,$74.35,$75.215,$72.915
08/08/2024,$74.35,4136671,$72.45,$74.36,$72.27
08/07/2024,$72.96,5493137,$73.82,$74.58,$72.70
08/06/2024,$73.35,7775659,$73.35,$75.06,$72.84
08/05/2024,$73.20,16463870,$75.11,$75.40,$70.315
08/02/2024,$62.98,4730736,$63.07,$64.18,$61.465
08/01/2024,$62.05,5059864,$60.10,$62.16,$59.785
07/31/2024,$58.15,4311469,$57.78,$58.66,$57.40
07/30/2024,$57.55,2067709,$56.66,$57.67,$56.62
07/29/2024,$57.13,1872561,$57.17,$57.47,$56.73
07/26/2024,$57.47,1805259,$57.32,$57.62,$57.055
07/25/2024,$57.28,1549087,$57.46,$58.33,$56.90
07/24/2024,$57.23,1883182,$56.69,$57.37,$56.365
07/23/2024,$56.61,1802688,$57.51,$57.70,$56.48
07/22/2024,$57.61,1656701,$57.82,$57.92,$57.41
07/19/2024,$57.96,1613574,$59.23,$59.42,$57.79
07/18/2024,$58.83,1617784,$58.12,$59.6254,$58.12
07/17/2024,$58.95,2201114,$57.26,$59.11,$57.06
07/16/2024,$57.05,1526486,$56.30,$57.295,$56.101
07/15/2024,$56.32,1857073,$56.53,$56.78,$55.96
07/12/2024,$56.54,1640344,$57.15,$57.38,$56.50
07/11/2024,$56.84,1859103,$56.86,$57.14,$56.35
07/10/2024,$56.89,1812947,$56.46,$56.89,$56.31
07/09/2024,$56.37,1802197,$56.21,$56.59,$55.96
07/08/2024,$56.19,1979085,$56.62,$56.62,$55.98
07/05/2024,$56.38,1161697,$56.43,$56.56,$56.02
07/03/2024,$56.67,893503,$56.77,$57.01,$56.49
07/02/2024,$56.70,1692489,$56.73,$56.84,$56.39
07/01/2024,$56.72,2345998,$57.80,$58.28,$56.67
06/28/2024,$57.68,2377344,$57.69,$58.15,$57.33
06/27/2024,$57.68,1641387,$57.53,$57.86,$57.335
06/26/2024,$57.38,1354759,$57.00,$57.52,$56.75
06/25/2024,$58.07,1821582,$58.15,$58.50,$57.965
06/24/2024,$58.26,2012593,$57.59,$58.73,$57.30
06/21/2024,$57.48,3649383,$58.01,$58.40,$57.29
06/20/2024,$57.72,2387489,$58.12,$58.69,$57.525
06/18/2024,$58.80,1852384,$58.05,$58.85,$57.90
06/17/2024,$58.12,2423126,$57.48,$58.22,$56.88
06/14/2024,$57.52,2247077,$58.65,$59.00,$57.46
06/13/2024,$58.73,1743558,$58.70,$59.00,$58.31
06/12/2024,$58.76,1665590,$59.84,$59.88,$58.61
06/11/2024,$59.71,2121222,$58.90,$59.79,$58.55
06/10/2024,$59.09,1731060,$59.42,$59.485,$58.40
06/07/2024,$59.63,1588320,$59.83,$60.36,$59.58
06/06/2024,$60.09,1502159,$59.80,$60.17,$59.48
06/05/2024,$59.80,1899207,$60.07,$60.32,$59.37
06/04/2024,$60.48,3038054,$59.79,$60.8683,$59.48
06/03/2024,$59.89,2257052,$59.93,$60.77,$59.86
05/31/2024,$60.34,5271652,$59.34,$60.36,$59.23
05/30/2024,$59.34,2056024,$59.92,$59.93,$59.33
05/29/2024,$59.60,2556243,$59.32,$59.80,$58.93
05/28/2024,$59.50,3566314,$60.79,$61.06,$59.47
05/24/2024,$61.04,1689092,$61.49,$61.665,$60.79
05/23/2024,$61.33,1780221,$61.25,$61.69,$60.905
05/22/2024,$61.64,1384890,$61.88,$62.00,$61.61
05/21/2024,$62.25,1453431,$62.26,$62.375,$61.745
05/20/2024,$62.08,1969203,$61.47,$62.35,$61.38
05/17/2024,$61.56,2249351,$62.25,$62.305,$61.39
05/16/2024,$62.14,1494610,$62.00,$62.27,$61.75
05/15/2024,$61.83,1285184,$62.64,$62.66,$61.69
05/14/2024,$62.56,1821551,$62.70,$62.95,$62.05
05/13/2024,$62.49,2154274,$62.00,$62.73,$61.82
05/10/2024,$61.86,2188221,$61.50,$61.98,$61.27
05/09/2024,$61.60,2310370,$62.41,$62.41,$61.5525
05/08/2024,$62.33,3282356,$61.73,$62.46,$61.48
05/07/2024,$61.64,3853112,$60.48,$61.70,$60.35
05/06/2024,$60.04,2844862,$60.95,$61.00,$59.70
05/03/2024,$60.51,4363751,$61.00,$61.135,$59.565
05/02/2024,$61.28,10882790,$59.00,$63.23,$59.00
05/01/2024,$56.98,5814198,$57.50,$57.605,$56.63
04/30/2024,$57.86,4801138,$58.03,$58.44,$57.54
04/29/2024,$58.21,3171451,$57.92,$58.25,$57.781
