Date,Close/Last,Volume,Open,High,Low
09/06/2024,$15.70,12443270,$16.24,$16.36,$15.69
09/05/2024,$16.24,14781560,$16.65,$16.65,$16.1401
09/04/2024,$16.46,17489950,$16.68,$16.695,$16.30
09/03/2024,$16.73,15732800,$16.82,$17.00,$16.64
08/30/2024,$17.06,12129060,$16.89,$17.08,$16.81
08/29/2024,$16.88,12771420,$16.84,$17.00,$16.585
08/28/2024,$16.74,8405336,$16.64,$16.895,$16.615
08/27/2024,$16.67,11204840,$16.60,$16.84,$16.60
08/26/2024,$16.95,10485700,$17.19,$17.19,$16.85
08/23/2024,$17.07,22895320,$16.57,$17.20,$16.465
08/22/2024,$16.42,12092180,$16.48,$16.655,$16.35
08/21/2024,$16.44,10389030,$16.76,$16.76,$16.35
08/20/2024,$16.66,13982190,$16.63,$16.74,$16.47
08/19/2024,$16.70,13903320,$16.39,$16.72,$16.39
08/16/2024,$16.39,12611080,$16.19,$16.51,$16.165
08/15/2024,$16.20,16595010,$15.90,$16.44,$15.90
08/14/2024,$15.64,14836180,$15.78,$15.855,$15.60
08/13/2024,$15.69,25942460,$16.09,$16.09,$15.525
08/12/2024,$15.94,45932620,$17.04,$17.09,$15.745
08/09/2024,$14.61,15510980,$14.54,$14.635,$14.43
08/08/2024,$14.54,12561880,$14.43,$14.58,$14.35
08/07/2024,$14.18,13258950,$14.53,$14.73,$14.16
08/06/2024,$14.26,13158240,$14.14,$14.535,$14.04
08/05/2024,$14.12,19477540,$13.87,$14.24,$13.63
08/02/2024,$14.45,19973460,$14.79,$14.83,$14.27
08/01/2024,$15.22,15198490,$16.09,$16.14,$15.1403
07/31/2024,$16.13,13059100,$16.25,$16.475,$16.07
07/30/2024,$16.25,12466860,$16.29,$16.49,$16.16
07/29/2024,$16.21,16565330,$16.48,$16.505,$16.14
07/26/2024,$16.46,14594330,$16.25,$16.47,$16.13
07/25/2024,$16.13,11788470,$15.83,$16.28,$15.74
07/24/2024,$15.79,13944840,$15.93,$16.13,$15.75
07/23/2024,$15.86,16692690,$15.74,$16.015,$15.70
07/22/2024,$15.77,18715770,$15.50,$15.78,$15.23
07/19/2024,$15.59,20292870,$15.55,$15.785,$15.385
07/18/2024,$15.56,30745830,$15.85,$16.13,$15.50
07/17/2024,$16.21,24453100,$15.90,$16.47,$15.86
07/16/2024,$15.99,16979690,$15.54,$16.01,$15.45
07/15/2024,$15.50,15322690,$15.49,$15.63,$15.36
07/12/2024,$15.21,14484840,$15.12,$15.35,$14.98
07/11/2024,$15.13,14400810,$14.94,$15.215,$14.86
07/10/2024,$14.67,10274060,$14.37,$14.705,$14.27
07/09/2024,$14.29,8560093,$13.98,$14.38,$13.93
07/08/2024,$14.03,12118710,$13.82,$14.13,$13.82
07/05/2024,$13.95,17588280,$14.25,$14.315,$13.93
07/03/2024,$14.27,5939996,$14.43,$14.475,$14.26
07/02/2024,$14.43,10372280,$14.19,$14.45,$14.155
07/01/2024,$14.22,12091070,$14.20,$14.495,$14.18
06/28/2024,$14.21,21144170,$13.77,$14.24,$13.70
06/27/2024,$13.62,8645662,$13.50,$13.67,$13.40
06/26/2024,$13.53,14474760,$13.43,$13.565,$13.41
06/25/2024,$13.65,14661700,$13.85,$13.955,$13.625
06/24/2024,$13.92,14916900,$13.64,$14.02,$13.52
06/21/2024,$13.60,17941670,$13.63,$13.64,$13.435
06/20/2024,$13.64,10498580,$13.53,$13.70,$13.40
06/18/2024,$13.58,13803900,$13.54,$13.71,$13.46
06/17/2024,$13.56,14812480,$13.35,$13.58,$13.14
06/14/2024,$13.36,14013220,$13.37,$13.505,$13.105
06/13/2024,$13.64,12395060,$13.66,$13.725,$13.48
06/12/2024,$13.73,16430310,$13.83,$14.115,$13.625
06/11/2024,$13.42,16128080,$13.52,$13.555,$13.28
06/10/2024,$13.67,13357260,$13.75,$13.79,$13.51
06/07/2024,$13.93,11586380,$13.79,$14.025,$13.785
06/06/2024,$13.93,8018328,$13.89,$13.995,$13.81
06/05/2024,$13.86,7736059,$13.94,$14.00,$13.76
06/04/2024,$13.87,12782630,$13.91,$14.12,$13.695
06/03/2024,$14.12,12323420,$14.46,$14.491,$13.94
05/31/2024,$14.37,22190460,$14.06,$14.425,$14.06
05/30/2024,$13.99,15365560,$14.08,$14.199,$13.90
05/29/2024,$13.92,13507660,$13.89,$14.03,$13.66
05/28/2024,$14.19,9990476,$14.50,$14.57,$14.14
05/24/2024,$14.48,7253374,$14.35,$14.50,$14.35
05/23/2024,$14.46,12959540,$15.08,$15.09,$14.425
05/22/2024,$15.03,7185676,$15.25,$15.275,$14.94
05/21/2024,$15.32,5841904,$15.22,$15.345,$15.17
05/20/2024,$15.23,5854947,$15.42,$15.47,$15.20
05/17/2024,$15.40,6225581,$15.46,$15.48,$15.33
05/16/2024,$15.33,6785997,$15.50,$15.57,$15.32
05/15/2024,$15.57,13543360,$15.30,$15.61,$15.30
05/14/2024,$15.11,11454500,$15.00,$15.165,$14.89
05/13/2024,$14.88,8554561,$15.15,$15.23,$14.84
05/10/2024,$15.08,9768952,$15.17,$15.19,$14.98
05/09/2024,$15.08,5788395,$14.91,$15.105,$14.885
05/08/2024,$15.02,10522270,$14.81,$15.03,$14.71
05/07/2024,$14.93,10462220,$15.22,$15.26,$14.88
05/06/2024,$15.13,11101270,$15.04,$15.185,$14.87
05/03/2024,$14.93,9274415,$15.11,$15.245,$14.90
05/02/2024,$14.87,16315860,$14.94,$14.97,$14.66
05/01/2024,$14.71,10679630,$14.59,$15.08,$14.59
04/30/2024,$14.49,10863510,$14.55,$14.77,$14.47
04/29/2024,$14.73,12857660,$14.745,$14.88,$14.64
04/26/2024,$14.70,11793140,$14.63,$14.88,$14.62
04/25/2024,$14.61,16788200,$14.92,$14.93,$14.44
04/24/2024,$14.93,15084100,$14.54,$14.95,$14.515
04/23/2024,$14.72,23058310,$14.56,$14.83,$14.35
04/22/2024,$14.64,26489360,$14.69,$14.765,$14.46
04/19/2024,$14.63,16943310,$14.34,$14.80,$14.32
04/18/2024,$14.38,32085020,$14.30,$14.81,$14.10
04/17/2024,$14.43,16756950,$14.35,$14.505,$14.17
04/16/2024,$14.22,13134310,$14.28,$14.35,$14.06
04/15/2024,$14.43,15557050,$14.83,$15.05,$14.30
04/12/2024,$14.61,12746780,$14.47,$14.62,$14.37
04/11/2024,$14.72,13274860,$14.915,$14.915,$14.33
04/10/2024,$14.84,15203190,$15.18,$15.18,$14.68
04/09/2024,$15.53,9565281,$15.50,$15.545,$15.25
04/08/2024,$15.45,8256121,$15.21,$15.51,$15.14
04/05/2024,$15.06,11254400,$14.99,$15.21,$14.90
04/04/2024,$15.08,10365670,$15.53,$15.62,$15.01
04/03/2024,$15.24,7952206,$15.25,$15.46,$15.19
04/02/2024,$15.26,9397780,$15.33,$15.465,$15.16
04/01/2024,$15.49,8025125,$15.81,$15.85,$15.49
03/28/2024,$15.81,10560990,$15.64,$15.86,$15.64
03/27/2024,$15.64,11001830,$15.18,$15.65,$15.155
03/26/2024,$15.06,9889740,$15.30,$15.315,$14.99
03/25/2024,$15.19,7131135,$15.11,$15.32,$15.07
03/22/2024,$15.03,8422525,$15.44,$15.54,$15.02
03/21/2024,$15.36,12163360,$15.16,$15.50,$15.1475
03/20/2024,$15.04,9810855,$14.38,$15.12,$14.34
03/19/2024,$14.49,9562056,$14.35,$14.516,$14.2987
