Date,Close/Last,Volume,Open,High,Low
09/06/2024,$146.91,2160596,$146.83,$148.14,$146.77
09/05/2024,$148.05,1788158,$148.86,$149.305,$147.33
09/04/2024,$148.35,1853605,$147.75,$148.87,$147.44
09/03/2024,$147.35,1904165,$145.00,$148.02,$145.00
08/30/2024,$144.66,2421722,$143.48,$144.71,$143.43
08/29/2024,$143.22,1879247,$144.03,$144.12,$142.68
08/28/2024,$143.86,1467335,$144.11,$145.24,$143.21
08/27/2024,$143.54,1265111,$144.05,$144.91,$142.97
08/26/2024,$144.14,1148583,$143.47,$144.22,$143.175
08/23/2024,$143.61,1252039,$144.59,$144.69,$142.61
08/22/2024,$144.60,1420904,$145.25,$145.25,$143.9231
08/21/2024,$144.58,1447288,$144.48,$145.68,$143.855
08/20/2024,$144.24,1092546,$143.23,$144.37,$143.23
08/19/2024,$143.46,1311781,$142.73,$143.6635,$142.73
08/16/2024,$142.46,1552616,$141.97,$142.67,$141.38
08/15/2024,$141.78,1875648,$141.55,$141.91,$140.05
08/14/2024,$140.82,2167080,$138.00,$141.04,$137.52
08/13/2024,$138.44,1777127,$138.48,$138.92,$137.90
08/12/2024,$138.30,2394074,$139.53,$139.53,$137.72
08/09/2024,$140.32,1485200,$140.73,$140.93,$139.655
08/08/2024,$141.25,2144205,$139.15,$141.29,$139.15
08/07/2024,$140.02,2392186,$139.26,$141.61,$139.23
08/06/2024,$139.08,2077336,$138.86,$140.81,$138.79
08/05/2024,$137.65,2547176,$140.14,$141.11,$136.86
08/02/2024,$140.10,2401756,$140.12,$142.18,$137.49
08/01/2024,$138.48,2497295,$136.12,$138.81,$135.54
07/31/2024,$135.05,3375625,$136.03,$136.165,$134.04
07/30/2024,$136.38,3517785,$137.23,$137.96,$135.41
07/29/2024,$140.85,3083165,$141.39,$141.64,$139.81
07/26/2024,$141.81,2064513,$141.68,$142.51,$141.035
07/25/2024,$141.07,2704912,$141.00,$142.90,$140.56
07/24/2024,$140.51,3581822,$134.77,$140.57,$134.67
07/23/2024,$135.88,5074459,$139.86,$140.65,$135.61
07/22/2024,$144.14,2620428,$143.50,$144.38,$142.79
07/19/2024,$143.63,4086109,$145.08,$145.23,$143.34
07/18/2024,$144.06,2316536,$142.72,$145.615,$142.50
07/17/2024,$143.55,2296377,$142.73,$144.93,$142.40
07/16/2024,$142.46,1917017,$141.05,$142.65,$140.96
07/15/2024,$141.01,1863264,$141.54,$142.21,$140.965
07/12/2024,$141.53,1478833,$141.21,$142.41,$140.39
07/11/2024,$141.02,1396902,$141.06,$141.73,$140.47
