Date,Close/Last,Volume,Open,High,Low
09/06/2024,$21.13,11478550,$21.48,$21.59,$21.04
09/05/2024,$21.48,9093113,$21.55,$21.58,$21.375
09/04/2024,$21.41,14874960,$21.51,$21.63,$21.29
09/03/2024,$21.56,11944990,$21.45,$21.65,$21.22
08/30/2024,$21.57,26383340,$21.35,$21.59,$21.305
08/29/2024,$21.42,8562887,$21.41,$21.475,$21.22
08/28/2024,$21.33,8327443,$21.36,$21.42,$21.21
08/27/2024,$21.39,10979420,$21.425,$21.53,$21.30
08/26/2024,$21.42,10758280,$21.42,$21.50,$21.33
08/23/2024,$21.28,11383960,$21.07,$21.385,$20.98
08/22/2024,$21.00,7767163,$20.97,$21.10,$20.89
08/21/2024,$20.97,11349060,$21.10,$21.15,$20.84
08/20/2024,$21.03,9770723,$21.33,$21.40,$20.945
08/19/2024,$21.36,10009970,$21.08,$21.37,$21.02
08/16/2024,$21.08,8170525,$21.11,$21.14,$20.986
08/15/2024,$21.11,12283100,$21.12,$21.20,$20.91
08/14/2024,$20.96,7947486,$20.92,$21.04,$20.84
08/13/2024,$20.92,9484621,$20.89,$21.00,$20.655
08/12/2024,$20.92,7603576,$21.06,$21.097,$20.82
08/09/2024,$21.02,13464670,$21.10,$21.10,$20.795
08/08/2024,$21.07,10592450,$20.80,$21.18,$20.80
08/07/2024,$20.80,15593720,$20.88,$21.29,$20.80
08/06/2024,$20.66,19934580,$20.21,$20.85,$20.065
08/05/2024,$20.08,18837000,$19.94,$20.17,$19.68
08/02/2024,$20.68,18941190,$20.98,$21.065,$20.51
08/01/2024,$21.07,12092580,$21.14,$21.205,$20.93
07/31/2024,$21.13,15294580,$21.53,$21.6255,$21.11
07/30/2024,$21.72,16671820,$21.29,$21.80,$21.275
07/29/2024,$21.29,13805140,$21.41,$21.46,$21.14
07/26/2024,$21.37,12587940,$21.16,$21.43,$21.14
07/25/2024,$21.07,20800330,$21.06,$21.29,$21.01
07/24/2024,$21.05,20630700,$21.64,$21.66,$21.05
07/23/2024,$21.62,20814860,$21.81,$21.81,$21.56
07/22/2024,$21.85,15594800,$21.53,$21.86,$21.50
07/19/2024,$21.49,26891120,$21.16,$21.79,$21.10
07/18/2024,$21.05,42322380,$20.495,$21.45,$20.44
07/17/2024,$20.53,23408460,$20.30,$20.57,$20.275
07/16/2024,$20.24,14691300,$20.55,$20.55,$20.03
07/15/2024,$20.17,13844590,$20.28,$20.38,$20.15
07/12/2024,$20.19,18489430,$20.25,$20.315,$20.09
07/11/2024,$20.16,15623530,$20.12,$20.20,$20.0139
07/10/2024,$20.10,9648466,$20.00,$20.11,$19.90
07/09/2024,$19.99,14039980,$19.85,$20.14,$19.835
07/08/2024,$19.91,9640682,$19.89,$19.995,$19.795
07/05/2024,$19.89,11916500,$19.92,$19.98,$19.77
07/03/2024,$19.96,11016120,$19.83,$20.075,$19.76
07/02/2024,$19.72,12815460,$19.91,$19.91,$19.4737
07/01/2024,$19.79,10789720,$19.98,$20.01,$19.68
06/28/2024,$19.87,42524230,$19.86,$19.915,$19.74
06/27/2024,$19.76,10531980,$19.80,$19.885,$19.62
06/26/2024,$19.74,13503360,$20.10,$20.135,$19.71
06/25/2024,$20.10,10026390,$20.07,$20.16,$20.005
06/24/2024,$20.11,11998500,$19.74,$20.19,$19.74
06/21/2024,$19.71,28997890,$19.87,$19.94,$19.63
06/20/2024,$19.80,10930000,$19.70,$19.94,$19.64
06/18/2024,$19.74,8880468,$19.71,$19.86,$19.67
06/17/2024,$19.67,11724250,$19.57,$19.83,$19.56
06/14/2024,$19.59,8446690,$19.66,$19.76,$19.55
06/13/2024,$19.76,7979404,$19.84,$19.91,$19.695
06/12/2024,$19.88,10083660,$19.92,$20.07,$19.845
06/11/2024,$19.79,9229844,$19.71,$19.88,$19.66
06/10/2024,$19.80,11567320,$19.64,$19.875,$19.62
06/07/2024,$19.62,9188943,$19.75,$19.76,$19.575
