Date,Close/Last,Volume,Open,High,Low
09/06/2024,$52.27,6632147,$53.215,$53.46,$52.24
09/05/2024,$53.37,4623688,$53.45,$53.60,$52.405
09/04/2024,$53.36,4593583,$53.97,$55.05,$52.975
09/03/2024,$53.70,5003038,$53.28,$53.82,$53.08
08/30/2024,$53.21,4417168,$52.56,$53.32,$52.44
08/29/2024,$52.50,3433393,$53.26,$53.26,$52.1114
08/28/2024,$53.26,4222526,$52.75,$53.485,$52.61
08/27/2024,$52.72,3780997,$52.87,$52.9764,$52.40
08/26/2024,$52.77,3822932,$52.13,$53.16,$52.03
08/23/2024,$51.95,2818462,$52.34,$52.44,$51.65
08/22/2024,$52.22,3756225,$52.67,$52.67,$51.74
08/21/2024,$52.71,6251523,$52.64,$52.99,$52.29
08/20/2024,$52.04,5357184,$52.76,$52.795,$51.50
08/19/2024,$52.76,4130258,$53.06,$53.16,$52.70
08/16/2024,$53.19,2874806,$52.89,$53.21,$52.61
08/15/2024,$52.89,4137504,$53.14,$53.36,$52.55
08/14/2024,$52.70,4912101,$52.60,$52.77,$52.24
08/13/2024,$52.61,4244901,$53.20,$53.275,$51.67
08/12/2024,$53.24,2698260,$53.92,$54.03,$53.18
08/09/2024,$53.92,2847448,$54.14,$54.225,$53.60
08/08/2024,$54.32,3142096,$53.88,$54.58,$53.88
08/07/2024,$53.90,3624979,$54.52,$55.00,$53.89
08/06/2024,$54.13,4505066,$54.14,$54.85,$54.00
08/05/2024,$53.90,4596364,$54.32,$55.14,$53.67
08/02/2024,$54.33,4284804,$55.33,$55.80,$53.83
08/01/2024,$55.09,3082025,$54.87,$55.32,$54.375
07/31/2024,$54.50,2906393,$54.28,$54.92,$54.24
07/30/2024,$54.70,3502524,$54.29,$55.20,$54.19
07/29/2024,$54.20,3526213,$54.15,$54.495,$53.76
07/26/2024,$54.27,2552485,$53.32,$54.43,$53.28
07/25/2024,$53.31,3207040,$54.25,$54.81,$53.30
07/24/2024,$54.18,3841739,$53.94,$54.285,$53.28
