Date,Close/Last,Volume,Open,High,Low
09/06/2024,$79.39,965783,$80.62,$81.10,$79.35
09/05/2024,$80.90,762587,$82.33,$82.33,$80.43
09/04/2024,$81.96,760972,$82.38,$82.63,$81.47
09/03/2024,$81.82,1041830,$81.46,$82.34,$81.36
08/30/2024,$81.94,1104533,$81.80,$82.10,$81.445
08/29/2024,$81.68,532793,$81.45,$81.918,$80.537
08/28/2024,$81.29,464302,$80.79,$81.81,$80.66
08/27/2024,$80.67,320560,$80.62,$81.03,$80.33
08/26/2024,$80.45,509843,$80.58,$81.51,$80.29
08/23/2024,$80.35,360014,$79.85,$80.62,$79.605
08/22/2024,$79.43,313048,$79.04,$79.55,$78.905
08/21/2024,$79.08,455287,$79.15,$79.15,$78.415
08/20/2024,$78.91,405926,$79.26,$79.285,$78.78
08/19/2024,$79.37,585408,$78.95,$79.73,$78.95
08/16/2024,$78.97,608086,$78.49,$79.04,$78.24
08/15/2024,$78.37,403513,$78.21,$78.615,$77.85
08/14/2024,$77.66,635890,$77.22,$77.74,$77.17
08/13/2024,$77.06,420070,$77.34,$77.34,$76.325
08/12/2024,$76.93,450223,$78.11,$78.11,$76.825
08/09/2024,$77.88,466473,$77.45,$78.01,$76.89
08/08/2024,$77.44,537847,$76.28,$77.55,$76.28
08/07/2024,$76.27,854789,$76.88,$77.57,$76.21
08/06/2024,$76.40,678891,$76.13,$77.45,$76.075
08/05/2024,$76.00,1313443,$78.11,$78.50,$75.46
08/02/2024,$78.69,573682,$78.77,$79.51,$77.61
08/01/2024,$79.20,525692,$80.39,$80.455,$78.70
07/31/2024,$79.95,646801,$80.27,$80.665,$79.57
07/30/2024,$80.48,784633,$79.28,$81.06,$79.005
07/29/2024,$78.86,947653,$82.50,$83.54,$78.34
07/26/2024,$80.09,649510,$78.81,$80.34,$78.77
07/25/2024,$78.31,457302,$78.26,$79.685,$77.90
07/24/2024,$77.92,570306,$78.50,$78.60,$77.82
07/23/2024,$78.35,428422,$78.18,$78.59,$78.09
07/22/2024,$78.08,327123,$77.97,$78.56,$77.51
07/19/2024,$78.06,621145,$79.68,$79.68,$77.685
07/18/2024,$79.79,402903,$79.41,$81.11,$78.98
07/17/2024,$79.62,485520,$78.72,$79.89,$78.48
07/16/2024,$78.35,422320,$77.49,$78.43,$77.37
07/15/2024,$77.42,378806,$77.17,$77.91,$77.17
07/12/2024,$76.92,539914,$76.78,$77.41,$76.36
07/11/2024,$76.62,526824,$75.70,$77.00,$75.68
07/10/2024,$75.65,456331,$74.70,$75.68,$74.67
07/09/2024,$74.66,591574,$74.31,$75.32,$73.85
07/08/2024,$74.41,613695,$74.15,$74.93,$74.145
07/05/2024,$73.76,1304607,$74.30,$74.34,$73.15
07/03/2024,$74.40,367885,$75.20,$75.43,$74.31
07/02/2024,$74.94,603273,$74.30,$75.01,$74.13
07/01/2024,$74.73,494451,$75.15,$75.54,$74.55
06/28/2024,$74.74,1171320,$75.24,$75.82,$74.42
06/27/2024,$75.26,510323,$74.78,$75.28,$74.67
06/26/2024,$74.84,992946,$75.83,$75.96,$74.60
06/25/2024,$76.14,548542,$77.40,$77.46,$76.13
06/24/2024,$77.33,658400,$76.67,$77.99,$76.47
06/21/2024,$76.56,1889850,$76.53,$76.87,$75.93
06/20/2024,$76.45,759309,$76.24,$76.86,$76.17
06/18/2024,$76.20,649877,$75.16,$76.27,$75.16
06/17/2024,$75.21,671509,$73.88,$75.27,$73.88
06/14/2024,$73.79,631117,$73.78,$74.13,$73.46
06/13/2024,$74.17,916694,$74.41,$74.72,$73.60
06/12/2024,$74.66,969556,$74.44,$74.98,$73.80
06/11/2024,$74.17,894890,$75.14,$75.14,$74.095
06/10/2024,$75.34,658209,$75.00,$75.60,$74.72
06/07/2024,$75.25,574838,$75.10,$75.69,$74.74
06/06/2024,$75.00,844478,$75.00,$75.26,$74.34
06/05/2024,$74.92,554156,$75.59,$75.665,$74.61
06/04/2024,$75.55,1274902,$75.66,$76.07,$75.10
06/03/2024,$75.87,645271,$76.59,$76.77,$75.47
05/31/2024,$76.80,2307304,$75.14,$76.93,$75.02
05/30/2024,$75.32,606618,$74.09,$75.38,$74.06
05/29/2024,$74.11,789794,$73.63,$74.30,$73.21
05/28/2024,$74.02,707499,$74.65,$75.02,$73.96
05/24/2024,$74.75,549643,$74.22,$74.78,$74.22
05/23/2024,$74.16,652003,$75.78,$75.78,$74.03
05/22/2024,$75.89,481426,$76.01,$76.17,$75.66
05/21/2024,$76.21,708924,$76.31,$76.62,$76.03
05/20/2024,$76.13,723257,$77.89,$77.89,$76.09
05/17/2024,$77.74,855154,$77.61,$77.80,$77.325
05/16/2024,$77.20,689801,$77.39,$77.49,$76.885
05/15/2024,$76.62,653868,$77.25,$77.48,$76.45
05/14/2024,$77.34,711217,$77.41,$77.60,$76.75
05/13/2024,$77.34,527143,$77.91,$78.10,$77.28
05/10/2024,$77.98,875569,$77.79,$78.165,$77.53
05/09/2024,$77.70,705038,$77.13,$77.74,$76.96
05/08/2024,$77.31,683275,$77.91,$78.14,$77.23
05/07/2024,$77.81,620791,$77.96,$78.10,$77.70
05/06/2024,$77.74,807636,$77.54,$78.225,$76.58
05/03/2024,$76.40,588721,$76.38,$76.54,$75.44
05/02/2024,$76.53,566372,$76.67,$76.79,$76.11
05/01/2024,$76.28,1027239,$75.23,$76.80,$75.23
04/30/2024,$75.15,609936,$75.68,$75.68,$75.10
04/29/2024,$75.82,599534,$75.46,$75.91,$75.41
04/26/2024,$75.46,568947,$76.01,$76.02,$75.42
