Date,Close/Last,Volume,Open,High,Low
09/06/2024,$223.91,488233,$227.36,$229.70,$223.81
09/05/2024,$227.34,430449,$228.08,$228.54,$224.33
09/04/2024,$228.08,358064,$230.36,$232.19,$227.86
09/03/2024,$229.71,333038,$229.22,$231.01,$228.24
08/30/2024,$229.89,488578,$229.88,$231.45,$227.915
08/29/2024,$229.69,406788,$230.70,$231.26,$229.435
08/28/2024,$230.70,259913,$230.21,$231.80,$228.45
08/27/2024,$230.21,342356,$230.47,$231.35,$227.12
08/26/2024,$230.19,388701,$230.89,$233.24,$229.82
08/23/2024,$230.89,319299,$231.82,$231.90,$229.70
08/22/2024,$230.18,304729,$229.15,$230.565,$227.97
08/21/2024,$228.83,301955,$226.24,$229.65,$225.83
08/20/2024,$225.68,333453,$225.91,$227.98,$224.64
08/19/2024,$226.16,308798,$227.05,$229.13,$225.065
08/16/2024,$227.50,438285,$225.00,$228.515,$225.00
08/15/2024,$224.56,607963,$222.26,$225.10,$220.22
08/14/2024,$221.33,574007,$223.93,$223.93,$220.42
08/13/2024,$224.55,431367,$223.44,$224.82,$221.10
08/12/2024,$223.34,393440,$226.36,$226.85,$222.77
08/09/2024,$226.46,515293,$224.30,$227.11,$222.17
08/08/2024,$224.74,532634,$219.12,$226.7599,$217.96
08/07/2024,$219.36,1149904,$225.00,$225.00,$219.34
08/06/2024,$225.87,666170,$229.39,$232.23,$225.39
08/05/2024,$228.57,935141,$232.00,$232.84,$227.6601
08/02/2024,$236.00,1194681,$232.70,$238.465,$232.68
08/01/2024,$233.39,1694760,$220.00,$234.22,$219.20
07/31/2024,$215.44,848855,$212.83,$217.329,$209.54
07/30/2024,$213.06,677212,$210.94,$214.74,$210.11
07/29/2024,$210.75,561546,$211.97,$213.35,$210.65
07/26/2024,$210.90,395638,$211.07,$213.58,$209.95
07/25/2024,$209.72,470543,$210.27,$215.42,$209.35
07/24/2024,$209.49,508995,$208.44,$211.72,$208.00
07/23/2024,$207.09,725482,$214.68,$214.68,$205.98
07/22/2024,$214.34,594074,$211.99,$216.53,$211.45
07/19/2024,$211.37,585940,$216.32,$216.32,$210.27
07/18/2024,$214.65,475447,$214.12,$218.23,$213.18
07/17/2024,$215.78,525765,$216.38,$219.73,$215.74
07/16/2024,$216.50,590775,$208.27,$216.72,$208.27
07/15/2024,$207.49,403778,$206.16,$210.87,$206.16
07/12/2024,$206.17,490238,$207.27,$210.295,$205.95
07/11/2024,$206.25,709328,$201.94,$206.50,$200.90
07/10/2024,$200.37,383320,$199.68,$200.76,$198.96
07/09/2024,$199.35,582772,$201.70,$202.95,$199.35
07/08/2024,$202.96,471489,$204.00,$204.84,$202.06
07/05/2024,$204.58,308176,$204.63,$206.34,$202.255
07/03/2024,$203.86,408054,$203.29,$204.55,$200.745
07/02/2024,$202.73,420831,$203.13,$203.92,$201.94
07/01/2024,$203.13,541928,$204.52,$207.515,$201.72
06/28/2024,$203.51,712464,$205.18,$205.47,$201.87
06/27/2024,$204.90,464948,$202.99,$205.00,$202.51
06/26/2024,$203.24,500393,$206.63,$206.63,$202.69
06/25/2024,$207.84,599620,$207.35,$208.32,$206.21
06/24/2024,$208.00,638035,$205.88,$209.41,$204.48
06/21/2024,$205.25,1070234,$208.08,$208.08,$204.06
06/20/2024,$207.38,974385,$205.10,$208.305,$204.235
06/18/2024,$206.50,898878,$201.10,$206.76,$201.10
06/17/2024,$201.56,604254,$198.66,$201.68,$198.07
06/14/2024,$199.88,716109,$197.91,$200.10,$195.21
06/13/2024,$196.48,632442,$195.42,$196.76,$192.38
06/12/2024,$196.36,626340,$198.66,$200.00,$196.15
06/11/2024,$197.42,464887,$195.69,$197.46,$195.105
06/10/2024,$195.92,514959,$196.10,$196.56,$192.5001
06/07/2024,$196.60,471229,$197.83,$199.19,$195.84
06/06/2024,$198.41,429667,$196.94,$199.7096,$196.5205
06/05/2024,$198.00,662767,$196.75,$199.545,$195.77
06/04/2024,$196.68,726187,$194.89,$197.51,$193.115
06/03/2024,$195.01,614630,$194.91,$197.94,$194.81
05/31/2024,$194.91,1255709,$193.50,$195.10,$191.97
05/30/2024,$193.44,1361640,$192.51,$194.35,$192.39
05/29/2024,$192.50,942902,$195.21,$195.21,$192.30
05/28/2024,$196.19,743619,$199.31,$199.57,$196.14
05/24/2024,$199.65,724589,$197.08,$200.1799,$196.19
05/23/2024,$197.09,677754,$200.13,$201.16,$197.01
05/22/2024,$201.19,780917,$204.41,$205.16,$200.97
05/21/2024,$205.34,594249,$206.25,$207.46,$204.98
05/20/2024,$206.83,592475,$212.06,$214.14,$206.07
05/17/2024,$210.59,730919,$213.52,$213.52,$208.19
05/16/2024,$213.13,676626,$212.96,$215.07,$212.29
05/15/2024,$213.21,542275,$212.26,$213.78,$210.835
05/14/2024,$211.20,536448,$211.34,$212.16,$208.6804
05/13/2024,$210.37,792854,$208.31,$211.40,$207.8451
05/10/2024,$207.67,722931,$206.34,$207.80,$205.46
05/09/2024,$206.15,813688,$201.53,$206.23,$201.47
05/08/2024,$201.61,556886,$202.33,$202.33,$200.68
05/07/2024,$201.50,620897,$201.99,$202.5355,$199.615
05/06/2024,$201.04,813044,$202.41,$203.09,$199.385
05/03/2024,$201.32,555654,$201.12,$202.92,$199.68
05/02/2024,$200.25,599282,$201.57,$201.645,$199.11
05/01/2024,$201.32,765348,$200.76,$204.09,$198.43
04/30/2024,$201.37,890860,$203.21,$204.50,$200.925
04/29/2024,$204.17,1415309,$199.00,$207.535,$199.00
04/26/2024,$198.40,931317,$197.08,$200.155,$197.01
04/25/2024,$198.35,2098112,$204.77,$204.82,$196.11
04/24/2024,$207.94,793528,$206.82,$208.14,$205.54
04/23/2024,$207.97,925458,$204.76,$210.63,$203.22
04/22/2024,$203.07,685960,$202.25,$203.89,$200.67
04/19/2024,$201.48,768208,$200.73,$201.64,$199.6501
04/18/2024,$199.45,769005,$199.55,$200.21,$198.06
04/17/2024,$199.97,683299,$202.78,$202.78,$199.84
04/16/2024,$201.93,691528,$204.24,$204.69,$201.91
04/15/2024,$203.32,669066,$206.95,$208.32,$203.00
04/12/2024,$205.73,717036,$205.21,$206.40,$204.40
04/11/2024,$206.50,861295,$207.91,$207.955,$204.01
04/10/2024,$207.17,901940,$208.57,$209.205,$206.56
04/09/2024,$210.05,714111,$211.51,$212.685,$210.00
04/08/2024,$210.12,602421,$211.15,$212.39,$210.06
04/05/2024,$211.26,612676,$211.00,$212.065,$208.75
04/04/2024,$211.21,498931,$213.77,$214.855,$210.63
