Date,Close/Last,Volume,Open,High,Low
09/06/2024,$227.23,640257,$231.11,$232.96,$226.30
09/05/2024,$232.52,684401,$237.32,$237.32,$230.35
09/04/2024,$236.50,718913,$235.81,$238.235,$235.81
09/03/2024,$235.28,754123,$236.68,$237.82,$233.86
08/30/2024,$236.67,698437,$233.75,$236.94,$233.21
08/29/2024,$233.68,602905,$233.04,$235.35,$230.00
08/28/2024,$231.95,551342,$230.55,$233.31,$230.367
08/27/2024,$230.06,597639,$228.76,$230.44,$226.22
08/26/2024,$228.95,607171,$231.26,$231.90,$228.35
08/23/2024,$230.68,662526,$231.52,$233.48,$229.40
08/22/2024,$231.21,564522,$230.35,$231.5873,$228.94
08/21/2024,$230.05,372937,$230.27,$230.51,$228.08
08/20/2024,$229.64,396582,$230.37,$230.37,$228.7201
08/19/2024,$230.48,413419,$228.06,$230.58,$228.06
08/16/2024,$228.50,642098,$227.07,$228.7299,$225.92
08/15/2024,$226.49,693537,$226.51,$227.01,$225.06
08/14/2024,$226.06,860367,$226.46,$228.30,$225.54
08/13/2024,$227.88,837746,$229.12,$229.6931,$226.30
08/12/2024,$228.83,532173,$228.68,$230.30,$227.30
08/09/2024,$228.33,505853,$230.51,$230.95,$226.93
08/08/2024,$230.62,765465,$226.66,$230.78,$226.59
08/07/2024,$226.83,730197,$226.75,$230.24,$226.33
08/06/2024,$225.96,829156,$227.50,$229.84,$225.76
08/05/2024,$227.10,1126474,$229.39,$231.50,$224.35
08/02/2024,$230.19,1080734,$229.22,$233.16,$226.35
08/01/2024,$229.22,1014741,$227.53,$230.00,$225.2601
07/31/2024,$226.89,1437087,$227.90,$228.936,$224.57
07/30/2024,$227.74,1558596,$225.88,$229.25,$223.38
07/29/2024,$224.78,1452293,$229.60,$229.82,$224.30
07/26/2024,$229.41,2302156,$239.41,$240.27,$227.11
07/25/2024,$243.27,1632125,$239.02,$245.595,$239.02
07/24/2024,$237.15,1029989,$240.02,$241.205,$236.90
07/23/2024,$240.02,719894,$239.16,$241.18,$237.71
07/22/2024,$238.14,683399,$234.93,$238.26,$234.51
07/19/2024,$234.77,643164,$239.14,$239.14,$234.16
07/18/2024,$237.76,806382,$237.05,$239.87,$236.69
07/17/2024,$238.25,1138574,$240.42,$242.86,$238.23
07/16/2024,$240.42,924689,$235.28,$240.60,$234.515
07/15/2024,$234.54,800191,$232.20,$235.34,$231.64
07/12/2024,$231.04,793407,$231.84,$233.85,$230.40
07/11/2024,$230.34,835242,$227.89,$231.585,$227.38
07/10/2024,$227.27,612504,$225.96,$227.70,$225.96
07/09/2024,$225.96,579352,$226.06,$226.84,$224.795
07/08/2024,$226.00,645411,$225.22,$226.55,$224.945
07/05/2024,$224.07,483225,$224.09,$224.14,$221.76
07/03/2024,$224.58,422248,$223.54,$225.3999,$222.61
07/02/2024,$223.60,496317,$221.98,$223.704,$221.77
07/01/2024,$221.96,613170,$225.59,$226.495,$221.88
06/28/2024,$224.58,3463346,$224.45,$226.2499,$223.51
06/27/2024,$223.18,825319,$224.51,$224.51,$222.41
06/26/2024,$223.48,597978,$223.78,$223.93,$221.515
06/25/2024,$224.51,609181,$225.11,$225.95,$222.66
06/24/2024,$225.49,572540,$225.97,$228.13,$224.96
06/21/2024,$225.51,796464,$224.78,$225.77,$222.42
06/20/2024,$224.10,553925,$221.99,$224.52,$221.99
06/18/2024,$222.45,585836,$220.71,$222.74,$219.94
06/17/2024,$220.69,557457,$216.73,$221.17,$216.685
06/14/2024,$217.47,434586,$217.33,$218.54,$215.37
06/13/2024,$219.20,512421,$218.58,$219.48,$216.96
06/12/2024,$218.97,537863,$220.62,$220.895,$218.5225
