Date,Close/Last,Volume,Open,High,Low
09/06/2024,$39.98,1645753,$40.80,$41.0773,$39.90
09/05/2024,$40.73,1766917,$41.61,$41.80,$40.31
09/04/2024,$41.59,1945017,$41.16,$41.67,$41.13
09/03/2024,$41.31,1774372,$41.36,$41.74,$40.96
08/30/2024,$41.59,3244300,$41.85,$42.02,$41.30
08/29/2024,$41.59,1561653,$42.19,$42.19,$41.51
08/28/2024,$41.88,1564023,$42.23,$42.3219,$41.86
08/27/2024,$42.40,1134815,$42.50,$42.625,$42.27
08/26/2024,$42.56,1141084,$42.84,$43.17,$42.495
08/23/2024,$42.63,1231138,$42.04,$42.92,$41.84
08/22/2024,$41.79,925298,$41.94,$42.11,$41.51
08/21/2024,$41.87,1197936,$41.52,$41.93,$41.19
08/20/2024,$41.11,1091267,$41.25,$41.31,$40.80
08/19/2024,$41.12,1430234,$40.35,$41.145,$40.28
08/16/2024,$40.29,1693117,$39.93,$40.515,$39.8201
08/15/2024,$39.99,1310712,$39.86,$40.20,$39.52
08/14/2024,$39.39,1286256,$39.19,$39.50,$38.79
08/13/2024,$39.11,1317848,$38.67,$39.225,$38.34
08/12/2024,$38.47,2020143,$39.05,$39.2793,$38.40
08/09/2024,$39.10,1113831,$39.40,$39.42,$38.89
08/08/2024,$39.41,1298391,$39.17,$39.64,$39.1699
08/07/2024,$38.82,2291178,$40.11,$40.39,$38.80
08/06/2024,$39.59,1327727,$39.27,$40.17,$38.97
08/05/2024,$39.27,1734676,$39.21,$39.85,$38.8009
08/02/2024,$40.14,1664170,$39.90,$40.20,$39.42
08/01/2024,$40.17,1826634,$41.60,$42.02,$39.98
07/31/2024,$41.50,2863547,$41.19,$42.25,$40.22
07/30/2024,$40.85,2209190,$40.32,$40.97,$40.07
07/29/2024,$40.16,2316409,$40.20,$40.43,$39.30
07/26/2024,$40.18,3687813,$38.95,$40.60,$38.95
07/25/2024,$38.95,7152448,$40.51,$40.62,$35.57
07/24/2024,$44.48,1930143,$45.23,$45.52,$44.34
07/23/2024,$45.40,2121278,$45.16,$45.70,$45.04
07/22/2024,$45.12,1456218,$45.09,$45.28,$44.24
07/19/2024,$45.09,1605709,$45.38,$45.405,$44.77
07/18/2024,$45.44,1600074,$45.79,$46.64,$45.42
07/17/2024,$46.03,1421483,$45.34,$46.27,$45.33
07/16/2024,$45.36,1504964,$44.03,$45.41,$44.0054
07/15/2024,$43.81,1340686,$43.57,$44.405,$43.36
07/12/2024,$43.80,1194119,$43.00,$44.035,$42.84
07/11/2024,$42.66,1274931,$41.875,$42.81,$41.85
07/10/2024,$41.76,1141031,$41.37,$41.78,$41.13
07/09/2024,$41.25,1346114,$41.67,$41.71,$41.225
07/08/2024,$41.76,1786953,$41.56,$42.17,$41.455
07/05/2024,$41.45,2904399,$41.40,$41.59,$41.00
07/03/2024,$41.55,1330454,$41.96,$42.24,$41.46
07/02/2024,$41.99,1684118,$41.52,$42.195,$41.49
07/01/2024,$41.50,2244870,$41.74,$41.98,$41.285
06/28/2024,$41.59,2403275,$41.58,$41.92,$41.17
06/27/2024,$41.47,1684904,$41.75,$41.78,$40.95
