Date,Close/Last,Volume,Open,High,Low
09/06/2024,$39.70,6282749,$39.98,$40.15,$39.55
09/05/2024,$39.98,5031338,$40.06,$40.09,$39.28
09/04/2024,$39.86,5852420,$38.62,$40.005,$38.62
09/03/2024,$38.68,7459699,$38.83,$39.43,$38.565
08/30/2024,$38.99,12254190,$39.01,$39.10,$38.43
08/29/2024,$38.64,7656283,$39.18,$39.51,$38.545
08/28/2024,$39.01,6236267,$39.71,$39.74,$38.555
08/27/2024,$39.94,6217942,$40.54,$40.71,$39.88
08/26/2024,$40.55,4606040,$40.815,$40.89,$40.38
08/23/2024,$40.60,5143700,$40.44,$40.725,$40.06
08/22/2024,$41.07,2999201,$41.42,$41.455,$40.99
08/21/2024,$41.29,4170931,$41.20,$41.511,$41.04
08/20/2024,$40.97,4987710,$40.69,$41.005,$40.43
08/19/2024,$40.85,3429646,$40.37,$41.16,$40.37
08/16/2024,$40.37,6004170,$40.05,$40.775,$39.99
08/15/2024,$40.13,9741773,$39.81,$40.41,$39.61
08/14/2024,$39.50,8528537,$39.43,$39.56,$38.625
08/13/2024,$39.38,6378561,$38.52,$39.62,$38.51
08/12/2024,$38.44,6637284,$38.48,$38.91,$38.06
08/09/2024,$38.57,6366506,$39.75,$39.84,$37.8701
08/08/2024,$39.82,6179364,$38.78,$40.23,$38.78
08/07/2024,$38.48,6580288,$38.83,$39.03,$38.20
08/06/2024,$38.50,6823068,$37.86,$38.78,$37.67
08/05/2024,$37.86,7218244,$36.65,$37.99,$36.62
08/02/2024,$38.06,5808274,$38.01,$38.255,$37.29
08/01/2024,$38.47,6021698,$39.67,$39.7043,$38.32
07/31/2024,$39.67,10040740,$39.81,$40.38,$39.65
07/30/2024,$39.47,6402431,$39.41,$40.26,$39.35
07/29/2024,$39.55,7334226,$39.09,$39.925,$38.83
07/26/2024,$39.18,6490774,$39.72,$39.785,$38.92
07/25/2024,$39.34,10539040,$39.62,$40.96,$39.25
07/24/2024,$40.32,6684243,$41.09,$41.242,$40.17
07/23/2024,$41.13,5414295,$41.25,$41.34,$40.63
07/22/2024,$41.41,4320067,$41.18,$41.65,$41.11
07/19/2024,$41.07,4168955,$41.13,$41.28,$40.505
07/18/2024,$41.10,6048275,$42.12,$42.36,$40.93
07/17/2024,$42.34,4076075,$42.70,$43.02,$42.10
07/16/2024,$42.90,5631007,$42.31,$43.19,$41.96
07/15/2024,$42.25,3077853,$42.60,$42.99,$42.115
07/12/2024,$42.73,3591418,$42.50,$42.995,$42.24
07/11/2024,$42.32,4117135,$41.61,$42.64,$41.53
07/10/2024,$41.43,4079509,$41.64,$41.7159,$41.175
07/09/2024,$41.62,3866973,$41.52,$42.02,$41.20
07/08/2024,$41.45,4810746,$42.15,$42.34,$41.40
07/05/2024,$42.09,6755063,$42.28,$42.585,$41.941
07/03/2024,$42.55,3382104,$42.54,$43.10,$42.43
07/02/2024,$42.31,6171264,$42.69,$43.105,$42.24
07/01/2024,$42.88,6405893,$44.07,$44.48,$42.72
06/28/2024,$44.25,20974600,$44.31,$44.545,$43.95
06/27/2024,$44.14,6879753,$43.88,$44.32,$43.53
06/26/2024,$43.81,9738610,$44.28,$44.3258,$43.515
06/25/2024,$44.37,7980952,$44.74,$44.74,$44.03
06/24/2024,$44.84,10190910,$45.75,$45.84,$44.48
06/21/2024,$45.91,14193070,$44.75,$46.03,$44.53
06/20/2024,$44.61,7153019,$44.17,$45.00,$44.15
06/18/2024,$44.30,7335523,$44.09,$44.36,$43.73
06/17/2024,$44.35,5992370,$43.17,$44.46,$43.11
06/14/2024,$43.25,4643506,$43.69,$43.9289,$43.23
06/13/2024,$44.07,3836553,$43.99,$44.31,$43.80
06/12/2024,$44.24,6279513,$44.28,$44.47,$43.748
06/11/2024,$44.12,5033000,$44.50,$44.60,$43.805
06/10/2024,$44.73,5168543,$44.91,$45.22,$44.46
06/07/2024,$45.02,10343360,$43.00,$45.91,$42.99
06/06/2024,$43.66,6924762,$43.68,$43.88,$43.41
06/05/2024,$43.60,16346780,$43.58,$43.79,$43.15
06/04/2024,$43.57,6161912,$44.63,$44.67,$43.39
06/03/2024,$44.86,4230505,$45.22,$45.29,$44.49
05/31/2024,$45.03,6696413,$44.35,$45.05,$43.77
05/30/2024,$44.00,4777896,$43.90,$44.38,$43.88
05/29/2024,$43.90,4189562,$44.19,$44.42,$43.75
05/28/2024,$44.73,4227292,$44.88,$45.25,$44.51
05/24/2024,$44.88,5878123,$45.01,$45.19,$44.77
05/23/2024,$44.80,4147192,$45.86,$45.90,$44.60
05/22/2024,$45.87,3680068,$46.11,$46.1934,$45.38
05/21/2024,$46.21,3786209,$46.55,$46.91,$46.15
05/20/2024,$46.82,6858623,$47.17,$47.52,$46.75
05/17/2024,$47.03,8169628,$46.60,$47.78,$46.33
05/16/2024,$46.62,3910974,$46.13,$46.805,$45.95
05/15/2024,$46.11,6392417,$46.40,$46.51,$45.57
05/14/2024,$46.32,7156268,$46.88,$47.00,$46.01
05/13/2024,$46.92,3045384,$47.25,$47.43,$46.735
05/10/2024,$46.54,2222919,$47.36,$47.47,$46.415
05/09/2024,$47.20,3230767,$46.77,$47.32,$46.73
05/08/2024,$46.77,3438774,$46.71,$46.84,$46.395
05/07/2024,$46.72,4597020,$46.71,$47.32,$46.545
05/06/2024,$47.02,4141332,$47.20,$47.55,$46.79
05/03/2024,$46.87,4703575,$47.14,$47.22,$46.5601
05/02/2024,$46.65,8361695,$45.33,$46.93,$45.04
05/01/2024,$44.54,5559648,$44.16,$45.21,$44.00
04/30/2024,$44.36,6435554,$45.26,$45.52,$44.33
04/29/2024,$45.75,5275342,$46.11,$46.35,$45.535
04/26/2024,$45.45,4932337,$45.44,$45.9999,$45.10
04/25/2024,$45.55,5172701,$45.50,$46.21,$45.485
04/24/2024,$45.84,7358081,$46.00,$46.16,$45.05
04/23/2024,$46.01,7965362,$46.92,$47.0891,$45.98
04/22/2024,$46.56,7882231,$45.98,$47.32,$45.98
04/19/2024,$45.46,7998635,$46.30,$46.85,$45.40
04/18/2024,$45.88,21519940,$48.09,$48.214,$45.44
04/17/2024,$50.23,9102515,$50.56,$50.80,$49.85
04/16/2024,$50.51,4493019,$49.77,$50.765,$49.51
04/15/2024,$50.25,5165890,$50.80,$51.345,$50.09
04/12/2024,$50.43,2881770,$51.09,$51.24,$50.155
04/11/2024,$51.61,2586880,$51.62,$51.93,$51.04
04/10/2024,$51.86,2345523,$51.93,$52.23,$51.56
04/09/2024,$52.45,2316529,$52.17,$52.4897,$51.7601
04/08/2024,$52.44,2754206,$53.59,$53.65,$52.26
04/05/2024,$53.18,2163704,$52.70,$53.40,$52.40
04/04/2024,$52.59,3386471,$54.29,$54.54,$52.48
04/03/2024,$53.96,3187439,$52.55,$54.125,$52.55
04/02/2024,$52.91,2197537,$52.96,$53.00,$52.22
