Date,Close/Last,Volume,Open,High,Low
09/06/2024,$63.02,1815663,$62.04,$63.42,$61.885
09/05/2024,$62.09,1910439,$62.10,$62.48,$61.13
09/04/2024,$61.68,2272926,$61.23,$62.39,$61.23
09/03/2024,$61.72,2465549,$61.39,$62.52,$61.21
08/30/2024,$61.92,1962884,$61.76,$62.20,$61.1012
08/29/2024,$61.30,1422262,$61.48,$61.95,$60.63
08/28/2024,$61.13,1665506,$61.90,$62.49,$60.67
08/27/2024,$62.24,1564470,$62.09,$62.775,$61.93
08/26/2024,$62.24,2526813,$63.00,$63.00,$62.23
08/23/2024,$62.69,1648891,$62.85,$62.97,$62.25
08/22/2024,$62.41,1779550,$62.50,$62.68,$61.90
08/21/2024,$62.20,1879833,$62.25,$62.95,$62.03
08/20/2024,$61.85,1711435,$62.80,$62.89,$61.34
08/19/2024,$62.93,2794453,$61.00,$62.97,$60.9731
08/16/2024,$60.93,1639623,$60.85,$61.71,$60.40
08/15/2024,$61.09,2198851,$60.00,$61.44,$60.00
08/14/2024,$59.13,1420500,$59.28,$59.5101,$58.58
08/13/2024,$59.13,2707990,$58.74,$59.27,$58.15
08/12/2024,$58.31,2798463,$60.01,$60.19,$58.29
08/09/2024,$60.14,2816597,$59.16,$60.26,$58.62
08/08/2024,$59.22,2447208,$58.12,$59.68,$58.11
08/07/2024,$58.10,4061448,$57.92,$59.72,$57.45
08/06/2024,$57.38,3820124,$56.74,$57.89,$56.10
08/05/2024,$56.38,4672908,$55.50,$56.49,$55.14
08/02/2024,$56.94,4766844,$58.39,$59.03,$56.03
08/01/2024,$59.31,5089381,$60.06,$61.04,$59.01
07/31/2024,$60.02,4638199,$59.50,$61.01,$59.2925
07/30/2024,$59.52,6622256,$57.10,$59.72,$57.05
07/29/2024,$56.23,5299819,$56.79,$56.85,$55.39
07/26/2024,$56.71,9809144,$53.90,$56.80,$53.90
07/25/2024,$53.01,14857240,$55.12,$56.535,$52.99
07/24/2024,$56.42,22845180,$59.116,$64.16,$56.23
07/23/2024,$78.62,2473308,$79.36,$79.6899,$78.26
07/22/2024,$79.35,2194394,$77.60,$79.7825,$76.95
07/19/2024,$77.48,1607003,$79.90,$79.90,$77.451
07/18/2024,$79.07,3315937,$78.23,$80.13,$78.14
07/17/2024,$79.00,2418155,$77.58,$80.05,$77.51
07/16/2024,$77.91,2407095,$77.05,$78.745,$76.61
07/15/2024,$76.90,2546847,$79.08,$79.71,$76.84
07/12/2024,$78.95,2127603,$79.91,$79.95,$78.68
07/11/2024,$78.93,2469261,$78.25,$79.455,$77.87
07/10/2024,$77.97,3115994,$77.05,$78.47,$76.67
07/09/2024,$76.86,3473403,$79.93,$80.165,$76.85
07/08/2024,$80.48,2323682,$82.54,$82.695,$80.01
07/05/2024,$82.40,2048279,$82.21,$82.63,$81.46
07/03/2024,$82.68,857895,$83.20,$83.345,$82.25
07/02/2024,$82.74,2222305,$82.68,$82.79,$81.12
07/01/2024,$82.74,1715488,$84.25,$84.3999,$82.67
06/28/2024,$84.08,5214862,$83.45,$84.10,$83.08
06/27/2024,$83.45,2295174,$84.07,$84.45,$83.03
06/26/2024,$84.07,1511400,$84.12,$84.99,$83.78
06/25/2024,$85.16,1432175,$84.67,$85.79,$84.59
06/24/2024,$84.95,1736639,$85.05,$85.49,$84.37
06/21/2024,$84.85,3053405,$82.65,$85.00,$82.33
06/20/2024,$82.49,2293371,$84.24,$84.80,$82.42
06/18/2024,$84.68,1450574,$86.50,$87.235,$84.59
06/17/2024,$87.11,963535,$86.56,$87.94,$86.56
06/14/2024,$86.76,904418,$86.02,$86.87,$85.113
06/13/2024,$86.17,979606,$86.41,$86.53,$85.10
06/12/2024,$86.44,1233648,$87.56,$88.25,$86.12
06/11/2024,$86.92,1102826,$85.50,$87.05,$84.74
06/10/2024,$85.49,1725912,$85.34,$86.15,$84.41
06/07/2024,$85.84,1466235,$85.86,$86.22,$85.08
06/06/2024,$86.05,1439310,$85.39,$86.53,$85.39
06/05/2024,$85.31,1417221,$86.00,$86.32,$85.01
06/04/2024,$86.23,1755085,$87.01,$87.38,$85.94
06/03/2024,$87.35,1110215,$88.26,$88.5719,$86.96
05/31/2024,$88.29,3254718,$85.77,$88.34,$85.77
05/30/2024,$85.63,1165890,$85.39,$86.83,$85.20
05/29/2024,$85.36,1678304,$87.82,$87.925,$85.33
05/28/2024,$88.40,1632611,$88.85,$89.23,$88.095
05/24/2024,$89.21,1698289,$87.99,$89.51,$87.61
05/23/2024,$87.74,2244682,$88.78,$88.89,$87.57
05/22/2024,$88.77,2383945,$86.80,$89.13,$86.5501
05/21/2024,$87.23,2015889,$86.79,$87.74,$85.81
05/20/2024,$86.67,1185133,$86.85,$87.39,$85.81
05/17/2024,$86.77,1219909,$87.06,$87.21,$85.92
05/16/2024,$86.96,1432340,$86.01,$87.19,$85.71
05/15/2024,$86.07,1476868,$86.18,$86.33,$84.50
05/14/2024,$85.58,2210899,$85.13,$86.10,$84.9231
05/13/2024,$85.10,2105709,$85.51,$86.27,$84.83
05/10/2024,$85.16,1542661,$84.13,$85.30,$83.9025
05/09/2024,$83.83,1651224,$83.31,$84.10,$82.37
05/08/2024,$83.16,1740013,$85.11,$85.25,$82.42
05/07/2024,$85.10,1561346,$84.73,$85.84,$84.56
05/06/2024,$84.41,1555943,$85.15,$85.425,$83.72
05/03/2024,$85.08,1686348,$85.00,$85.75,$84.2951
05/02/2024,$84.48,2070423,$82.48,$84.64,$82.12
05/01/2024,$82.22,2678319,$82.79,$83.055,$81.315
04/30/2024,$83.34,2294189,$84.12,$84.42,$82.565
04/29/2024,$84.67,1661408,$84.16,$85.13,$83.46
04/26/2024,$83.85,2462698,$83.16,$85.15,$83.16
04/25/2024,$83.50,2079518,$84.50,$85.23,$83.35
04/24/2024,$84.52,3187686,$83.45,$84.75,$82.99
04/23/2024,$83.72,1932164,$82.19,$83.94,$82.05
04/22/2024,$82.12,1949615,$81.00,$82.50,$80.84
04/19/2024,$81.00,2441843,$80.25,$82.48,$79.96
04/18/2024,$80.29,2580977,$80.68,$80.77,$79.14
04/17/2024,$80.36,3006480,$82.19,$82.75,$80.33
04/16/2024,$82.06,3177103,$79.99,$82.27,$79.3701
04/15/2024,$79.95,2649353,$80.12,$80.6278,$78.67
04/12/2024,$79.77,3513722,$80.78,$81.48,$79.07
04/11/2024,$81.36,5103811,$80.33,$82.20,$79.975
04/10/2024,$79.86,4440814,$79.80,$80.92,$78.285
04/09/2024,$80.44,5576831,$78.00,$81.28,$77.9613
04/08/2024,$77.80,5986391,$79.33,$80.43,$77.41
04/05/2024,$79.78,9800082,$82.01,$82.607,$78.761
04/04/2024,$81.53,23227130,$88.53,$89.48,$80.02
04/03/2024,$101.12,3640828,$103.24,$103.49,$100.43
04/02/2024,$103.81,1609027,$104.84,$105.31,$102.525
04/01/2024,$104.98,2540867,$103.57,$105.55,$102.76
03/28/2024,$106.53,1407860,$106.70,$107.50,$106.005
03/27/2024,$106.30,1775987,$106.20,$107.32,$105.85
03/26/2024,$105.60,2653349,$103.07,$105.68,$102.76
03/25/2024,$102.65,1440396,$103.10,$104.65,$102.61
03/22/2024,$103.17,2479327,$102.70,$104.32,$102.62
03/21/2024,$102.74,1219681,$102.93,$103.61,$102.17
03/20/2024,$103.18,1762752,$104.06,$104.69,$101.85
03/19/2024,$103.79,1082979,$102.85,$103.875,$102.44
03/18/2024,$102.86,1289946,$101.60,$103.57,$100.56
03/15/2024,$102.06,1325306,$100.46,$102.445,$100.46
03/14/2024,$101.33,1012640,$102.83,$103.25,$100.64
03/13/2024,$102.94,1081205,$103.10,$103.91,$102.22
03/12/2024,$103.10,1352360,$102.44,$103.55,$101.78
03/11/2024,$102.20,1563822,$101.38,$103.225,$100.65
03/08/2024,$101.19,1436479,$99.65,$101.27,$98.60
03/07/2024,$99.73,1854955,$102.60,$102.9181,$99.27
03/06/2024,$102.44,1110014,$103.37,$103.58,$101.95
03/05/2024,$103.15,1257028,$102.20,$104.01,$101.795
03/04/2024,$102.24,1085891,$102.00,$102.345,$100.845
03/01/2024,$102.05,1886306,$101.91,$103.76,$101.45
02/29/2024,$102.21,2199938,$101.49,$102.54,$100.80
02/28/2024,$100.98,723994,$100.79,$101.46,$100.28
02/27/2024,$100.82,937422,$101.67,$102.52,$100.79
02/26/2024,$102.05,780132,$102.94,$103.54,$101.99
02/23/2024,$102.67,794230,$104.00,$104.35,$102.67
02/22/2024,$103.76,2195994,$102.02,$105.11,$101.34
02/21/2024,$101.84,1396231,$102.16,$102.655,$101.16
02/20/2024,$102.16,1499894,$101.34,$103.45,$100.80
02/16/2024,$101.23,2034356,$103.45,$103.45,$100.67
02/15/2024,$103.52,1228851,$103.48,$103.73,$102.13
02/14/2024,$102.85,1509407,$103.60,$104.04,$101.20
02/13/2024,$103.60,2282842,$100.73,$103.81,$100.73
02/12/2024,$101.14,883293,$100.50,$101.8903,$100.20
02/09/2024,$100.83,905285,$100.76,$101.17,$99.56
02/08/2024,$100.88,1263445,$100.22,$102.14,$100.00
02/07/2024,$100.19,1767819,$101.13,$101.74,$99.2763
02/06/2024,$101.06,1567344,$104.03,$104.35,$100.69
02/05/2024,$104.13,1493010,$105.68,$105.99,$103.78
02/02/2024,$106.10,1496911,$106.02,$106.90,$104.9849
02/01/2024,$105.44,2020209,$102.66,$105.50,$102.305
01/31/2024,$102.44,2725686,$103.44,$103.61,$101.81
01/30/2024,$103.51,1408565,$105.07,$105.49,$103.26
01/29/2024,$104.93,1218840,$104.73,$105.59,$104.29
01/26/2024,$104.19,1941543,$105.38,$105.545,$102.89
01/25/2024,$105.04,2118976,$106.14,$106.86,$102.4501
01/24/2024,$105.85,1334615,$109.34,$109.41,$105.79
01/23/2024,$109.56,846899,$109.99,$110.46,$108.96
01/22/2024,$109.70,1262421,$109.27,$110.02,$108.305
01/19/2024,$109.24,1235764,$110.42,$110.61,$108.17
01/18/2024,$109.74,1396322,$110.01,$110.14,$108.64
01/17/2024,$109.99,1619363,$107.71,$110.13,$107.69
01/16/2024,$108.32,1037135,$106.95,$108.34,$106.95
01/12/2024,$107.15,744155,$107.615,$108.11,$106.65
01/11/2024,$107.17,995208,$107.39,$107.79,$105.73
01/10/2024,$107.18,990875,$107.53,$108.18,$106.41
01/09/2024,$107.41,1122668,$106.52,$107.69,$106.28
01/08/2024,$107.38,1604405,$106.18,$107.94,$105.75
01/05/2024,$106.02,2436852,$104.83,$108.00,$104.83
01/04/2024,$105.26,5531514,$106.82,$111.875,$105.0201
01/03/2024,$104.93,3212056,$106.97,$107.22,$103.75
01/02/2024,$106.56,2698197,$107.67,$108.155,$105.85
12/29/2023,$108.09,925613,$108.15,$108.78,$107.98
12/28/2023,$108.13,912057,$107.41,$108.62,$107.41
12/27/2023,$107.51,1080208,$106.59,$107.90,$106.3475
12/26/2023,$106.51,1027933,$104.33,$106.67,$104.19
12/22/2023,$104.70,889995,$104.22,$106.06,$103.86
12/21/2023,$103.96,1005737,$104.03,$104.61,$103.13
