Date,Close/Last,Volume,Open,High,Low
09/06/2024,$77.22,1446726,$77.20,$78.96,$76.73
09/05/2024,$77.24,920393,$78.09,$78.49,$76.725
09/04/2024,$78.14,1209601,$78.02,$78.29,$77.135
09/03/2024,$78.31,1712874,$79.20,$80.23,$77.82
08/30/2024,$79.56,1285485,$79.36,$80.00,$78.44
08/29/2024,$78.86,878983,$79.02,$79.79,$78.09
08/28/2024,$78.81,1142877,$79.03,$79.58,$78.64
08/27/2024,$79.05,1424904,$79.91,$80.50,$78.73
08/26/2024,$80.61,1371444,$81.25,$81.91,$80.49
08/23/2024,$80.68,1340828,$78.26,$80.74,$78.12
08/22/2024,$77.74,1116162,$78.40,$78.53,$77.4901
08/21/2024,$78.32,1251366,$76.88,$78.66,$76.88
08/20/2024,$76.46,986530,$76.84,$77.25,$76.04
08/19/2024,$76.77,1315126,$76.46,$77.22,$76.19
08/16/2024,$76.07,1195967,$76.27,$76.97,$75.735
08/15/2024,$76.54,1720331,$76.14,$76.79,$75.34
08/14/2024,$75.49,1860253,$74.68,$76.015,$74.265
08/13/2024,$74.22,1725797,$72.69,$74.77,$72.58
08/12/2024,$72.19,1533112,$72.40,$73.11,$71.90
08/09/2024,$72.44,1203880,$72.95,$73.205,$72.175
08/08/2024,$72.86,1057958,$72.72,$73.20,$72.11
08/07/2024,$72.15,1666231,$74.19,$75.16,$71.81
08/06/2024,$73.90,2847369,$72.92,$75.21,$72.32
08/05/2024,$73.42,2528509,$73.14,$74.48,$72.05
08/02/2024,$74.97,1888601,$74.43,$75.1983,$73.68
08/01/2024,$76.21,1759938,$78.07,$78.86,$75.67
07/31/2024,$77.85,1980121,$78.51,$79.54,$77.14
07/30/2024,$78.32,1839445,$78.18,$78.96,$77.72
07/29/2024,$77.69,1708215,$77.42,$77.87,$76.356
07/26/2024,$77.45,3007947,$76.00,$77.775,$75.84
07/25/2024,$75.84,3677245,$71.97,$76.83,$71.75
07/24/2024,$70.58,2540661,$71.09,$71.88,$70.28
